case_category,case_rank,key,taxonomy,sisnr_i,speaker_mismatch_rate,true_swap_rate,identity_ambiguity_rate,speaker_gap_mean,speaker_gap_p10,speaker_gap_min,local_si_sdr_gap_mean,local_si_sdr_gap_p10,local_si_sdr_gap_min,longest_speaker_mismatch_run,target_spk,interferer_spk,speaker_similarity,mix,target_ref,interferer_ref,enrollment,est_path
waveform_global_failure,1,5683-32865-0009_1580-141084-0000__T1__5683-5683-32865-0009__SIM__237-237-134493-0017,waveform_global_failure,-115.38809656224366,0.9411764705882353,0.9411764705882353,0.0,-0.12606586125334604,-0.23537199606578108,-0.2441262699491435,-62.903957064329155,-74.08255818722844,-84.62756750122792,13,5683,237,0.47831958532333374,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_960h/wav16k/min/test/mix_clean/5683-32865-0009_1580-141084-0000__T1__5683-5683-32865-0009__SIM__237-237-134493-0017.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_960h/wav16k/min/test/s1/5683-32865-0009_1580-141084-0000__T1__5683-5683-32865-0009__SIM__237-237-134493-0017.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_960h/wav16k/min/test/s2/5683-32865-0009_1580-141084-0000__T1__5683-5683-32865-0009__SIM__237-237-134493-0017.wav,/data/tse_cue_project/imported_data/LibriSpeech960/test-clean/5683/32879/5683-32879-0011.flac,/data/tse_cue_project/experiments/fine_grained_cue/usef_tse_tfgridnet/similar_speaker_test_full/usef_tfgridnet_wsj0_2mix/est_wav_8k/5683-32865-0009_1580-141084-0000__T1__5683-5683-32865-0009__SIM__237-237-134493-0017.wav
waveform_global_failure,2,2094-142345-0039_5683-32865-0009__T2__5683-5683-32865-0009__SIM__237-237-134493-0017,waveform_global_failure,-115.38755318725414,0.9411764705882353,0.9411764705882353,0.0,-0.12506732718505978,-0.2343877926484692,-0.24483824253037678,-62.90394572083778,-74.08255818722844,-84.62743732950815,13,5683,237,0.47831958532333374,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_960h/wav16k/min/test/mix_clean/2094-142345-0039_5683-32865-0009__T2__5683-5683-32865-0009__SIM__237-237-134493-0017.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_960h/wav16k/min/test/s1/2094-142345-0039_5683-32865-0009__T2__5683-5683-32865-0009__SIM__237-237-134493-0017.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_960h/wav16k/min/test/s2/2094-142345-0039_5683-32865-0009__T2__5683-5683-32865-0009__SIM__237-237-134493-0017.wav,/data/tse_cue_project/imported_data/LibriSpeech960/test-clean/5683/32879/5683-32879-0011.flac,/data/tse_cue_project/experiments/fine_grained_cue/usef_tse_tfgridnet/similar_speaker_test_full/usef_tfgridnet_wsj0_2mix/est_wav_8k/2094-142345-0039_5683-32865-0009__T2__5683-5683-32865-0009__SIM__237-237-134493-0017.wav
waveform_global_failure,3,7021-79740-0007_8555-284447-0018__T2__8555-8555-284447-0018__SIM__4970-4970-29095-0032,waveform_global_failure,-65.88130628997902,0.8888888888888888,0.8888888888888888,0.0,-0.057937227853472696,-0.09493503214426559,-0.11414417396185222,-56.092306086936446,-69.91563839190421,-81.59681761844756,6,8555,4970,0.37955009937286377,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_960h/wav16k/min/test/mix_clean/7021-79740-0007_8555-284447-0018__T2__8555-8555-284447-0018__SIM__4970-4970-29095-0032.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_960h/wav16k/min/test/s1/7021-79740-0007_8555-284447-0018__T2__8555-8555-284447-0018__SIM__4970-4970-29095-0032.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_960h/wav16k/min/test/s2/7021-79740-0007_8555-284447-0018__T2__8555-8555-284447-0018__SIM__4970-4970-29095-0032.wav,/data/tse_cue_project/imported_data/LibriSpeech960/test-clean/8555/292519/8555-292519-0010.flac,/data/tse_cue_project/experiments/fine_grained_cue/usef_tse_tfgridnet/similar_speaker_test_full/usef_tfgridnet_wsj0_2mix/est_wav_8k/7021-79740-0007_8555-284447-0018__T2__8555-8555-284447-0018__SIM__4970-4970-29095-0032.wav
waveform_global_failure,4,61-70968-0013_8555-284449-0003__T2__8555-8555-284449-0003__SIM__4970-4970-29095-0029,waveform_global_failure,-62.5584169274936,0.8333333333333334,0.8333333333333334,0.0,-0.05075326394271316,-0.09339124334182398,-0.11855912678106348,-59.21952753657854,-73.97520178608764,-83.94634512240391,3,8555,4970,0.37955009937286377,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_960h/wav16k/min/test/mix_clean/61-70968-0013_8555-284449-0003__T2__8555-8555-284449-0003__SIM__4970-4970-29095-0029.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_960h/wav16k/min/test/s1/61-70968-0013_8555-284449-0003__T2__8555-8555-284449-0003__SIM__4970-4970-29095-0029.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_960h/wav16k/min/test/s2/61-70968-0013_8555-284449-0003__T2__8555-8555-284449-0003__SIM__4970-4970-29095-0029.wav,/data/tse_cue_project/imported_data/LibriSpeech960/test-clean/8555/292519/8555-292519-0010.flac,/data/tse_cue_project/experiments/fine_grained_cue/usef_tse_tfgridnet/similar_speaker_test_full/usef_tfgridnet_wsj0_2mix/est_wav_8k/61-70968-0013_8555-284449-0003__T2__8555-8555-284449-0003__SIM__4970-4970-29095-0029.wav
waveform_global_failure,5,8555-284447-0006_1320-122617-0024__T1__8555-8555-284447-0006__SIM__4970-4970-29095-0025,waveform_global_failure,-61.63135893189921,0.16666666666666666,0.16666666666666666,0.0,0.025298628149460867,-0.011851073230066858,-0.027917496781303675,-55.60644492655894,-72.92513804236562,-88.64914939395294,1,8555,4970,0.37955009937286377,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_960h/wav16k/min/test/mix_clean/8555-284447-0006_1320-122617-0024__T1__8555-8555-284447-0006__SIM__4970-4970-29095-0025.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_960h/wav16k/min/test/s1/8555-284447-0006_1320-122617-0024__T1__8555-8555-284447-0006__SIM__4970-4970-29095-0025.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_960h/wav16k/min/test/s2/8555-284447-0006_1320-122617-0024__T1__8555-8555-284447-0006__SIM__4970-4970-29095-0025.wav,/data/tse_cue_project/imported_data/LibriSpeech960/test-clean/8555/292519/8555-292519-0010.flac,/data/tse_cue_project/experiments/fine_grained_cue/usef_tse_tfgridnet/similar_speaker_test_full/usef_tfgridnet_wsj0_2mix/est_wav_8k/8555-284447-0006_1320-122617-0024__T1__8555-8555-284447-0006__SIM__4970-4970-29095-0025.wav
true_local_swap,1,8455-210777-0053_2830-3980-0009__T2__2830-2830-3980-0009__SIM__1188-1188-133604-0014,waveform_global_failure,-56.2882310729261,1.0,1.0,0.0,-0.12831676023473096,-0.20823694830996425,-0.25477423754405687,-63.252634418750866,-73.17424144409429,-80.17251340232616,6,2830,1188,0.48153555393218994,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_960h/wav16k/min/test/mix_clean/8455-210777-0053_2830-3980-0009__T2__2830-2830-3980-0009__SIM__1188-1188-133604-0014.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_960h/wav16k/min/test/s1/8455-210777-0053_2830-3980-0009__T2__2830-2830-3980-0009__SIM__1188-1188-133604-0014.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_960h/wav16k/min/test/s2/8455-210777-0053_2830-3980-0009__T2__2830-2830-3980-0009__SIM__1188-1188-133604-0014.wav,/data/tse_cue_project/imported_data/LibriSpeech960/test-clean/2830/3980/2830-3980-0022.flac,/data/tse_cue_project/experiments/fine_grained_cue/usef_tse_tfgridnet/similar_speaker_test_full/usef_tfgridnet_wsj0_2mix/est_wav_8k/8455-210777-0053_2830-3980-0009__T2__2830-2830-3980-0009__SIM__1188-1188-133604-0014.wav
true_local_swap,2,8463-287645-0013_5142-33396-0037__T1__8463-8463-287645-0013__SIM__4992-4992-41797-0000,waveform_global_failure,-54.49157849201988,1.0,1.0,0.0,-0.09290942460519472,-0.13394198149779613,-0.1445718974762989,-52.010791224903144,-62.53340403650042,-71.07085620381011,9,8463,4992,0.41076433658599854,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_960h/wav16k/min/test/mix_clean/8463-287645-0013_5142-33396-0037__T1__8463-8463-287645-0013__SIM__4992-4992-41797-0000.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_960h/wav16k/min/test/s1/8463-287645-0013_5142-33396-0037__T1__8463-8463-287645-0013__SIM__4992-4992-41797-0000.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_960h/wav16k/min/test/s2/8463-287645-0013_5142-33396-0037__T1__8463-8463-287645-0013__SIM__4992-4992-41797-0000.wav,/data/tse_cue_project/imported_data/LibriSpeech960/test-clean/8463/294828/8463-294828-0003.flac,/data/tse_cue_project/experiments/fine_grained_cue/usef_tse_tfgridnet/similar_speaker_test_full/usef_tfgridnet_wsj0_2mix/est_wav_8k/8463-287645-0013_5142-33396-0037__T1__8463-8463-287645-0013__SIM__4992-4992-41797-0000.wav
true_local_swap,3,4970-29095-0037_4446-2273-0008__T2__4446-4446-2273-0008__SIM__4992-4992-23283-0015,waveform_global_failure,-53.447947283960815,1.0,1.0,0.0,-0.07794783004846195,-0.13848596968410518,-0.14565572719465358,-57.605951268540274,-67.69874988748447,-76.6643157025958,6,4446,4992,0.4965977966785431,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_960h/wav16k/min/test/mix_clean/4970-29095-0037_4446-2273-0008__T2__4446-4446-2273-0008__SIM__4992-4992-23283-0015.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_960h/wav16k/min/test/s1/4970-29095-0037_4446-2273-0008__T2__4446-4446-2273-0008__SIM__4992-4992-23283-0015.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_960h/wav16k/min/test/s2/4970-29095-0037_4446-2273-0008__T2__4446-4446-2273-0008__SIM__4992-4992-23283-0015.wav,/data/tse_cue_project/imported_data/LibriSpeech960/test-clean/4446/2271/4446-2271-0021.flac,/data/tse_cue_project/experiments/fine_grained_cue/usef_tse_tfgridnet/similar_speaker_test_full/usef_tfgridnet_wsj0_2mix/est_wav_8k/4970-29095-0037_4446-2273-0008__T2__4446-4446-2273-0008__SIM__4992-4992-23283-0015.wav
true_local_swap,4,8555-284447-0006_908-31957-0021__T1__8555-8555-284447-0006__SIM__4970-4970-29095-0029,waveform_global_failure,-51.30506325724568,1.0,1.0,0.0,-0.056229627298348905,-0.08161565725866898,-0.08683866088758596,-71.66507720899249,-96.16956541562664,-115.34196513536855,6,8555,4970,0.37955009937286377,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_960h/wav16k/min/test/mix_clean/8555-284447-0006_908-31957-0021__T1__8555-8555-284447-0006__SIM__4970-4970-29095-0029.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_960h/wav16k/min/test/s1/8555-284447-0006_908-31957-0021__T1__8555-8555-284447-0006__SIM__4970-4970-29095-0029.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_960h/wav16k/min/test/s2/8555-284447-0006_908-31957-0021__T1__8555-8555-284447-0006__SIM__4970-4970-29095-0029.wav,/data/tse_cue_project/imported_data/LibriSpeech960/test-clean/8555/292519/8555-292519-0010.flac,/data/tse_cue_project/experiments/fine_grained_cue/usef_tse_tfgridnet/similar_speaker_test_full/usef_tfgridnet_wsj0_2mix/est_wav_8k/8555-284447-0006_908-31957-0021__T1__8555-8555-284447-0006__SIM__4970-4970-29095-0029.wav
true_local_swap,5,3729-6852-0046_672-122797-0044__T2__672-672-122797-0044__SIM__260-260-123440-0017,waveform_global_failure,-51.2836867190805,1.0,1.0,0.0,-0.0653854618689744,-0.10527549834597139,-0.1284250959462492,-46.46180879467908,-53.473376873098616,-59.49945319794183,5,672,260,0.5427588224411011,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_960h/wav16k/min/test/mix_clean/3729-6852-0046_672-122797-0044__T2__672-672-122797-0044__SIM__260-260-123440-0017.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_960h/wav16k/min/test/s1/3729-6852-0046_672-122797-0044__T2__672-672-122797-0044__SIM__260-260-123440-0017.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_speaker_960h/wav16k/min/test/s2/3729-6852-0046_672-122797-0044__T2__672-672-122797-0044__SIM__260-260-123440-0017.wav,/data/tse_cue_project/imported_data/LibriSpeech960/test-clean/672/122797/672-122797-0061.flac,/data/tse_cue_project/experiments/fine_grained_cue/usef_tse_tfgridnet/similar_speaker_test_full/usef_tfgridnet_wsj0_2mix/est_wav_8k/3729-6852-0046_672-122797-0044__T2__672-672-122797-0044__SIM__260-260-123440-0017.wav
