case_category,case_rank,reliability_label,key,sisnr_i,speaker_similarity,speaker_mismatch_rate,sb_mismatch_rate_targetref,mv_mismatch_rate_targetref,true_swap_rate,mv_true_swap_rate_targetref,longest_mv_true_swap_run,first_mv_true_swap_sec,local_si_sdr_gap_mean,mean_inter_minus_target_db_on_true_swap,target_spk,interferer_spk
true_local_swap,1,confirmed_true_swap,8455-210777-0053_2830-3980-0009__T2__2830-2830-3980-0009__SIM__1188-1188-133604-0014,-56.2882310729261,0.4815355539321899,1.0,1.0,1.0,1.0,1.0,6.0,0.0,-63.25263441875087,0.0337862139237733,2830,1188
true_local_swap,2,confirmed_true_swap,8463-287645-0013_5142-33396-0037__T1__8463-8463-287645-0013__SIM__4992-4992-41797-0000,-54.49157849201988,0.4107643365859985,1.0,1.0,1.0,1.0,1.0,9.0,0.0,-52.01079122490314,0.8995924615302814,8463,4992
true_local_swap,3,confirmed_true_swap,4970-29095-0037_4446-2273-0008__T2__4446-4446-2273-0008__SIM__4992-4992-23283-0015,-53.447947283960815,0.4965977966785431,1.0,1.0,1.0,1.0,1.0,6.0,0.0,-57.605951268540274,-0.6554182303245503,4446,4992
true_local_swap,5,confirmed_true_swap,3729-6852-0046_672-122797-0044__T2__672-672-122797-0044__SIM__260-260-123440-0017,-51.2836867190805,0.5427588224411011,1.0,1.0,1.0,1.0,1.0,5.0,0.0,-46.46180879467908,-0.3468846522570281,672,260
waveform_global_failure,1,confirmed_true_swap,5683-32865-0009_1580-141084-0000__T1__5683-5683-32865-0009__SIM__237-237-134493-0017,-115.38809656224366,0.4783195853233337,0.9411764705882352,1.0,0.9411764705882352,0.9411764705882352,0.9411764705882352,13.0,0.0,-62.90395706432916,-0.0737558095366535,5683,237
waveform_global_failure,2,confirmed_true_swap,2094-142345-0039_5683-32865-0009__T2__5683-5683-32865-0009__SIM__237-237-134493-0017,-115.38755318725414,0.4783195853233337,0.9411764705882352,1.0,0.9411764705882352,0.9411764705882352,0.9411764705882352,13.0,0.0,-62.90394572083778,-0.0737558095366535,5683,237
waveform_global_failure,3,confirmed_true_swap,7021-79740-0007_8555-284447-0018__T2__8555-8555-284447-0018__SIM__4970-4970-29095-0032,-65.88130628997902,0.3795500993728637,0.8888888888888888,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,6.0,0.0,-56.092306086936446,-0.0915667296313866,8555,4970
waveform_global_failure,4,confirmed_true_swap,61-70968-0013_8555-284449-0003__T2__8555-8555-284449-0003__SIM__4970-4970-29095-0029,-62.5584169274936,0.3795500993728637,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,3.0,0.0,-59.21952753657854,-0.0381609269042257,8555,4970
true_local_swap,4,confirmed_true_swap,8555-284447-0006_908-31957-0021__T1__8555-8555-284447-0006__SIM__4970-4970-29095-0029,-51.30506325724568,0.3795500993728637,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,4.0,0.5,-71.66507720899249,2.3394665572678184,8555,4970
waveform_global_failure,5,confirmed_true_swap,8555-284447-0006_1320-122617-0024__T1__8555-8555-284447-0006__SIM__4970-4970-29095-0025,-61.63135893189921,0.3795500993728637,0.1666666666666666,1.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,1.0,0.5,-55.60644492655894,1.8734322167932864,8555,4970
