group,pair,count,pair_total,risk_within_pair
waveform_global_failure,8555__4970,72,139,0.5179856115107914
waveform_global_failure,237__5683,54,208,0.25961538461538464
waveform_global_failure,4446__4992,49,223,0.21973094170403587
waveform_global_failure,8463__4992,41,169,0.24260355029585798
waveform_global_failure,2830__1188,25,210,0.11904761904761904
waveform_global_failure,61__7176,21,265,0.07924528301886792
waveform_global_failure,5683__237,20,180,0.1111111111111111
waveform_global_failure,672__260,18,187,0.0962566844919786
waveform_global_failure,121__3729,7,129,0.05426356589147287
waveform_global_failure,7176__61,7,170,0.041176470588235294
confirmed_true_swap_any,8555__4970,62,139,0.4460431654676259
confirmed_true_swap_any,237__5683,45,208,0.21634615384615385
confirmed_true_swap_any,8463__4992,42,169,0.2485207100591716
confirmed_true_swap_any,2830__1188,29,210,0.1380952380952381
confirmed_true_swap_any,5683__237,24,180,0.13333333333333333
confirmed_true_swap_any,4446__4992,21,223,0.09417040358744394
confirmed_true_swap_any,61__7176,12,265,0.045283018867924525
confirmed_true_swap_any,672__260,11,187,0.058823529411764705
confirmed_true_swap_any,7176__61,8,170,0.047058823529411764
confirmed_true_swap_any,121__3729,7,129,0.05426356589147287
confirmed_true_swap_rate_gt_0.2,8555__4970,57,139,0.41007194244604317
confirmed_true_swap_rate_gt_0.2,8463__4992,42,169,0.2485207100591716
confirmed_true_swap_rate_gt_0.2,237__5683,34,208,0.16346153846153846
confirmed_true_swap_rate_gt_0.2,2830__1188,25,210,0.11904761904761904
confirmed_true_swap_rate_gt_0.2,5683__237,20,180,0.1111111111111111
confirmed_true_swap_rate_gt_0.2,672__260,10,187,0.053475935828877004
confirmed_true_swap_rate_gt_0.2,4446__4992,10,223,0.04484304932735426
confirmed_true_swap_rate_gt_0.2,121__3729,7,129,0.05426356589147287
confirmed_true_swap_rate_gt_0.2,61__7176,6,265,0.022641509433962263
confirmed_true_swap_rate_gt_0.2,7176__61,5,170,0.029411764705882353
confirmed_identity_any,260__672,112,202,0.5544554455445545
confirmed_identity_any,121__3729,107,129,0.8294573643410853
confirmed_identity_any,3575__5683,78,138,0.5652173913043478
confirmed_identity_any,8463__4992,74,169,0.4378698224852071
confirmed_identity_any,2830__1188,69,210,0.32857142857142857
confirmed_identity_any,5683__237,66,180,0.36666666666666664
confirmed_identity_any,1580__4446,65,236,0.2754237288135593
confirmed_identity_any,4446__4992,64,223,0.28699551569506726
confirmed_identity_any,8555__4970,63,139,0.45323741007194246
confirmed_identity_any,7021__5105,54,124,0.43548387096774194
confirmed_identity_rate_gt_0.2,121__3729,79,129,0.6124031007751938
confirmed_identity_rate_gt_0.2,260__672,73,202,0.3613861386138614
confirmed_identity_rate_gt_0.2,8555__4970,57,139,0.41007194244604317
confirmed_identity_rate_gt_0.2,8463__4992,45,169,0.26627218934911245
confirmed_identity_rate_gt_0.2,5683__237,38,180,0.2111111111111111
confirmed_identity_rate_gt_0.2,237__5683,35,208,0.16826923076923078
confirmed_identity_rate_gt_0.2,2830__1188,33,210,0.15714285714285714
confirmed_identity_rate_gt_0.2,1284__4446,27,168,0.16071428571428573
confirmed_identity_rate_gt_0.2,1580__4446,27,236,0.11440677966101695
confirmed_identity_rate_gt_0.2,3575__5683,24,138,0.17391304347826086
single_ecapa_only_any,6829__4970,167,228,0.7324561403508771
single_ecapa_only_any,8455__1320,163,184,0.8858695652173914
single_ecapa_only_any,5142__4970,134,214,0.6261682242990654
single_ecapa_only_any,7176__61,131,170,0.7705882352941177
single_ecapa_only_any,1284__4446,123,168,0.7321428571428571
single_ecapa_only_any,672__260,121,187,0.6470588235294118
single_ecapa_only_any,1995__2094,117,172,0.6802325581395349
single_ecapa_only_any,1580__4446,117,236,0.4957627118644068
single_ecapa_only_any,237__5683,113,208,0.5432692307692307
single_ecapa_only_any,6930__260,111,195,0.5692307692307692
