key,target_spk,interferer_spk,speaker_similarity,chunks,ecapa_mismatch_rate,sb_mismatch_rate_enroll,sb_mismatch_rate_targetref,mv_mismatch_rate_enroll,mv_mismatch_rate_targetref,ecapa_true_swap_rate,mv_true_swap_rate_enroll,mv_true_swap_rate_targetref,sb_gap_enroll_mean,sb_gap_targetref_mean
4077-13754-0001_5142-33396-0065__T1__4077-4077-13754-0001__SIM__8455-8455-210777-0041,4077,8455,0.3561401963233948,6,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005598962306976318,0.0008470118045806885
4077-13754-0001_5142-33396-0065__T2__5142-5142-33396-0065__SIM__4970-4970-29093-0000,5142,4970,0.3367147445678711,5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002812981605529785,0.005154526233673096
6930-76324-0027_5683-32879-0011__T1__6930-6930-76324-0027__SIM__260-260-123286-0018,6930,260,0.45737409591674805,10,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.00011557340621948242,0.0009105980396270752
6930-76324-0027_5683-32879-0011__T2__5683-5683-32879-0011__SIM__237-237-126133-0021,5683,237,0.47831958532333374,7,0.2857142857142857,0.8571428571428571,1.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,-0.0003668836184910366,-0.0010584592819213867
1188-133604-0025_4992-23283-0016__T1__1188-1188-133604-0025__SIM__2830-2830-3980-0010,1188,2830,0.48153555393218994,12,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.001637980341911316,0.0014905929565429688
1188-133604-0025_4992-23283-0016__T2__4992-4992-23283-0016__SIM__4446-4446-2275-0038,4992,4446,0.4965977966785431,7,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019714406558445524,0.001916919435773577
5683-32866-0012_121-121726-0001__T1__5683-5683-32866-0012__SIM__237-237-134500-0028,5683,237,0.47831958532333374,8,0.5,1.0,0.875,0.5,0.375,0.0,0.0,0.0,-0.0016204789280891418,-0.0003539174795150757
5683-32866-0012_121-121726-0001__T2__121-121-121726-0001__SIM__3729-3729-6852-0025,121,3729,0.35364586114883423,4,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.0028407275676727295,-0.0032289624214172363
1995-1837-0025_5142-36377-0017__T1__1995-1995-1837-0025__SIM__2094-2094-142345-0053,1995,2094,0.399920254945755,5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010145902633666992,0.00250096321105957
1995-1837-0025_5142-36377-0017__T2__5142-5142-36377-0017__SIM__4970-4970-29095-0028,5142,4970,0.3367147445678711,8,0.125,0.5,0.875,0.0,0.125,0.0,0.0,0.0,8.71419906616211e-05,-0.0006123632192611694
2830-3980-0022_8555-292519-0010__T1__2830-2830-3980-0022__SIM__1188-1188-133604-0018,2830,1188,0.48153555393218994,5,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0009099721908569336,0.0014841914176940917
2830-3980-0022_8555-292519-0010__T2__8555-8555-292519-0010__SIM__4970-4970-29095-0035,8555,4970,0.37955009937286377,8,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007613524794578552,0.0014912337064743042
5639-40744-0034_4507-16021-0058__T1__5639-5639-40744-0034__SIM__3570-3570-5694-0019,5639,3570,0.3402653634548187,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023978054523468018,0.0027383466561635337
5639-40744-0034_4507-16021-0058__T2__4507-4507-16021-0058__SIM__3729-3729-6852-0027,4507,3729,0.5184850692749023,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042452812194824217,0.001138484477996826
3729-6852-0046_672-122797-0044__T1__3729-3729-6852-0046__SIM__4507-4507-16021-0050,3729,4507,0.5184850692749023,6,0.0,0.8333333333333334,0.5,0.0,0.0,0.0,0.0,0.0,-9.911259015401204e-05,2.8739372889200847e-05
3729-6852-0046_672-122797-0044__T2__672-672-122797-0044__SIM__260-260-123440-0017,672,260,0.5427588224411011,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0017737269401550293,-0.0006655454635620117
2830-3980-0032_237-134500-0010__T1__2830-2830-3980-0032__SIM__1188-1188-133604-0036,2830,1188,0.48153555393218994,13,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010269788595346303,0.0015033300106342023
2830-3980-0032_237-134500-0010__T2__237-237-134500-0010__SIM__5683-5683-32866-0008,237,5683,0.47831958532333374,5,0.6,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.00045914649963378905,0.0014384150505065917
2300-131720-0026_4446-2273-0008__T1__2300-2300-131720-0026__SIM__8455-8455-210777-0033,2300,8455,0.32524049282073975,14,0.07142857142857142,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0007392210619790214,0.001317305224282401
2300-131720-0026_4446-2273-0008__T2__4446-4446-2273-0008__SIM__4992-4992-41797-0014,4446,4992,0.4965977966785431,13,0.5384615384615384,0.46153846153846156,1.0,0.3076923076923077,0.5384615384615384,0.5384615384615384,0.3076923076923077,0.5384615384615384,0.0001956316140981821,-0.002594452637892503
121-121726-0014_7021-79740-0000__T1__121-121-121726-0014__SIM__3729-3729-6852-0023,121,3729,0.35364586114883423,5,0.4,1.0,0.8,0.4,0.4,0.0,0.0,0.0,-0.0033744215965270997,-0.0006031394004821777
121-121726-0014_7021-79740-0000__T2__7021-7021-79740-0000__SIM__5105-5105-28240-0008,7021,5105,0.4939168095588684,21,0.0,0.8095238095238095,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,-0.0007689055942353748,-0.0005581435703095936
1320-122617-0025_260-123440-0019__T1__1320-1320-122617-0025__SIM__5105-5105-28241-0003,1320,5105,0.49767372012138367,6,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.00029719869295756024,0.0007989704608917236
1320-122617-0025_260-123440-0019__T2__260-260-123440-0019__SIM__672-672-122797-0061,260,672,0.5427588224411011,12,0.25,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0005703022082646688,0.001512378454208374
2961-961-0007_6930-76324-0016__T1__2961-2961-961-0007__SIM__3570-3570-5695-0012,2961,3570,0.5091915130615234,16,0.3125,0.0625,0.0625,0.0625,0.0625,0.0,0.0,0.0,0.0007516667246818542,0.0012589171528816223
2961-961-0007_6930-76324-0016__T2__6930-6930-76324-0016__SIM__260-260-123288-0008,6930,260,0.45737409591674805,10,0.2,0.3,0.2,0.1,0.1,0.0,0.0,0.0,9.797215461730957e-05,4.812479019165039e-05
3729-6852-0038_8463-294828-0003__T1__3729-3729-6852-0038__SIM__4507-4507-16021-0054,3729,4507,0.5184850692749023,7,0.2857142857142857,1.0,0.14285714285714285,0.2857142857142857,0.0,0.0,0.0,0.0,-0.0010050364903041295,0.00033486740929739814
