key,target_spk,interferer_spk,mix_sisnr,est_sisnr,sisnr_i,est_path
1089-134686-0000_121-127105-0031__T1__NBASIC__1089,1089,121,4.362164,15.350000,10.990000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134686-0000_121-127105-0031__T1__NBASIC__1089.wav
1089-134686-0000_121-127105-0031__T2__NBASIC__121,121,1089,-4.496023,10.480000,14.980000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134686-0000_121-127105-0031__T2__NBASIC__121.wav
1089-134686-0002_7729-102255-0037__T1__NBASIC__1089,1089,7729,-0.855158,-0.220000,0.630000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134686-0002_7729-102255-0037__T1__NBASIC__1089.wav
1089-134686-0002_7729-102255-0037__T2__NBASIC__7729,7729,1089,0.922128,7.150000,6.220000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134686-0002_7729-102255-0037__T2__NBASIC__7729.wav
1089-134686-0004_1284-1180-0027__T1__NBASIC__1089,1089,1284,0.557596,12.640000,12.090000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134686-0004_1284-1180-0027__T1__NBASIC__1089.wav
1089-134686-0004_1284-1180-0027__T2__NBASIC__1284,1284,1089,-0.379676,11.760000,12.130000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134686-0004_1284-1180-0027__T2__NBASIC__1284.wav
1089-134686-0006_1580-141083-0022__T1__NBASIC__1089,1089,1580,3.396266,15.840000,12.440000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134686-0006_1580-141083-0022__T1__NBASIC__1089.wav
1089-134686-0006_1580-141083-0022__T2__NBASIC__1580,1580,1089,-3.856479,12.020000,15.880000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134686-0006_1580-141083-0022__T2__NBASIC__1580.wav
1089-134686-0007_1995-1836-0000__T1__NBASIC__1089,1089,1995,-0.445771,13.220000,13.650000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134686-0007_1995-1836-0000__T1__NBASIC__1089.wav
1089-134686-0007_1995-1836-0000__T2__NBASIC__1995,1995,1089,0.663157,13.400000,12.750000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134686-0007_1995-1836-0000__T2__NBASIC__1995.wav
1089-134686-0008_672-122797-0007__T1__NBASIC__1089,1089,672,1.570218,10.110000,8.540000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134686-0008_672-122797-0007__T1__NBASIC__1089.wav
1089-134686-0008_672-122797-0007__T2__NBASIC__672,672,1089,-1.602000,8.780000,10.380000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134686-0008_672-122797-0007__T2__NBASIC__672.wav
1089-134686-0015_4970-29093-0003__T1__NBASIC__1089,1089,4970,6.396689,19.700000,13.300000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134686-0015_4970-29093-0003__T1__NBASIC__1089.wav
1089-134686-0015_4970-29093-0003__T2__NBASIC__4970,4970,1089,-6.423482,12.960000,19.380000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134686-0015_4970-29093-0003__T2__NBASIC__4970.wav
1089-134686-0019_5142-33396-0021__T1__NBASIC__1089,1089,5142,6.987406,18.360000,11.370000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134686-0019_5142-33396-0021__T1__NBASIC__1089.wav
1089-134686-0019_5142-33396-0021__T2__NBASIC__5142,5142,1089,-7.040809,11.340000,18.380000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134686-0019_5142-33396-0021__T2__NBASIC__5142.wav
1089-134686-0023_6829-68771-0020__T1__NBASIC__1089,1089,6829,1.682844,14.360000,12.680000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134686-0023_6829-68771-0020__T1__NBASIC__1089.wav
1089-134686-0023_6829-68771-0020__T2__NBASIC__6829,6829,1089,-1.802985,12.700000,14.500000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134686-0023_6829-68771-0020__T2__NBASIC__6829.wav
1089-134686-0024_1995-1836-0013__T1__NBASIC__1089,1089,1995,-2.710844,11.910000,14.620000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134686-0024_1995-1836-0013__T1__NBASIC__1089.wav
1089-134686-0024_1995-1836-0013__T2__NBASIC__1995,1995,1089,2.565376,14.430000,11.860000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134686-0024_1995-1836-0013__T2__NBASIC__1995.wav
1089-134686-0026_8224-274384-0010__T1__NBASIC__1089,1089,8224,-3.217998,9.840000,13.060000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134686-0026_8224-274384-0010__T1__NBASIC__1089.wav
1089-134686-0026_8224-274384-0010__T2__NBASIC__8224,8224,1089,3.151277,12.850000,9.700000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134686-0026_8224-274384-0010__T2__NBASIC__8224.wav
1089-134686-0028_6829-68771-0025__T1__NBASIC__1089,1089,6829,2.272948,14.210000,11.940000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134686-0028_6829-68771-0025__T1__NBASIC__1089.wav
1089-134686-0028_6829-68771-0025__T2__NBASIC__6829,6829,1089,-2.141334,11.800000,13.950000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134686-0028_6829-68771-0025__T2__NBASIC__6829.wav
1089-134686-0031_61-70968-0026__T1__NBASIC__1089,1089,61,-1.196858,6.880000,8.080000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134686-0031_61-70968-0026__T1__NBASIC__1089.wav
1089-134686-0031_61-70968-0026__T2__NBASIC__61,61,1089,1.211235,8.750000,7.540000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134686-0031_61-70968-0026__T2__NBASIC__61.wav
1089-134686-0032_4507-16021-0049__T1__NBASIC__1089,1089,4507,-3.354715,11.920000,15.270000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134686-0032_4507-16021-0049__T1__NBASIC__1089.wav
1089-134686-0032_4507-16021-0049__T2__NBASIC__4507,4507,1089,3.617676,16.170000,12.550000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134686-0032_4507-16021-0049__T2__NBASIC__4507.wav
1089-134686-0033_1320-122612-0001__T1__NBASIC__1089,1089,1320,-4.023248,9.310000,13.330000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134686-0033_1320-122612-0001__T1__NBASIC__1089.wav
1089-134686-0033_1320-122612-0001__T2__NBASIC__1320,1320,1089,4.461171,11.230000,6.770000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134686-0033_1320-122612-0001__T2__NBASIC__1320.wav
1089-134686-0034_5639-40744-0005__T1__NBASIC__1089,1089,5639,-5.616989,8.160000,13.780000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134686-0034_5639-40744-0005__T1__NBASIC__1089.wav
1089-134686-0034_5639-40744-0005__T2__NBASIC__5639,5639,1089,5.486351,13.960000,8.470000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134686-0034_5639-40744-0005__T2__NBASIC__5639.wav
1089-134686-0035_2300-131720-0025__T1__NBASIC__1089,1089,2300,2.387407,8.360000,5.970000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134686-0035_2300-131720-0025__T1__NBASIC__1089.wav
1089-134686-0035_2300-131720-0025__T2__NBASIC__2300,2300,1089,-2.406939,6.930000,9.340000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134686-0035_2300-131720-0025__T2__NBASIC__2300.wav
1089-134686-0036_6930-75918-0008__T1__NBASIC__1089,1089,6930,0.932900,10.930000,10.000000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134686-0036_6930-75918-0008__T1__NBASIC__1089.wav
1089-134686-0036_6930-75918-0008__T2__NBASIC__6930,6930,1089,-0.857438,11.940000,12.800000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134686-0036_6930-75918-0008__T2__NBASIC__6930.wav
1089-134686-0037_4446-2271-0000__T1__NBASIC__1089,1089,4446,3.755554,13.090000,9.340000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/context_ft13/est_wavs/1089-134686-0037_4446-2271-0000__T1__NBASIC__1089.wav
