key,target_spk,interferer_spk,mix_sisnr,est_sisnr,sisnr_i,est_path
1089-134686-0000_121-127105-0031__T1__NBASIC__1089,1089,121,4.362164,15.200000,10.840000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1089-134686-0000_121-127105-0031__T1__NBASIC__1089.wav
1089-134686-0000_121-127105-0031__T2__NBASIC__121,121,1089,-4.496023,10.290000,14.790000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1089-134686-0000_121-127105-0031__T2__NBASIC__121.wav
1089-134686-0002_7729-102255-0037__T1__NBASIC__1089,1089,7729,-0.855158,6.770000,7.630000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1089-134686-0002_7729-102255-0037__T1__NBASIC__1089.wav
1089-134686-0002_7729-102255-0037__T2__NBASIC__7729,7729,1089,0.922128,3.060000,2.130000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1089-134686-0002_7729-102255-0037__T2__NBASIC__7729.wav
1089-134686-0004_1284-1180-0027__T1__NBASIC__1089,1089,1284,0.557596,11.740000,11.190000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1089-134686-0004_1284-1180-0027__T1__NBASIC__1089.wav
1089-134686-0004_1284-1180-0027__T2__NBASIC__1284,1284,1089,-0.379676,12.710000,13.090000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1089-134686-0004_1284-1180-0027__T2__NBASIC__1284.wav
1089-134686-0006_1580-141083-0022__T1__NBASIC__1089,1089,1580,3.396266,15.580000,12.190000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1089-134686-0006_1580-141083-0022__T1__NBASIC__1089.wav
1089-134686-0006_1580-141083-0022__T2__NBASIC__1580,1580,1089,-3.856479,11.550000,15.400000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1089-134686-0006_1580-141083-0022__T2__NBASIC__1580.wav
1089-134686-0007_1995-1836-0000__T1__NBASIC__1089,1089,1995,-0.445771,13.650000,14.080000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1089-134686-0007_1995-1836-0000__T1__NBASIC__1089.wav
1089-134686-0007_1995-1836-0000__T2__NBASIC__1995,1995,1089,0.663157,14.090000,13.440000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1089-134686-0007_1995-1836-0000__T2__NBASIC__1995.wav
1089-134686-0008_672-122797-0007__T1__NBASIC__1089,1089,672,1.570218,13.650000,12.080000,/data/tse_cue_project/diagnostics/normal_basic_content_baseline_20260604/bundles/usef_ft13/est_wavs/1089-134686-0008_672-122797-0007__T1__NBASIC__1089.wav
