key,target_spk,interferer_spk,content_similarity,sisnr_i,num_chunks,content_mismatch_rate,waveform_interferer_rate,joint_content_waveform_rate,mean_content_gap,min_content_gap,mean_local_si_sdr_gap,content_segment_count,content_max_duration,content_mean_duration,content_first_position,bundle,layer_idx
1089-134686-0000_121-127105-0031__T1__NBASIC__1089,1089,121,normal_basic,10.99,18,0.0,0.0,0.0,0.2686422541623038,0.12761082047746952,40.71586159143084,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0000_121-127105-0031__T2__NBASIC__121,121,1089,normal_basic,14.98,18,0.0,0.0,0.0,0.26961502365119877,0.07149558136499978,36.610188854745935,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0002_7729-102255-0037__T1__NBASIC__1089,1089,7729,normal_basic,0.63,12,0.5,0.5,0.5,0.0062725282226861094,-0.1581680424186489,2.0833479792489857,2,1.5,1.25,0.0,HUBERT_BASE,6
1089-134686-0002_7729-102255-0037__T2__NBASIC__7729,7729,1089,normal_basic,6.22,12,0.08333333333333333,0.0,0.0,0.1635300778938825,-0.14562666124914891,17.939877785134822,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0004_1284-1180-0027__T1__NBASIC__1089,1089,1284,normal_basic,12.09,5,0.0,0.0,0.0,0.2351032721663576,0.14372053492269377,37.11369682588126,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0004_1284-1180-0027__T2__NBASIC__1284,1284,1089,normal_basic,12.13,5,0.0,0.0,0.0,0.3018802389363161,0.2237007081175011,33.516077225543384,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0006_1580-141083-0022__T1__NBASIC__1089,1089,1580,normal_basic,12.44,5,0.0,0.0,0.0,0.22767847456483126,0.03979713556766529,49.1772583543833,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0006_1580-141083-0022__T2__NBASIC__1580,1580,1089,normal_basic,15.88,5,0.0,0.0,0.0,0.30907045547396067,0.18009268656716781,43.91135191636924,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0007_1995-1836-0000__T1__NBASIC__1089,1089,1995,normal_basic,13.65,7,0.0,0.0,0.0,0.2742244457794882,0.19277751060215254,39.587101821446105,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0007_1995-1836-0000__T2__NBASIC__1995,1995,1089,normal_basic,12.75,7,0.14285714285714285,0.0,0.0,0.26276617749084386,-0.03132712778379676,37.08637293387712,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0008_672-122797-0007__T1__NBASIC__1089,1089,672,normal_basic,8.54,11,0.0,0.0,0.0,0.23423465138175492,0.05276394099350579,29.745674881912134,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0008_672-122797-0007__T2__NBASIC__672,672,1089,normal_basic,10.38,11,0.0,0.0,0.0,0.24893982264091638,0.10136586224956878,26.98585502238608,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0015_4970-29093-0003__T1__NBASIC__1089,1089,4970,normal_basic,13.3,10,0.0,0.0,0.0,0.27434220679524374,0.15643096642605736,56.38105916464675,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0015_4970-29093-0003__T2__NBASIC__4970,4970,1089,normal_basic,19.38,10,0.1,0.0,0.0,0.23454234606186306,-0.006356656803114258,47.666241350688146,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0019_5142-33396-0021__T1__NBASIC__1089,1089,5142,normal_basic,11.37,6,0.0,0.0,0.0,0.3322240089687916,0.26185935211983813,47.811758999575396,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0019_5142-33396-0021__T2__NBASIC__5142,5142,1089,normal_basic,18.38,6,0.0,0.0,0.0,0.24828483240287266,0.14365689225316258,43.95044404439659,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0023_6829-68771-0020__T1__NBASIC__1089,1089,6829,normal_basic,12.68,8,0.0,0.0,0.0,0.2812773161071888,0.22099476610699076,40.455704710697624,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0023_6829-68771-0020__T2__NBASIC__6829,6829,1089,normal_basic,14.5,8,0.0,0.0,0.0,0.31869170311186856,0.23831319332333578,42.76326016700254,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0024_1995-1836-0013__T1__NBASIC__1089,1089,1995,normal_basic,14.62,9,0.0,0.0,0.0,0.3339980397950588,0.2570709145242238,43.07941753918823,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0024_1995-1836-0013__T2__NBASIC__1995,1995,1089,normal_basic,11.86,9,0.0,0.0,0.0,0.2909316599815355,0.20896505891579165,41.43592204696999,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0026_8224-274384-0010__T1__NBASIC__1089,1089,8224,normal_basic,13.06,7,0.0,0.0,0.0,0.23777613085399782,0.13660806144249082,33.23237423330776,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0026_8224-274384-0010__T2__NBASIC__8224,8224,1089,normal_basic,9.7,7,0.0,0.0,0.0,0.27412579126905906,0.014326751799553117,33.59048750453065,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0028_6829-68771-0025__T1__NBASIC__1089,1089,6829,normal_basic,11.94,14,0.0,0.0,0.0,0.2982332384940059,0.09659832522791512,39.85091945985137,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0028_6829-68771-0025__T2__NBASIC__6829,6829,1089,normal_basic,13.95,14,0.0,0.0,0.0,0.2899412736962407,0.1665833062343136,40.55761262254475,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0031_61-70968-0026__T1__NBASIC__1089,1089,61,normal_basic,8.08,8,0.0,0.0,0.0,0.14390055122198264,0.03983974377107624,20.303747513022458,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0031_61-70968-0026__T2__NBASIC__61,61,1089,normal_basic,7.54,8,0.0,0.0,0.0,0.27643224228352453,0.20798678029763684,25.380960092410042,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0032_4507-16021-0049__T1__NBASIC__1089,1089,4507,normal_basic,15.27,7,0.0,0.0,0.0,0.29721177234100976,0.1250185848032913,37.24260389245131,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0032_4507-16021-0049__T2__NBASIC__4507,4507,1089,normal_basic,12.55,7,0.0,0.0,0.0,0.34949145532710074,0.3123374713288024,43.92463413024809,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0033_1320-122612-0001__T1__NBASIC__1089,1089,1320,normal_basic,13.33,5,0.0,0.0,0.0,0.22813314734883203,0.09811319083009895,37.46609758081736,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0033_1320-122612-0001__T2__NBASIC__1320,1320,1089,normal_basic,6.77,5,0.0,0.0,0.0,0.21859192848028952,0.1452878684550214,24.757372751005306,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0034_5639-40744-0005__T1__NBASIC__1089,1089,5639,normal_basic,13.78,10,0.0,0.0,0.0,0.18949398102795348,0.001642405953937831,27.00225783370498,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0034_5639-40744-0005__T2__NBASIC__5639,5639,1089,normal_basic,8.47,10,0.0,0.0,0.0,0.26954457528348075,0.12942253129407733,32.32459440691862,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0035_2300-131720-0025__T1__NBASIC__1089,1089,2300,normal_basic,5.97,5,0.0,0.0,0.0,0.1515292666663669,0.03362145595899946,20.51758044410116,0,0.0,0.0,-1.0,HUBERT_BASE,6
