key,target_spk,interferer_spk,content_similarity,sisnr_i,num_chunks,content_mismatch_rate,waveform_interferer_rate,joint_content_waveform_rate,mean_content_gap,min_content_gap,mean_local_si_sdr_gap,content_segment_count,content_max_duration,content_mean_duration,content_first_position,bundle,layer_idx
1089-134686-0000_121-127105-0031__T1__NBASIC__1089,1089,121,normal_basic,9.91,18,0.0,0.0,0.0,0.26234221228439214,0.12941934165759628,36.68273677309381,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0000_121-127105-0031__T2__NBASIC__121,121,1089,normal_basic,14.12,18,0.0,0.0,0.0,0.2650535493720064,0.13854270427428428,32.75909856305157,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0002_7729-102255-0037__T1__NBASIC__1089,1089,7729,normal_basic,6.01,12,0.0,0.0,0.0,0.14338229468972627,0.011689484582373177,16.213099955788664,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0002_7729-102255-0037__T2__NBASIC__7729,7729,1089,normal_basic,3.11,12,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.04866409040418727,-0.2583805867017426,8.8536614503009,1,1.5,1.5,2.0,HUBERT_BASE,6
1089-134686-0004_1284-1180-0027__T1__NBASIC__1089,1089,1284,normal_basic,11.05,5,0.0,0.0,0.0,0.2188808263991402,0.15651734790059435,31.960627598338238,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0004_1284-1180-0027__T2__NBASIC__1284,1284,1089,normal_basic,10.56,5,0.0,0.0,0.0,0.2907869651312921,0.20190005719752502,32.06780825521594,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0006_1580-141083-0022__T1__NBASIC__1089,1089,1580,normal_basic,11.4,5,0.0,0.0,0.0,0.20080406056341388,0.01800639379145419,44.66324973961978,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0006_1580-141083-0022__T2__NBASIC__1580,1580,1089,normal_basic,15.27,5,0.0,0.0,0.0,0.29044231013338745,0.16304987071096222,38.28427246825582,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0007_1995-1836-0000__T1__NBASIC__1089,1089,1995,normal_basic,12.39,7,0.0,0.0,0.0,0.2597769040698244,0.1907938084590567,35.306901944702894,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0007_1995-1836-0000__T2__NBASIC__1995,1995,1089,normal_basic,11.78,7,0.14285714285714285,0.0,0.0,0.24986018088660358,-0.03441190650780679,36.99532389314228,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0008_672-122797-0007__T1__NBASIC__1089,1089,672,normal_basic,6.75,11,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.20833140782765155,-0.029102863033864668,26.896891245289677,1,1.0,1.0,3.5,HUBERT_BASE,6
1089-134686-0008_672-122797-0007__T2__NBASIC__672,672,1089,normal_basic,9.51,11,0.09090909090909091,0.0,0.0,0.18627735108957122,-0.1455553740954233,22.77011078551929,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0015_4970-29093-0003__T1__NBASIC__1089,1089,4970,normal_basic,12.12,10,0.0,0.0,0.0,0.2732650863157111,0.15674131107278644,52.03410207499038,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0015_4970-29093-0003__T2__NBASIC__4970,4970,1089,normal_basic,18.69,10,0.1,0.0,0.0,0.23259204424143518,-0.01156640098603734,46.24796008460701,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0019_5142-33396-0021__T1__NBASIC__1089,1089,5142,normal_basic,10.79,6,0.0,0.0,0.0,0.3141656729670412,0.2597690768740154,45.89436737402173,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0019_5142-33396-0021__T2__NBASIC__5142,5142,1089,normal_basic,17.71,6,0.0,0.0,0.0,0.25783913091011595,0.15326897532561268,39.1822844984125,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0023_6829-68771-0020__T1__NBASIC__1089,1089,6829,normal_basic,11.78,8,0.0,0.0,0.0,0.24707362344398376,0.19338626435378814,36.04112158220566,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0023_6829-68771-0020__T2__NBASIC__6829,6829,1089,normal_basic,13.5,8,0.0,0.0,0.0,0.3110371862348741,0.22235279830639254,38.095663721276175,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0024_1995-1836-0013__T1__NBASIC__1089,1089,1995,normal_basic,12.47,9,0.0,0.0,0.0,0.30718909310174203,0.2059836080867269,33.16445307168273,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0024_1995-1836-0013__T2__NBASIC__1995,1995,1089,normal_basic,9.41,9,0.0,0.0,0.0,0.2748869380018935,0.21342862497650772,36.38771417042118,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0026_8224-274384-0010__T1__NBASIC__1089,1089,8224,normal_basic,12.19,7,0.0,0.0,0.0,0.2208593536294767,0.1320974283083015,27.585396918059335,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0026_8224-274384-0010__T2__NBASIC__8224,8224,1089,normal_basic,9.09,7,0.14285714285714285,0.0,0.0,0.24787795357299755,-0.0016465187724851171,32.81112185802741,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0028_6829-68771-0025__T1__NBASIC__1089,1089,6829,normal_basic,10.58,14,0.0,0.0,0.0,0.28506600111785707,0.05828857305297852,36.30883635026209,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0028_6829-68771-0025__T2__NBASIC__6829,6829,1089,normal_basic,12.67,14,0.0,0.0,0.0,0.2745760803261282,0.12713503583315378,35.53724616955923,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0031_61-70968-0026__T1__NBASIC__1089,1089,61,normal_basic,6.31,8,0.0,0.0,0.0,0.11451654479111978,0.003824591560165902,17.604753599277082,0,0.0,0.0,-1.0,HUBERT_BASE,6
