key,target_spk,interferer_spk,content_similarity,sisnr_i,num_chunks,content_mismatch_rate,waveform_interferer_rate,joint_content_waveform_rate,mean_content_gap,min_content_gap,mean_local_si_sdr_gap,content_segment_count,content_max_duration,content_mean_duration,content_first_position,bundle,layer_idx
1089-134686-0000_121-127105-0031__T1__NBASIC__1089,1089,121,normal_basic,10.84,18,0.0,0.0,0.0,0.2729419194361874,0.13602699288184028,40.08275961533272,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0000_121-127105-0031__T2__NBASIC__121,121,1089,normal_basic,14.79,18,0.0,0.0,0.0,0.2683433241562022,0.10093187257942138,36.48348209511946,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0002_7729-102255-0037__T1__NBASIC__1089,1089,7729,normal_basic,7.63,12,0.0,0.0,0.0,0.1963080653770386,0.012749790890328794,22.335446919714656,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0002_7729-102255-0037__T2__NBASIC__7729,7729,1089,normal_basic,2.13,12,0.08333333333333333,0.08333333333333333,0.0,0.07675373101773313,-0.22898137111464756,12.301025237533652,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0004_1284-1180-0027__T1__NBASIC__1089,1089,1284,normal_basic,11.19,5,0.0,0.0,0.0,0.22068085925978248,0.11001237182760415,35.77981971592051,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0004_1284-1180-0027__T2__NBASIC__1284,1284,1089,normal_basic,13.09,5,0.0,0.0,0.0,0.31790954533443416,0.23622168519967646,38.46036365888324,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0006_1580-141083-0022__T1__NBASIC__1089,1089,1580,normal_basic,12.19,5,0.0,0.0,0.0,0.21807581704968113,0.021669932700406846,46.067957245976146,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0006_1580-141083-0022__T2__NBASIC__1580,1580,1089,normal_basic,15.4,5,0.0,0.0,0.0,0.3046448374037324,0.15795736946981542,37.855518442470554,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0007_1995-1836-0000__T1__NBASIC__1089,1089,1995,normal_basic,14.08,7,0.0,0.0,0.0,0.2663480390036997,0.20311688970597275,39.530562403885774,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0007_1995-1836-0000__T2__NBASIC__1995,1995,1089,normal_basic,13.44,7,0.14285714285714285,0.0,0.0,0.2358566420861752,-0.049165191213374815,38.2577850594352,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0008_672-122797-0007__T1__NBASIC__1089,1089,672,normal_basic,12.08,11,0.0,0.0,0.0,0.28496651739412315,0.11471283206395877,39.028139654541796,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0008_672-122797-0007__T2__NBASIC__672,672,1089,normal_basic,13.46,11,0.0,0.0,0.0,0.33636701413160564,0.15670931025845292,36.85967566714756,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0015_4970-29093-0003__T1__NBASIC__1089,1089,4970,normal_basic,12.65,10,0.0,0.0,0.0,0.27918411878859195,0.16332422714803752,53.4638855355812,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0015_4970-29093-0003__T2__NBASIC__4970,4970,1089,normal_basic,18.74,10,0.1,0.0,0.0,0.23629132936493574,-0.00934344400036169,50.13605627166006,0,0.0,0.0,-1.0,HUBERT_BASE,6
