key,target_spk,interferer_spk,num_chunks,mean_local_target_interferer_si_sdr_gap,waveform_interferer_rate,wav2vec2_content_mismatch_rate,wavlm_content_mismatch_rate,hubert_content_mismatch_rate,two_verifier_content_mismatch_rate,two_verifier_si_sdr_confirmed_drift_rate,tri_verifier_content_mismatch_rate,tri_verifier_si_sdr_confirmed_drift_rate,any_two_verifier_content_mismatch,any_two_verifier_si_sdr_confirmed_drift,any_tri_verifier_content_mismatch,any_tri_verifier_si_sdr_confirmed_drift,two_verifier_content_mismatch_ge20pct,two_verifier_si_sdr_confirmed_drift_ge20pct,tri_verifier_content_mismatch_ge20pct,tri_verifier_si_sdr_confirmed_drift_ge20pct
1089-134686-0000_121-127105-0031__T1__NBASIC__1089,1089,121,18,40.715861591430844,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0000_121-127105-0031__T2__NBASIC__121,121,1089,18,36.610188854745935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0002_7729-102255-0037__T1__NBASIC__1089,1089,7729,12,2.0833479792489857,0.5,0.5,0.5833333333333334,0.5,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,1,1,1,1,1,1,1
1089-134686-0002_7729-102255-0037__T2__NBASIC__7729,7729,1089,12,17.939877785134822,0.0,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.0,1,0,1,0,0,0,0,0
1089-134686-0004_1284-1180-0027__T1__NBASIC__1089,1089,1284,5,37.11369682588126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0004_1284-1180-0027__T2__NBASIC__1284,1284,1089,5,33.516077225543384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0006_1580-141083-0022__T1__NBASIC__1089,1089,1580,5,49.1772583543833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0006_1580-141083-0022__T2__NBASIC__1580,1580,1089,5,43.91135191636924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0007_1995-1836-0000__T1__NBASIC__1089,1089,1995,7,39.587101821446105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0007_1995-1836-0000__T2__NBASIC__1995,1995,1089,7,37.08637293387712,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
