key,target_spk,interferer_spk,num_chunks,mean_local_target_interferer_si_sdr_gap,waveform_interferer_rate,wav2vec2_content_mismatch_rate,wavlm_content_mismatch_rate,hubert_content_mismatch_rate,two_verifier_content_mismatch_rate,two_verifier_si_sdr_confirmed_drift_rate,tri_verifier_content_mismatch_rate,tri_verifier_si_sdr_confirmed_drift_rate,any_two_verifier_content_mismatch,any_two_verifier_si_sdr_confirmed_drift,any_tri_verifier_content_mismatch,any_tri_verifier_si_sdr_confirmed_drift,two_verifier_content_mismatch_ge20pct,two_verifier_si_sdr_confirmed_drift_ge20pct,tri_verifier_content_mismatch_ge20pct,tri_verifier_si_sdr_confirmed_drift_ge20pct
1089-134686-0000_121-127105-0031__T1__NBASIC__1089,1089,121,18,36.68273677309381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0000_121-127105-0031__T2__NBASIC__121,121,1089,18,32.759098563051566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0002_7729-102255-0037__T1__NBASIC__1089,1089,7729,12,16.213099955788664,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0002_7729-102255-0037__T2__NBASIC__7729,7729,1089,12,8.8536614503009,0.08333333333333333,0.16666666666666666,0.25,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,1,1,1,1,0,0,0,0
1089-134686-0004_1284-1180-0027__T1__NBASIC__1089,1089,1284,5,31.960627598338238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0004_1284-1180-0027__T2__NBASIC__1284,1284,1089,5,32.06780825521594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0006_1580-141083-0022__T1__NBASIC__1089,1089,1580,5,44.66324973961978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0006_1580-141083-0022__T2__NBASIC__1580,1580,1089,5,38.28427246825583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0007_1995-1836-0000__T1__NBASIC__1089,1089,1995,7,35.306901944702894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0007_1995-1836-0000__T2__NBASIC__1995,1995,1089,7,36.995323893142285,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
