key,target_spk,interferer_spk,num_chunks,mean_local_target_interferer_si_sdr_gap,waveform_interferer_rate,wav2vec2_content_mismatch_rate,wavlm_content_mismatch_rate,hubert_content_mismatch_rate,two_verifier_content_mismatch_rate,two_verifier_si_sdr_confirmed_drift_rate,tri_verifier_content_mismatch_rate,tri_verifier_si_sdr_confirmed_drift_rate,any_two_verifier_content_mismatch,any_two_verifier_si_sdr_confirmed_drift,any_tri_verifier_content_mismatch,any_tri_verifier_si_sdr_confirmed_drift,two_verifier_content_mismatch_ge20pct,two_verifier_si_sdr_confirmed_drift_ge20pct,tri_verifier_content_mismatch_ge20pct,tri_verifier_si_sdr_confirmed_drift_ge20pct
1089-134686-0000_121-127105-0031__T1__NBASIC__1089,1089,121,18,40.082759615332726,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0000_121-127105-0031__T2__NBASIC__121,121,1089,18,36.48348209511946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0002_7729-102255-0037__T1__NBASIC__1089,1089,7729,12,22.335446919714652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0002_7729-102255-0037__T2__NBASIC__7729,7729,1089,12,12.301025237533652,0.08333333333333333,0.25,0.25,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.0,1,1,1,0,0,0,0,0
1089-134686-0004_1284-1180-0027__T1__NBASIC__1089,1089,1284,5,35.77981971592051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0004_1284-1180-0027__T2__NBASIC__1284,1284,1089,5,38.46036365888324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0006_1580-141083-0022__T1__NBASIC__1089,1089,1580,5,46.06795724597615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0006_1580-141083-0022__T2__NBASIC__1580,1580,1089,5,37.85551844247055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0007_1995-1836-0000__T1__NBASIC__1089,1089,1995,7,39.530562403885774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0007_1995-1836-0000__T2__NBASIC__1995,1995,1089,7,38.25778505943519,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,1,0,1,0,0,0,0,0
1089-134686-0008_672-122797-0007__T1__NBASIC__1089,1089,672,11,39.028139654541796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0008_672-122797-0007__T2__NBASIC__672,672,1089,11,36.85967566714756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0015_4970-29093-0003__T1__NBASIC__1089,1089,4970,10,53.46388553558119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0015_4970-29093-0003__T2__NBASIC__4970,4970,1089,10,50.13605627166006,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0019_5142-33396-0021__T1__NBASIC__1089,1089,5142,6,47.126616091260644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0019_5142-33396-0021__T2__NBASIC__5142,5142,1089,6,41.38188384628766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0023_6829-68771-0020__T1__NBASIC__1089,1089,6829,8,40.53608135689013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1089-134686-0023_6829-68771-0020__T2__NBASIC__6829,6829,1089,8,39.93395026663704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
