key,target_spk,interferer_spk,content_similarity,sisnr_i,num_chunks,content_mismatch_rate,waveform_interferer_rate,joint_content_waveform_rate,mean_content_gap,min_content_gap,mean_local_si_sdr_gap,content_segment_count,content_max_duration,content_mean_duration,content_first_position
1089-134686-0000_121-127105-0031__T1__NBASIC__1089,1089,121,normal_basic,10.99,18,0.05555555555555555,0.0,0.0,0.26441858945497226,-0.026443676483751233,40.71586159143084,0,0.0,0.0,-1.0
1089-134686-0000_121-127105-0031__T2__NBASIC__121,121,1089,normal_basic,14.98,18,0.0,0.0,0.0,0.24816593457519667,0.041746530398813264,36.610188854745935,0,0.0,0.0,-1.0
1089-134686-0002_7729-102255-0037__T1__NBASIC__1089,1089,7729,normal_basic,0.63,12,0.5,0.5,0.4166666666666667,0.03102435265854281,-0.12923199450188472,2.0833479792489857,1,2.0,2.0,0.0
1089-134686-0002_7729-102255-0037__T2__NBASIC__7729,7729,1089,normal_basic,6.22,12,0.16666666666666666,0.0,0.0,0.12497276470120015,-0.2536512713754195,17.939877785134822,0,0.0,0.0,-1.0
1089-134686-0004_1284-1180-0027__T1__NBASIC__1089,1089,1284,normal_basic,12.09,5,0.0,0.0,0.0,0.2700175166300963,0.17698170930113521,37.11369682588126,0,0.0,0.0,-1.0
1089-134686-0004_1284-1180-0027__T2__NBASIC__1284,1284,1089,normal_basic,12.13,5,0.0,0.0,0.0,0.32708263784373887,0.26898878274812354,33.516077225543384,0,0.0,0.0,-1.0
1089-134686-0006_1580-141083-0022__T1__NBASIC__1089,1089,1580,normal_basic,12.44,5,0.0,0.0,0.0,0.2783749053033145,0.05900381666305654,49.1772583543833,0,0.0,0.0,-1.0
1089-134686-0006_1580-141083-0022__T2__NBASIC__1580,1580,1089,normal_basic,15.88,5,0.0,0.0,0.0,0.31208685158794935,0.17224314161765308,43.91135191636924,0,0.0,0.0,-1.0
1089-134686-0007_1995-1836-0000__T1__NBASIC__1089,1089,1995,normal_basic,13.65,7,0.0,0.0,0.0,0.2641128589636719,0.09286119310541863,39.587101821446105,0,0.0,0.0,-1.0
1089-134686-0007_1995-1836-0000__T2__NBASIC__1995,1995,1089,normal_basic,12.75,7,0.14285714285714285,0.0,0.0,0.19424606594993693,-0.11464708907619925,37.08637293387712,0,0.0,0.0,-1.0
1089-134686-0008_672-122797-0007__T1__NBASIC__1089,1089,672,normal_basic,8.54,11,0.18181818181818182,0.0,0.0,0.16605205447095397,-0.2312923165371118,29.745674881912134,0,0.0,0.0,-1.0
1089-134686-0008_672-122797-0007__T2__NBASIC__672,672,1089,normal_basic,10.38,11,0.09090909090909091,0.0,0.0,0.24570757027679316,-0.03996461788146011,26.98585502238608,0,0.0,0.0,-1.0
1089-134686-0015_4970-29093-0003__T1__NBASIC__1089,1089,4970,normal_basic,13.3,10,0.0,0.0,0.0,0.3140082548913098,0.1830767545328057,56.38105916464675,0,0.0,0.0,-1.0
1089-134686-0015_4970-29093-0003__T2__NBASIC__4970,4970,1089,normal_basic,19.38,10,0.1,0.0,0.0,0.26984107487287273,-0.06266027479800507,47.666241350688146,0,0.0,0.0,-1.0
1089-134686-0019_5142-33396-0021__T1__NBASIC__1089,1089,5142,normal_basic,11.37,6,0.0,0.0,0.0,0.30289141575679374,0.27873983764351085,47.811758999575396,0,0.0,0.0,-1.0
1089-134686-0019_5142-33396-0021__T2__NBASIC__5142,5142,1089,normal_basic,18.38,6,0.0,0.0,0.0,0.2292278660231478,0.14371198128332263,43.95044404439659,0,0.0,0.0,-1.0
1089-134686-0023_6829-68771-0020__T1__NBASIC__1089,1089,6829,normal_basic,12.68,8,0.0,0.0,0.0,0.29972221166241636,0.2089729610780212,40.455704710697624,0,0.0,0.0,-1.0
1089-134686-0023_6829-68771-0020__T2__NBASIC__6829,6829,1089,normal_basic,14.5,8,0.0,0.0,0.0,0.30423507224857455,0.09414988567880034,42.76326016700254,0,0.0,0.0,-1.0
1089-134686-0024_1995-1836-0013__T1__NBASIC__1089,1089,1995,normal_basic,14.62,9,0.0,0.0,0.0,0.2632057003662025,0.008132648248092011,43.07941753918823,0,0.0,0.0,-1.0
1089-134686-0024_1995-1836-0013__T2__NBASIC__1995,1995,1089,normal_basic,11.86,9,0.0,0.0,0.0,0.2859138096809961,0.13064722758637304,41.43592204696999,0,0.0,0.0,-1.0
1089-134686-0026_8224-274384-0010__T1__NBASIC__1089,1089,8224,normal_basic,13.06,7,0.0,0.0,0.0,0.23000621797645943,0.17943888061224422,33.23237423330776,0,0.0,0.0,-1.0
