key,target_spk,interferer_spk,content_similarity,sisnr_i,num_chunks,content_mismatch_rate,waveform_interferer_rate,joint_content_waveform_rate,mean_content_gap,min_content_gap,mean_local_si_sdr_gap,content_segment_count,content_max_duration,content_mean_duration,content_first_position
1089-134686-0000_121-127105-0031__T1__NBASIC__1089,1089,121,normal_basic,9.91,18,0.0,0.0,0.0,0.2704530291032594,0.01071499461783365,36.68273677309381,0,0.0,0.0,-1.0
1089-134686-0000_121-127105-0031__T2__NBASIC__121,121,1089,normal_basic,14.12,18,0.0,0.0,0.0,0.2347547015508623,0.10439462005254097,32.75909856305157,0,0.0,0.0,-1.0
1089-134686-0002_7729-102255-0037__T1__NBASIC__1089,1089,7729,normal_basic,6.01,12,0.08333333333333333,0.0,0.0,0.16394344420490134,-0.011524558523747785,16.213099955788664,0,0.0,0.0,-1.0
1089-134686-0002_7729-102255-0037__T2__NBASIC__7729,7729,1089,normal_basic,3.11,12,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.03502568643099363,-0.255113686598862,8.8536614503009,0,0.0,0.0,-1.0
1089-134686-0004_1284-1180-0027__T1__NBASIC__1089,1089,1284,normal_basic,11.05,5,0.0,0.0,0.0,0.2283541426934009,0.17493029080593026,31.960627598338238,0,0.0,0.0,-1.0
1089-134686-0004_1284-1180-0027__T2__NBASIC__1284,1284,1089,normal_basic,10.56,5,0.0,0.0,0.0,0.3063759596509462,0.22021870541199307,32.06780825521594,0,0.0,0.0,-1.0
1089-134686-0006_1580-141083-0022__T1__NBASIC__1089,1089,1580,normal_basic,11.4,5,0.0,0.0,0.0,0.24349099263751225,0.03644094962690381,44.66324973961978,0,0.0,0.0,-1.0
1089-134686-0006_1580-141083-0022__T2__NBASIC__1580,1580,1089,normal_basic,15.27,5,0.0,0.0,0.0,0.24553653299018857,0.019187761914032597,38.28427246825582,0,0.0,0.0,-1.0
1089-134686-0007_1995-1836-0000__T1__NBASIC__1089,1089,1995,normal_basic,12.39,7,0.0,0.0,0.0,0.29686839534853554,0.24331157028333295,35.306901944702894,0,0.0,0.0,-1.0
1089-134686-0007_1995-1836-0000__T2__NBASIC__1995,1995,1089,normal_basic,11.78,7,0.0,0.0,0.0,0.23349485922373675,0.009296344149311242,36.99532389314228,0,0.0,0.0,-1.0
1089-134686-0008_672-122797-0007__T1__NBASIC__1089,1089,672,normal_basic,6.75,11,0.0,0.09090909090909091,0.0,0.22296434585948166,0.07957583981005067,26.896891245289677,0,0.0,0.0,-1.0
1089-134686-0008_672-122797-0007__T2__NBASIC__672,672,1089,normal_basic,9.51,11,0.09090909090909091,0.0,0.0,0.18964947943758895,-0.1525620191579271,22.77011078551929,0,0.0,0.0,-1.0
1089-134686-0015_4970-29093-0003__T1__NBASIC__1089,1089,4970,normal_basic,12.12,10,0.0,0.0,0.0,0.3119616191106894,0.12965216860477147,52.03410207499038,0,0.0,0.0,-1.0
1089-134686-0015_4970-29093-0003__T2__NBASIC__4970,4970,1089,normal_basic,18.69,10,0.1,0.0,0.0,0.22522120630786321,-0.040372697996128803,46.24796008460701,0,0.0,0.0,-1.0
1089-134686-0019_5142-33396-0021__T1__NBASIC__1089,1089,5142,normal_basic,10.79,6,0.0,0.0,0.0,0.2872306876590791,0.23542136678308623,45.89436737402173,0,0.0,0.0,-1.0
1089-134686-0019_5142-33396-0021__T2__NBASIC__5142,5142,1089,normal_basic,17.71,6,0.0,0.0,0.0,0.1999266897124423,0.011590957409782443,39.1822844984125,0,0.0,0.0,-1.0
1089-134686-0023_6829-68771-0020__T1__NBASIC__1089,1089,6829,normal_basic,11.78,8,0.0,0.0,0.0,0.29493267517815214,0.2498381087880278,36.04112158220566,0,0.0,0.0,-1.0
1089-134686-0023_6829-68771-0020__T2__NBASIC__6829,6829,1089,normal_basic,13.5,8,0.0,0.0,0.0,0.31893367995774413,0.20311092924161445,38.095663721276175,0,0.0,0.0,-1.0
1089-134686-0024_1995-1836-0013__T1__NBASIC__1089,1089,1995,normal_basic,12.47,9,0.0,0.0,0.0,0.2856406997833864,0.11436307201541185,33.16445307168273,0,0.0,0.0,-1.0
1089-134686-0024_1995-1836-0013__T2__NBASIC__1995,1995,1089,normal_basic,9.41,9,0.0,0.0,0.0,0.27202217487452524,0.09896366870096285,36.38771417042118,0,0.0,0.0,-1.0
1089-134686-0026_8224-274384-0010__T1__NBASIC__1089,1089,8224,normal_basic,12.19,7,0.0,0.0,0.0,0.20520806453814694,0.0969952921541799,27.585396918059335,0,0.0,0.0,-1.0
1089-134686-0026_8224-274384-0010__T2__NBASIC__8224,8224,1089,normal_basic,9.09,7,0.0,0.0,0.0,0.20122889343363967,0.018775356121823572,32.81112185802741,0,0.0,0.0,-1.0
1089-134686-0028_6829-68771-0025__T1__NBASIC__1089,1089,6829,normal_basic,10.58,14,0.0,0.0,0.0,0.2743680271171036,0.10606942987661505,36.30883635026209,0,0.0,0.0,-1.0
