key,target_spk,interferer_spk,content_similarity,sisnr_i,num_chunks,content_mismatch_rate,waveform_interferer_rate,joint_content_waveform_rate,mean_content_gap,min_content_gap,mean_local_si_sdr_gap,content_segment_count,content_max_duration,content_mean_duration,content_first_position
1089-134686-0000_121-127105-0031__T1__NBASIC__1089,1089,121,normal_basic,10.84,18,0.05555555555555555,0.0,0.0,0.2883714450911704,-0.008207275589788843,40.08275961533272,0,0.0,0.0,-1.0
1089-134686-0000_121-127105-0031__T2__NBASIC__121,121,1089,normal_basic,14.79,18,0.0,0.0,0.0,0.24946182964148575,0.12341324824089295,36.48348209511946,0,0.0,0.0,-1.0
1089-134686-0002_7729-102255-0037__T1__NBASIC__1089,1089,7729,normal_basic,7.63,12,0.0,0.0,0.0,0.20476135375043716,0.08244937984847789,22.335446919714656,0,0.0,0.0,-1.0
1089-134686-0002_7729-102255-0037__T2__NBASIC__7729,7729,1089,normal_basic,2.13,12,0.25,0.08333333333333333,0.08333333333333333,0.06200470673728481,-0.24010313508140402,12.301025237533652,0,0.0,0.0,-1.0
1089-134686-0004_1284-1180-0027__T1__NBASIC__1089,1089,1284,normal_basic,11.19,5,0.0,0.0,0.0,0.25492984890769244,0.1520414574646276,35.77981971592051,0,0.0,0.0,-1.0
1089-134686-0004_1284-1180-0027__T2__NBASIC__1284,1284,1089,normal_basic,13.09,5,0.0,0.0,0.0,0.33994767509599444,0.2397343397732794,38.46036365888324,0,0.0,0.0,-1.0
1089-134686-0006_1580-141083-0022__T1__NBASIC__1089,1089,1580,normal_basic,12.19,5,0.0,0.0,0.0,0.26598922380369255,0.04170589410033232,46.067957245976146,0,0.0,0.0,-1.0
1089-134686-0006_1580-141083-0022__T2__NBASIC__1580,1580,1089,normal_basic,15.4,5,0.0,0.0,0.0,0.28932410857766033,0.2233131669695364,37.855518442470554,0,0.0,0.0,-1.0
1089-134686-0007_1995-1836-0000__T1__NBASIC__1089,1089,1995,normal_basic,14.08,7,0.0,0.0,0.0,0.3076041088819203,0.26488822168816706,39.530562403885774,0,0.0,0.0,-1.0
1089-134686-0007_1995-1836-0000__T2__NBASIC__1995,1995,1089,normal_basic,13.44,7,0.14285714285714285,0.0,0.0,0.21893730704754577,-0.0029015096685917063,38.2577850594352,0,0.0,0.0,-1.0
1089-134686-0008_672-122797-0007__T1__NBASIC__1089,1089,672,normal_basic,12.08,11,0.0,0.0,0.0,0.2904979986191517,0.1572522937763945,39.028139654541796,0,0.0,0.0,-1.0
