key,target_spk,interferer_spk,content_similarity,sisnr_i,num_chunks,content_mismatch_rate,waveform_interferer_rate,joint_content_waveform_rate,mean_content_gap,min_content_gap,mean_local_si_sdr_gap,content_segment_count,content_max_duration,content_mean_duration,content_first_position,bundle,layer_idx
1089-134686-0000_121-127105-0031__T1__NBASIC__1089,1089,121,normal_basic,10.99,18,0.0,0.0,0.0,0.43111504690620917,0.20285784792495976,40.71586159143084,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134686-0000_121-127105-0031__T2__NBASIC__121,121,1089,normal_basic,14.98,18,0.0,0.0,0.0,0.39634422161536237,0.14729432668146436,36.610188854745935,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134686-0002_7729-102255-0037__T1__NBASIC__1089,1089,7729,normal_basic,0.63,12,0.5833333333333334,0.5,0.4166666666666667,0.019575369796081665,-0.5092978137242523,2.0833479792489857,2,2.0,1.5,1.0,WAVLM_BASE_PLUS,9
1089-134686-0002_7729-102255-0037__T2__NBASIC__7729,7729,1089,normal_basic,6.22,12,0.08333333333333333,0.0,0.0,0.22799260930959234,-0.3661168144435634,17.939877785134822,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134686-0004_1284-1180-0027__T1__NBASIC__1089,1089,1284,normal_basic,12.09,5,0.0,0.0,0.0,0.3859336333035116,0.3068958825358499,37.11369682588126,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134686-0004_1284-1180-0027__T2__NBASIC__1284,1284,1089,normal_basic,12.13,5,0.0,0.0,0.0,0.4444556553875708,0.3090062356606329,33.516077225543384,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134686-0006_1580-141083-0022__T1__NBASIC__1089,1089,1580,normal_basic,12.44,5,0.0,0.0,0.0,0.4051501302568908,0.09195930129902852,49.1772583543833,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134686-0006_1580-141083-0022__T2__NBASIC__1580,1580,1089,normal_basic,15.88,5,0.0,0.0,0.0,0.4481281405860075,0.30356622944511813,43.91135191636924,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134686-0007_1995-1836-0000__T1__NBASIC__1089,1089,1995,normal_basic,13.65,7,0.0,0.0,0.0,0.41857359492762647,0.28507299360146354,39.587101821446105,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134686-0007_1995-1836-0000__T2__NBASIC__1995,1995,1089,normal_basic,12.75,7,0.14285714285714285,0.0,0.0,0.3777599770529073,-0.04309320620498225,37.08637293387712,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134686-0008_672-122797-0007__T1__NBASIC__1089,1089,672,normal_basic,8.54,11,0.0,0.0,0.0,0.3601265932247105,0.16926217749519445,29.745674881912134,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134686-0008_672-122797-0007__T2__NBASIC__672,672,1089,normal_basic,10.38,11,0.09090909090909091,0.0,0.0,0.2987789997055022,-0.2608547158522417,26.98585502238608,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134686-0015_4970-29093-0003__T1__NBASIC__1089,1089,4970,normal_basic,13.3,10,0.0,0.0,0.0,0.4615539760548226,0.18680429085009576,56.38105916464675,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134686-0015_4970-29093-0003__T2__NBASIC__4970,4970,1089,normal_basic,19.38,10,0.0,0.0,0.0,0.3605446214265454,0.09677824184457129,47.666241350688146,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134686-0019_5142-33396-0021__T1__NBASIC__1089,1089,5142,normal_basic,11.37,6,0.0,0.0,0.0,0.4626471394661192,0.35381136745762676,47.811758999575396,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134686-0019_5142-33396-0021__T2__NBASIC__5142,5142,1089,normal_basic,18.38,6,0.0,0.0,0.0,0.406612758301727,0.32121055675861965,43.95044404439659,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134686-0023_6829-68771-0020__T1__NBASIC__1089,1089,6829,normal_basic,12.68,8,0.0,0.0,0.0,0.4375811874212657,0.35604166272474785,40.455704710697624,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134686-0023_6829-68771-0020__T2__NBASIC__6829,6829,1089,normal_basic,14.5,8,0.0,0.0,0.0,0.44444531581925106,0.32623558584055323,42.76326016700254,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134686-0024_1995-1836-0013__T1__NBASIC__1089,1089,1995,normal_basic,14.62,9,0.0,0.0,0.0,0.44969348317722574,0.3392978127667249,43.07941753918823,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134686-0024_1995-1836-0013__T2__NBASIC__1995,1995,1089,normal_basic,11.86,9,0.0,0.0,0.0,0.4307996989606847,0.33235709102376826,41.43592204696999,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134686-0026_8224-274384-0010__T1__NBASIC__1089,1089,8224,normal_basic,13.06,7,0.0,0.0,0.0,0.3409874865715742,0.24388314494563235,33.23237423330776,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134686-0026_8224-274384-0010__T2__NBASIC__8224,8224,1089,normal_basic,9.7,7,0.14285714285714285,0.0,0.0,0.34379953085455106,-0.012240361760182727,33.59048750453065,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134686-0028_6829-68771-0025__T1__NBASIC__1089,1089,6829,normal_basic,11.94,14,0.0,0.0,0.0,0.4605079988353261,0.2945182264552165,39.85091945985137,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134686-0028_6829-68771-0025__T2__NBASIC__6829,6829,1089,normal_basic,13.95,14,0.0,0.0,0.0,0.4095594094491536,0.24641271215401628,40.55761262254475,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134686-0031_61-70968-0026__T1__NBASIC__1089,1089,61,normal_basic,8.08,8,0.0,0.0,0.0,0.2740118167337317,0.07201153325131382,20.303747513022458,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134686-0031_61-70968-0026__T2__NBASIC__61,61,1089,normal_basic,7.54,8,0.0,0.0,0.0,0.38872297444703147,0.3083847883288876,25.380960092410042,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134686-0032_4507-16021-0049__T1__NBASIC__1089,1089,4507,normal_basic,15.27,7,0.0,0.0,0.0,0.3834986109667615,0.2584411456851713,37.24260389245131,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134686-0032_4507-16021-0049__T2__NBASIC__4507,4507,1089,normal_basic,12.55,7,0.0,0.0,0.0,0.46059406119613505,0.4117516705843543,43.92463413024809,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134686-0033_1320-122612-0001__T1__NBASIC__1089,1089,1320,normal_basic,13.33,5,0.0,0.0,0.0,0.3555852766920018,0.19145851201005937,37.46609758081736,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134686-0033_1320-122612-0001__T2__NBASIC__1320,1320,1089,normal_basic,6.77,5,0.0,0.0,0.0,0.3870916101672178,0.243038531795585,24.757372751005306,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134686-0034_5639-40744-0005__T1__NBASIC__1089,1089,5639,normal_basic,13.78,10,0.0,0.0,0.0,0.2732031113380812,0.007834119059731304,27.00225783370498,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134686-0034_5639-40744-0005__T2__NBASIC__5639,5639,1089,normal_basic,8.47,10,0.0,0.0,0.0,0.3660664088687319,0.12130147699114413,32.32459440691862,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134686-0035_2300-131720-0025__T1__NBASIC__1089,1089,2300,normal_basic,5.97,5,0.0,0.0,0.0,0.2373090967855001,0.09639817283476237,20.51758044410116,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134686-0035_2300-131720-0025__T2__NBASIC__2300,2300,1089,normal_basic,9.34,5,0.2,0.0,0.0,0.23141229366570837,-0.03663706706205849,25.895018778510554,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134686-0036_6930-75918-0008__T1__NBASIC__1089,1089,6930,normal_basic,10.0,5,0.0,0.0,0.0,0.38724277684400865,0.2943508950201395,32.66924040270619,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134686-0036_6930-75918-0008__T2__NBASIC__6930,6930,1089,normal_basic,12.8,5,0.0,0.0,0.0,0.48295421075296385,0.3216122018706141,36.190832126142865,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134686-0037_4446-2271-0000__T1__NBASIC__1089,1089,4446,normal_basic,9.34,5,0.0,0.0,0.0,0.3915980193599211,0.23378854313986697,34.3713841168798,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134686-0037_4446-2271-0000__T2__NBASIC__4446,4446,1089,normal_basic,12.71,5,0.0,0.0,0.0,0.36519740860416733,0.18997980689910066,31.490738684402505,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134691-0002_8455-210777-0005__T1__NBASIC__1089,1089,8455,normal_basic,7.12,10,0.0,0.0,0.0,0.3091150594045663,0.07726710880240562,32.51458968093172,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134691-0002_8455-210777-0005__T2__NBASIC__8455,8455,1089,normal_basic,-4.42,10,0.6,1.0,0.6,-0.12280284100179828,-0.5041570850373565,-16.123908084970747,3,1.0,1.0,0.0,WAVLM_BASE_PLUS,9
1089-134691-0006_4446-2275-0012__T1__NBASIC__1089,1089,4446,normal_basic,11.04,10,0.0,0.0,0.0,0.41020830825431603,0.2654492960202274,38.51526050186588,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134691-0006_4446-2275-0012__T2__NBASIC__4446,4446,1089,normal_basic,13.95,10,0.0,0.0,0.0,0.3993423541989823,0.3223037847373833,36.06712338544549,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134691-0013_4992-23283-0007__T1__NBASIC__1089,1089,4992,normal_basic,13.65,7,0.0,0.0,0.0,0.3744128471509106,0.16004163660648918,34.14267152736082,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134691-0013_4992-23283-0007__T2__NBASIC__4992,4992,1089,normal_basic,10.78,7,0.0,0.0,0.0,0.43662762687687057,0.2538539867803291,41.529324766322866,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134691-0014_237-134500-0012__T1__NBASIC__1089,1089,237,normal_basic,15.92,8,0.0,0.0,0.0,0.40950698382397277,0.20261973945092182,38.00222458181037,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134691-0014_237-134500-0012__T2__NBASIC__237,237,1089,normal_basic,12.45,8,0.0,0.0,0.0,0.44952917472494136,0.3276404570163825,43.68231561022061,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134691-0015_3575-170457-0015__T1__NBASIC__1089,1089,3575,normal_basic,12.97,4,0.0,0.0,0.0,0.39952198894713953,0.36403830517393876,37.25270877542175,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134691-0015_3575-170457-0015__T2__NBASIC__3575,3575,1089,normal_basic,11.66,4,0.0,0.0,0.0,0.37216304978796366,0.23067443603429916,39.9864692153753,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134691-0020_7021-85628-0000__T1__NBASIC__1089,1089,7021,normal_basic,13.19,5,0.0,0.0,0.0,0.49015895944313115,0.3421863845098796,45.415572835510986,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134691-0020_7021-85628-0000__T2__NBASIC__7021,7021,1089,normal_basic,14.16,5,0.0,0.0,0.0,0.4604730978764956,0.24437500014164204,46.96575256567267,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134691-0023_1580-141083-0000__T1__NBASIC__1089,1089,1580,normal_basic,8.08,14,0.0,0.0,0.0,0.40110520911386216,0.08312290740660311,38.72998858865363,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134691-0023_1580-141083-0000__T2__NBASIC__1580,1580,1089,normal_basic,14.36,14,0.0,0.0,0.0,0.32478549202425694,0.2378094236583389,30.75279362791292,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134691-0025_4970-29095-0012__T1__NBASIC__1089,1089,4970,normal_basic,11.1,8,0.0,0.0,0.0,0.3908021913264245,0.26896255670494695,36.77625458021474,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134691-0025_4970-29095-0012__T2__NBASIC__4970,4970,1089,normal_basic,11.39,8,0.0,0.0,0.0,0.40478641688923844,0.2068948086667437,41.86377581613013,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1188-133604-0001_1995-1826-0012__T1__NBASIC__1188,1188,1995,normal_basic,14.98,10,0.0,0.0,0.0,0.43601389204236946,0.33615188410744,41.99076394204822,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1188-133604-0001_1995-1826-0012__T2__NBASIC__1995,1995,1188,normal_basic,12.54,10,0.0,0.0,0.0,0.3927322333561313,0.2631225533312989,44.51096500594135,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1188-133604-0004_672-122797-0017__T1__NBASIC__1188,1188,672,normal_basic,9.07,8,0.0,0.0,0.0,0.37773317366834186,0.12598478542128333,33.58399283529009,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1188-133604-0004_672-122797-0017__T2__NBASIC__672,672,1188,normal_basic,9.75,8,0.0,0.0,0.0,0.43414177742527393,0.23320513363423012,29.106383964583927,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1188-133604-0005_4446-2271-0003__T1__NBASIC__1188,1188,4446,normal_basic,8.9,6,0.0,0.0,0.0,0.4298874289621469,0.3238389024243713,38.48091373048175,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1188-133604-0005_4446-2271-0003__T2__NBASIC__4446,4446,1188,normal_basic,13.58,6,0.0,0.0,0.0,0.31099669434599064,0.20498770065412175,31.686758504712213,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1188-133604-0011_4970-29095-0008__T1__NBASIC__1188,1188,4970,normal_basic,8.38,5,0.0,0.0,0.0,0.4054974789097141,0.23335384855863106,34.53972687504645,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1188-133604-0011_4970-29095-0008__T2__NBASIC__4970,4970,1188,normal_basic,11.97,5,0.0,0.0,0.0,0.31038150167442513,0.19236809777141084,34.15999211308649,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1188-133604-0012_5105-28241-0016__T1__NBASIC__1188,1188,5105,normal_basic,-12.16,11,0.9090909090909091,1.0,0.9090909090909091,-0.26085225857514155,-0.5540449838720762,-20.352002552741677,2,4.0,2.5,0.0,WAVLM_BASE_PLUS,9
1188-133604-0012_5105-28241-0016__T2__NBASIC__5105,5105,1188,normal_basic,11.98,11,0.0,0.0,0.0,0.3998040412611575,0.1672686281784055,36.89629707923031,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1188-133604-0016_7176-88083-0018__T1__NBASIC__1188,1188,7176,normal_basic,1.75,19,0.42105263157894735,0.15789473684210525,0.15789473684210525,0.05283615122280988,-0.5011399586108527,11.176498336942654,2,1.5,1.25,4.5,WAVLM_BASE_PLUS,9
1188-133604-0016_7176-88083-0018__T2__NBASIC__7176,7176,1188,normal_basic,6.61,19,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.2993808472057373,-0.02486640313402544,13.34860253274068,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1188-133604-0017_6930-81414-0007__T1__NBASIC__1188,1188,6930,normal_basic,10.85,7,0.0,0.0,0.0,0.43951690082112715,0.3634039388931914,46.43466396714553,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1188-133604-0017_6930-81414-0007__T2__NBASIC__6930,6930,1188,normal_basic,17.3,7,0.0,0.0,0.0,0.2875406887238626,0.1633715894926543,38.09830409435811,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1188-133604-0019_8224-274384-0008__T1__NBASIC__1188,1188,8224,normal_basic,11.48,23,0.0,0.0,0.0,0.45715029072942237,0.24171811566247137,41.2015810243763,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1188-133604-0019_8224-274384-0008__T2__NBASIC__8224,8224,1188,normal_basic,13.43,23,0.13043478260869565,0.0,0.0,0.2725167597039307,-0.11858597867459825,32.10756587204848,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1188-133604-0020_3729-6852-0044__T1__NBASIC__1188,1188,3729,normal_basic,12.42,12,0.0,0.0,0.0,0.44466783638571017,0.38418477005296847,43.53599506414875,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
