condition,cue,key,target_spk,utterance_si_sdr_target,mixture_si_sdr_target,traditional_sisnri
normal-basic-clean-test fixed-enroll,USEF,4077-13754-0001_5142-33396-0065,4077,13.59912099366586,1.1229285261100008,12.476192467555858
normal-basic-clean-test fixed-enroll,USEF,4077-13754-0001_5142-33396-0065,5142,11.964318379237945,-1.216751460871646,13.18106984010959
normal-basic-clean-test fixed-enroll,USEF,6930-76324-0027_5683-32879-0011,6930,10.852062076214144,1.4269655117604163,9.425096564453728
normal-basic-clean-test fixed-enroll,USEF,6930-76324-0027_5683-32879-0011,5683,7.574427883065216,-1.4774385535068655,9.05186643657208
normal-basic-clean-test fixed-enroll,USEF,1188-133604-0025_4992-23283-0016,1188,9.553621622229477,0.5185617973300336,9.035059824899443
normal-basic-clean-test fixed-enroll,USEF,1188-133604-0025_4992-23283-0016,4992,7.767192085781181,-0.5213838469608051,8.288575932741987
normal-basic-clean-test fixed-enroll,USEF,5683-32866-0012_121-121726-0001,5683,13.01311774368756,4.377407233929385,8.635710509758177
normal-basic-clean-test fixed-enroll,USEF,5683-32866-0012_121-121726-0001,121,11.473828675046542,-4.335950847701713,15.809779522748254
normal-basic-clean-test fixed-enroll,USEF,1995-1837-0025_5142-36377-0017,1995,13.657873236867532,-2.2574183110095007,15.915291547877032
normal-basic-clean-test fixed-enroll,USEF,1995-1837-0025_5142-36377-0017,5142,16.088274335222835,2.3187634243570434,13.76951091086579
normal-basic-clean-test fixed-enroll,USEF,2830-3980-0022_8555-292519-0010,2830,13.58216055996298,-2.064679657536788,15.646840217499768
normal-basic-clean-test fixed-enroll,USEF,2830-3980-0022_8555-292519-0010,8555,14.184774802957898,2.1193040949456674,12.065470708012231
normal-basic-clean-test fixed-enroll,USEF,5639-40744-0034_4507-16021-0058,5639,15.953647373309265,3.138371964100795,12.81527540920847
normal-basic-clean-test fixed-enroll,USEF,5639-40744-0034_4507-16021-0058,4507,13.043972182015342,-3.2747439708583452,16.318716152873687
normal-basic-clean-test fixed-enroll,USEF,3729-6852-0046_672-122797-0044,3729,17.271777922673646,4.64502854437313,12.626749378300516
normal-basic-clean-test fixed-enroll,USEF,3729-6852-0046_672-122797-0044,672,-24.63622097621227,-4.544047266668309,-20.092173709543964
normal-basic-clean-test fixed-enroll,USEF,2830-3980-0032_237-134500-0010,2830,10.893937184118608,-3.783540415061072,14.67747759917968
normal-basic-clean-test fixed-enroll,USEF,2830-3980-0032_237-134500-0010,237,14.499768371588274,3.647439838020497,10.852328533567778
normal-basic-clean-test fixed-enroll,USEF,2300-131720-0026_4446-2273-0008,2300,16.175924227424822,7.304827303831157,8.871096923593665
normal-basic-clean-test fixed-enroll,USEF,2300-131720-0026_4446-2273-0008,4446,6.887263747942462,-7.487742066952784,14.375005814895246
normal-basic-clean-test fixed-enroll,USEF,121-121726-0014_7021-79740-0000,121,10.691042620743668,-6.057291685272643,16.74833430601631
normal-basic-clean-test fixed-enroll,USEF,121-121726-0014_7021-79740-0000,7021,16.776597214546427,6.255883336950575,10.520713877595853
normal-basic-clean-test fixed-enroll,USEF,1320-122617-0025_260-123440-0019,1320,8.072874150428051,-3.2876459339848485,11.360520084412899
normal-basic-clean-test fixed-enroll,USEF,1320-122617-0025_260-123440-0019,260,9.7546525043106,3.441231727747598,6.313420776563003
normal-basic-clean-test fixed-enroll,USEF,2961-961-0007_6930-76324-0016,2961,14.256034172244004,4.699445339973391,9.556588832270613
normal-basic-clean-test fixed-enroll,USEF,2961-961-0007_6930-76324-0016,6930,8.809998471219282,-4.6731301433331,13.483128614552381
normal-basic-clean-test fixed-enroll,USEF,3729-6852-0038_8463-294828-0003,3729,5.524239311304074,-3.5994400011331065,9.12367931243718
normal-basic-clean-test fixed-enroll,USEF,3729-6852-0038_8463-294828-0003,8463,11.827001090350509,3.8618153043426755,7.965185786007833
normal-basic-clean-test fixed-enroll,USEF,4992-41806-0016_8230-279154-0023,4992,17.197547234688045,6.972457527270923,10.225089707417123
normal-basic-clean-test fixed-enroll,USEF,4992-41806-0016_8230-279154-0023,8230,10.665172823857034,-7.063440969894294,17.72861379375133
normal-basic-clean-test fixed-enroll,USEF,8555-284447-0001_4077-13751-0003,8555,12.556798220874576,-1.07947643018834,13.636274651062916
normal-basic-clean-test fixed-enroll,USEF,8555-284447-0001_4077-13751-0003,4077,13.84075310892924,1.02943448956238,12.81131861936686
normal-basic-clean-test fixed-enroll,USEF,260-123286-0015_237-134493-0001,260,13.435944874800551,0.14492432729322163,13.29102054750733
normal-basic-clean-test fixed-enroll,USEF,260-123286-0015_237-134493-0001,237,13.433131460764807,-0.21430323999224682,13.647434700757055
normal-basic-clean-test fixed-enroll,USEF,1580-141083-0006_7176-88083-0024,1580,12.312953608135022,-1.241053905944751,13.554007514079773
normal-basic-clean-test fixed-enroll,USEF,1580-141083-0006_7176-88083-0024,7176,13.096400576834704,1.166671693846512,11.929728882988192
normal-basic-clean-test fixed-enroll,USEF,260-123286-0005_237-126133-0000,260,15.162277234479902,4.656209683242371,10.506067551237532
normal-basic-clean-test fixed-enroll,USEF,260-123286-0005_237-126133-0000,237,10.24937766966466,-4.352339173479381,14.601716843144041
normal-basic-clean-test fixed-enroll,USEF,4446-2271-0021_4970-29093-0013,4446,-23.584584914430383,-1.148465312931638,-22.436119601498746
normal-basic-clean-test fixed-enroll,USEF,4446-2271-0021_4970-29093-0013,4970,11.38176600612614,1.1214750490915897,10.26029095703455
normal-basic-clean-test fixed-enroll,USEF,5105-28233-0005_4446-2275-0013,5105,9.316812928834906,3.374313383755747,5.942499545079159
normal-basic-clean-test fixed-enroll,USEF,5105-28233-0005_4446-2275-0013,4446,7.803980448150027,-3.459652671183372,11.263633119333399
normal-basic-clean-test fixed-enroll,USEF,1188-133604-0022_1221-135767-0019,1188,18.451261597959554,4.659320033681679,13.791941564277876
normal-basic-clean-test fixed-enroll,USEF,1188-133604-0022_1221-135767-0019,1221,13.095914406865816,-4.723205909694225,17.819120316560042
normal-basic-clean-test fixed-enroll,USEF,1221-135766-0014_3729-6852-0011,1221,8.234173352670881,-4.486607994375076,12.720781347045957
normal-basic-clean-test fixed-enroll,USEF,1221-135766-0014_3729-6852-0011,3729,14.243508933397957,4.769031825385885,9.47447710801207
normal-basic-clean-test fixed-enroll,USEF,1221-135766-0013_1284-1181-0013,1221,11.600357862412116,-0.4782405648934842,12.0785984273056
normal-basic-clean-test fixed-enroll,USEF,1221-135766-0013_1284-1181-0013,1284,10.978103242450295,0.32532884992218375,10.652774392528112
normal-basic-clean-test fixed-enroll,USEF,121-123852-0004_7176-92135-0002,121,10.503462369335118,-4.054818644494364,14.558281013829482
normal-basic-clean-test fixed-enroll,USEF,121-123852-0004_7176-92135-0002,7176,16.025434132590025,4.112746288697546,11.912687843892478
normal-basic-clean-test fixed-enroll,USEF,2094-142345-0011_1580-141083-0001,2094,12.571222874593047,-2.274030408652012,14.845253283245059
normal-basic-clean-test fixed-enroll,USEF,2094-142345-0011_1580-141083-0001,1580,14.62109812622729,2.3718203694948548,12.249277756732436
normal-basic-clean-test fixed-enroll,USEF,61-70970-0000_121-121726-0002,61,12.374751664706013,-3.4061688039889337,15.780920468694946
normal-basic-clean-test fixed-enroll,USEF,61-70970-0000_121-121726-0002,121,15.619622981057024,3.5347319167968805,12.084891064260143
normal-basic-clean-test fixed-enroll,USEF,7021-79730-0004_2830-3980-0009,7021,3.79111539558153,-2.884227310478715,6.6753427060602455
normal-basic-clean-test fixed-enroll,USEF,7021-79730-0004_2830-3980-0009,2830,7.427882769378189,2.995033306800778,4.432849462577411
normal-basic-clean-test fixed-enroll,USEF,61-70970-0028_2300-131720-0013,61,10.096212128961843,-1.9444507193676324,12.040662848329475
normal-basic-clean-test fixed-enroll,USEF,61-70970-0028_2300-131720-0013,2300,11.5821555475548,2.0925474463676204,9.48960810118718
normal-basic-clean-test fixed-enroll,USEF,7021-85628-0018_4507-16021-0039,7021,15.696237197806946,4.7295367593038415,10.966700438503103
normal-basic-clean-test fixed-enroll,USEF,7021-85628-0018_4507-16021-0039,4507,10.471727338900523,-4.697339800454844,15.169067139355366
normal-basic-clean-test fixed-enroll,USEF,1580-141083-0041_8463-294828-0011,1580,6.635899326123952,-2.1102541571712137,8.746153483295165
normal-basic-clean-test fixed-enroll,USEF,1580-141083-0041_8463-294828-0011,8463,8.734774829198887,2.327038761589955,6.407736067608932
normal-basic-clean-test fixed-enroll,USEF,1580-141083-0038_4077-13754-0009,1580,10.002653253553206,-2.798782905378456,12.801436158931661
normal-basic-clean-test fixed-enroll,USEF,1580-141083-0038_4077-13754-0009,4077,11.926074238559472,2.7763132196639524,9.14976101889552
normal-basic-clean-test fixed-enroll,USEF,5639-40744-0033_4446-2273-0035,5639,12.449056491108005,-5.709160829553726,18.15821732066173
normal-basic-clean-test fixed-enroll,USEF,5639-40744-0033_4446-2273-0035,4446,18.19702271290148,5.600176701282065,12.596846011619414
normal-basic-clean-test fixed-enroll,USEF,4446-2271-0014_3570-5694-0003,4446,6.182997633579141,-3.262648643405626,9.445646276984768
normal-basic-clean-test fixed-enroll,USEF,4446-2271-0014_3570-5694-0003,3570,-16.672292639767296,3.8441939729844616,-20.516486612751756
normal-basic-clean-test fixed-enroll,USEF,1995-1837-0027_4970-29095-0022,1995,10.064637249100915,-2.3955459887121395,12.460183237813055
normal-basic-clean-test fixed-enroll,USEF,1995-1837-0027_4970-29095-0022,4970,13.417930508629984,2.4245294909885637,10.993401017641421
normal-basic-clean-test fixed-enroll,USEF,4446-2275-0008_2300-131720-0032,4446,8.805537336539146,-7.3511830585874645,16.156720395126612
normal-basic-clean-test fixed-enroll,USEF,4446-2275-0008_2300-131720-0032,2300,16.715346836051623,7.14958332916226,9.565763506889363
normal-basic-clean-test fixed-enroll,USEF,4446-2273-0019_8555-284447-0022,4446,9.60801232383014,-1.2354716280876445,10.843483951917785
normal-basic-clean-test fixed-enroll,USEF,4446-2273-0019_8555-284447-0022,8555,2.9896085835770347,1.2708497665372278,1.718758817039807
normal-basic-clean-test fixed-enroll,USEF,3729-6852-0009_8455-210777-0059,3729,9.64542775634045,-5.188913572649577,14.834341328990027
normal-basic-clean-test fixed-enroll,USEF,3729-6852-0009_8455-210777-0059,8455,15.005950620138623,5.215737069077835,9.790213551060788
normal-basic-clean-test fixed-enroll,USEF,8455-210777-0020_61-70968-0054,8455,3.0014893161275493,-2.7207812837860574,5.722270599913607
normal-basic-clean-test fixed-enroll,USEF,8455-210777-0020_61-70968-0054,61,11.985119987581296,2.1814179318363145,9.803702055744981
normal-basic-clean-test fixed-enroll,USEF,7729-102255-0023_61-70968-0033,7729,4.425258107009446,-3.902464704074722,8.327722811084168
normal-basic-clean-test fixed-enroll,USEF,7729-102255-0023_61-70968-0033,61,9.755946147018038,3.868129128400314,5.887817018617724
normal-basic-clean-test fixed-enroll,USEF,8463-287645-0002_260-123440-0015,8463,-11.211220218954526,-0.5852977151454922,-10.625922503809035
normal-basic-clean-test fixed-enroll,USEF,8463-287645-0002_260-123440-0015,260,11.86143370755958,0.8564237632358696,11.00500994432371
normal-basic-clean-test fixed-enroll,USEF,6829-68771-0029_4992-41797-0011,6829,8.363769015223447,-4.595879459631553,12.959648474855001
normal-basic-clean-test fixed-enroll,USEF,6829-68771-0029_4992-41797-0011,4992,6.923326161757709,4.149799136615698,2.7735270251420108
normal-basic-clean-test fixed-enroll,USEF,260-123440-0017_7729-102255-0008,260,6.46351384030031,-2.6789826059442694,9.142496446244579
normal-basic-clean-test fixed-enroll,USEF,260-123440-0017_7729-102255-0008,7729,10.152077726526835,2.363091339127413,7.788986387399422
normal-basic-clean-test fixed-enroll,USEF,260-123440-0011_1320-122617-0016,260,9.89821853433744,-1.5402396218044132,11.438458156141854
normal-basic-clean-test fixed-enroll,USEF,260-123440-0011_1320-122617-0016,1320,11.53016176641122,1.351673998113963,10.178487768297257
normal-basic-clean-test fixed-enroll,USEF,8463-294828-0009_3570-5694-0015,8463,14.143740586671704,1.080476035627659,13.063264551044046
normal-basic-clean-test fixed-enroll,USEF,8463-294828-0009_3570-5694-0015,3570,12.141473920172528,-0.9759201102748015,13.117394030447329
normal-basic-clean-test fixed-enroll,USEF,260-123286-0030_3729-6852-0004,260,14.834396063958996,4.400452422827089,10.433943641131908
normal-basic-clean-test fixed-enroll,USEF,260-123286-0030_3729-6852-0004,3729,10.726995831729662,-4.4017101748246805,15.128706006554342
normal-basic-clean-test fixed-enroll,USEF,4077-13751-0017_5105-28241-0009,4077,-4.01736078965993,3.3971165253612727,-7.4144773150212036
normal-basic-clean-test fixed-enroll,USEF,4077-13751-0017_5105-28241-0009,5105,9.92154937460879,-3.1953981933154174,13.116947567924209
normal-basic-clean-test fixed-enroll,USEF,1995-1826-0025_7021-85628-0007,1995,17.4447633868623,2.689554728531986,14.755208658330313
normal-basic-clean-test fixed-enroll,USEF,1995-1826-0025_7021-85628-0007,7021,14.879237792356893,-2.85014722550115,17.729385017858043
normal-basic-clean-test fixed-enroll,USEF,1221-135766-0006_7176-92135-0040,1221,12.425088559387678,-3.219463230629327,15.644551790017005
normal-basic-clean-test fixed-enroll,USEF,1221-135766-0006_7176-92135-0040,7176,15.809295333748333,3.314673933865719,12.494621399882615
normal-basic-clean-test fixed-enroll,USEF,6930-81414-0002_7021-85628-0023,6930,9.53581702501114,-4.649584121974915,14.185401146986056
normal-basic-clean-test fixed-enroll,USEF,6930-81414-0002_7021-85628-0023,7021,14.92003896003357,4.818146278262415,10.101892681771155
normal-basic-clean-test fixed-enroll,USEF,2830-3980-0071_5142-33396-0024,2830,11.857039725,-2.2546306078563916,14.111670332856391
normal-basic-clean-test fixed-enroll,USEF,2830-3980-0071_5142-33396-0024,5142,14.435200487134232,2.206762895779136,12.228437591355096
normal-basic-clean-test fixed-enroll,USEF,908-31957-0019_4970-29095-0028,908,11.370893358968711,-6.639070423368779,18.00996378233749
