chunks_1s,chunks_2s,ecapa_mismatch_rate_1s,ecapa_mismatch_rate_2s,interferer_spk,key,local_sisdr_gap_mean_1s,local_sisdr_gap_mean_2s,mv_mismatch_rate_1s,mv_mismatch_rate_2s,mv_true_swap_rate_1s,mv_true_swap_rate_2s,target_spk,utterance_si_sdr_gap,utterance_si_sdr_interferer,utterance_si_sdr_target,verifier_instability_rate_1s,verifier_instability_rate_2s
6,2,0.0,0.0,5142,4077-13754-0001_5142-33396-0065,38.53473810668837,40.69206336408461,0.0,0.0,0.0,0.0,4077,39.301525030306266,-26.286342500490576,13.015182529815693,0.0,0.0
6,2,0.0,0.0,4077,4077-13754-0001_5142-33396-0065,40.943369320058174,40.01326191741538,0.0,0.0,0.0,0.0,5142,41.012816835317665,-29.841644270504002,11.171172564813666,0.16666666666666666,0.0
15,7,0.0,0.0,5683,6930-76324-0027_5683-32879-0011,32.167514202451805,31.344097264665635,0.0,0.0,0.0,0.0,6930,31.358547226739915,-20.490996425648312,10.867550801091603,0.0,0.0
15,7,0.2,0.14285714285714285,6930,6930-76324-0027_5683-32879-0011,22.468740986117172,21.548648848326604,0.06666666666666667,0.0,0.0,0.0,5683,22.973648054650617,-15.559493889276663,7.414154165373955,0.13333333333333333,0.14285714285714285
7,3,0.0,0.0,4992,1188-133604-0025_4992-23283-0016,26.420786035673185,26.696472142935693,0.0,0.0,0.0,0.0,1188,26.221755781020093,-16.83032341452236,9.391432366497733,0.0,0.0
7,3,0.0,0.0,1188,1188-133604-0025_4992-23283-0016,30.65043629593549,32.16871347970457,0.0,0.0,0.0,0.0,4992,30.023492476794345,-21.287358504072262,8.736133972722081,0.0,0.0
9,4,0.0,0.0,121,5683-32866-0012_121-121726-0001,43.90333999659195,50.57133946281044,0.0,0.0,0.0,0.0,5683,43.77900714995927,-28.16623736011192,15.612769789847352,0.0,0.0
9,4,0.2222222222222222,0.0,5683,5683-32866-0012_121-121726-0001,33.36246625323795,32.36527682498183,0.2222222222222222,0.0,0.0,0.0,121,32.287470054580425,-22.10954710583492,10.177922948745504,0.6666666666666666,1.0
8,3,0.0,0.0,5142,1995-1837-0025_5142-36377-0017,38.46135598039108,38.157022781028424,0.0,0.0,0.0,0.0,1995,36.26839198898206,-24.192342937822843,12.076049051159217,0.0,0.0
8,3,0.0,0.0,1995,1995-1837-0025_5142-36377-0017,47.542437403457356,47.86782951825419,0.0,0.0,0.0,0.0,5142,47.28434787687996,-30.769613895395324,16.514733981484635,0.0,0.0
5,2,0.0,0.0,8555,2830-3980-0022_8555-292519-0010,36.25164635733965,38.392104826691394,0.0,0.0,0.0,0.0,2830,37.45045924951502,-24.71466037328121,12.735798876233815,0.0,0.0
5,2,0.2,0.0,2830,2830-3980-0022_8555-292519-0010,42.994580327408016,42.1803778335119,0.2,0.0,0.0,0.0,8555,43.60353945870874,-28.022782124784833,15.580757333923907,0.0,0.0
5,2,0.0,0.0,4507,5639-40744-0034_4507-16021-0058,48.133047386285604,44.360316283966185,0.0,0.0,0.0,0.0,5639,47.02616018224441,-30.487565594067956,16.53859458817646,0.0,0.0
5,2,0.0,0.0,5639,5639-40744-0034_4507-16021-0058,47.66433131699851,46.55159526178923,0.0,0.0,0.0,0.0,4507,47.500435147521415,-33.77716895411056,13.72326619341086,0.0,0.0
6,2,0.0,0.0,672,3729-6852-0046_672-122797-0044,44.62776257007028,44.80860029010393,0.0,0.0,0.0,0.0,3729,48.307187422055534,-30.795648191769104,17.511539230286434,0.16666666666666666,0.0
6,2,1.0,1.0,3729,3729-6852-0046_672-122797-0044,-44.172669481952454,-44.084105723712455,0.8333333333333334,1.0,0.8333333333333334,1.0,672,-47.54339571250415,17.497340192599594,-30.046055519904552,0.16666666666666666,0.0
6,2,0.0,0.0,237,2830-3980-0032_237-134500-0010,38.88838961333976,39.40486272014864,0.0,0.0,0.0,0.0,2830,39.948387030354056,-28.664040702256813,11.28434632809724,0.0,0.0
6,2,0.0,0.0,2830,2830-3980-0032_237-134500-0010,43.71846532785869,43.13045064548586,0.0,0.0,0.0,0.0,237,42.152550512512136,-27.009203359961994,15.143347152550144,0.0,0.0
14,6,0.0,0.0,4446,2300-131720-0026_4446-2273-0008,42.90034283780613,40.52555533591545,0.0,0.0,0.0,0.0,2300,43.32146112182892,-27.1047976817395,16.216663440089413,0.07142857142857142,0.0
14,6,0.0,0.0,2300,2300-131720-0026_4446-2273-0008,33.962632954379416,31.74143938979144,0.0,0.0,0.0,0.0,4446,30.720369592329675,-23.249523949079006,7.470845643250668,0.0,0.0
5,2,0.0,0.0,7021,121-121726-0014_7021-79740-0000,35.46081737845006,36.37928633189868,0.0,0.0,0.0,0.0,121,36.80015746274917,-26.227572683212532,10.572584779536633,0.8,0.0
5,2,0.0,0.0,121,121-121726-0014_7021-79740-0000,44.046874610015585,45.902895822021364,0.0,0.0,0.0,0.0,7021,44.31930230103807,-27.10291746555064,17.216384835487432,0.0,0.0
11,5,0.0,0.0,260,1320-122617-0025_260-123440-0019,20.60621661754182,21.223236131790735,0.0,0.0,0.0,0.0,1320,20.478718804155196,-12.920075772494764,7.5586430316604325,0.09090909090909091,0.0
11,5,0.18181818181818182,0.0,1320,1320-122617-0025_260-123440-0019,10.668445692544424,9.596318660219719,0.0,0.0,0.0,0.0,260,12.153777360344437,-7.138858471884023,5.0149188884604134,0.8181818181818182,0.8
16,7,1.0,1.0,6930,2961-961-0007_6930-76324-0016,-23.994350536843594,-24.403390843091394,1.0,1.0,1.0,1.0,2961,-24.261474264392493,6.799353134457764,-17.46212112993473,0.0,0.0
16,7,0.0,0.0,2961,2961-961-0007_6930-76324-0016,30.08751912797812,29.896347472485054,0.0,0.0,0.0,0.0,6930,29.99257144273272,-20.67385470840492,9.3187167343278,0.0,0.0
10,4,0.4,0.25,8463,3729-6852-0038_8463-294828-0003,26.653869098229286,24.36790582567742,0.1,0.0,0.0,0.0,3729,25.646751656829085,-17.85215419852593,7.794597458303154,0.4,0.25
10,4,0.0,0.0,3729,3729-6852-0038_8463-294828-0003,31.516992406252506,29.154164597096212,0.0,0.0,0.0,0.0,8463,31.421840935949533,-19.565501563131356,11.856339372818177,0.0,0.0
11,5,0.0,0.0,8230,4992-41806-0016_8230-279154-0023,48.823249237171176,46.719788986950064,0.0,0.0,0.0,0.0,4992,47.689406199657725,-30.275865098978162,17.413541100679563,0.0,0.0
11,5,0.0,0.0,4992,4992-41806-0016_8230-279154-0023,39.48795687870283,37.936647676704816,0.0,0.0,0.0,0.0,8230,38.719439554805504,-28.343734919807268,10.375704634998236,0.0,0.0
16,7,0.0,0.0,4077,8555-284447-0001_4077-13751-0003,40.89076086408031,42.26629001315605,0.0,0.0,0.0,0.0,8555,40.65444927268349,-27.366315430233676,13.288133842449819,0.3125,0.14285714285714285
16,7,0.0,0.0,8555,8555-284447-0001_4077-13751-0003,43.2925328305158,42.17684275014439,0.0,0.0,0.0,0.0,4077,43.417376486026356,-28.810473168731967,14.606903317294393,0.0,0.0
9,4,0.0,0.0,237,260-123286-0015_237-134493-0001,46.21798671945987,44.34232317458524,0.0,0.0,0.0,0.0,260,41.57603325959927,-28.237619633190867,13.338413626408405,0.0,0.0
9,4,0.0,0.0,260,260-123286-0015_237-134493-0001,42.5238844718175,41.49290034145659,0.0,0.0,0.0,0.0,237,40.21946910261161,-27.013122040268488,13.206347062343124,0.0,0.0
15,7,0.0,0.0,7176,1580-141083-0006_7176-88083-0024,38.97875504649883,38.91306234657177,0.0,0.0,0.0,0.0,1580,39.478919426421086,-27.249087941327108,12.229831485093982,0.0,0.0
15,7,0.0,0.0,1580,1580-141083-0006_7176-88083-0024,40.10915284486193,40.07445899666694,0.0,0.0,0.0,0.0,7176,39.55258721007097,-26.202046964655324,13.350540245415646,0.0,0.0
8,3,0.0,0.0,237,260-123286-0005_237-126133-0000,41.94309825638726,40.843644375716515,0.0,0.0,0.0,0.0,260,41.764965888614924,-25.987281725607506,15.777684163007414,0.125,0.0
8,3,0.0,0.0,260,260-123286-0005_237-126133-0000,33.60289063166344,31.216823081965007,0.0,0.0,0.0,0.0,237,32.38849309187718,-21.79862042142109,10.589872670456089,0.125,0.0
6,2,1.0,1.0,4970,4446-2271-0021_4970-29093-0013,-34.28041448107606,-28.950486122479504,1.0,1.0,1.0,1.0,4446,-31.146331924385777,11.05958857293289,-20.086743351452885,0.0,0.0
