chunks_1s,chunks_2s,ecapa_mismatch_rate_1s,ecapa_mismatch_rate_2s,interferer_spk,key,local_sisdr_gap_mean_1s,local_sisdr_gap_mean_2s,mv_mismatch_rate_1s,mv_mismatch_rate_2s,mv_true_swap_rate_1s,mv_true_swap_rate_2s,target_spk,utterance_si_sdr_gap,utterance_si_sdr_interferer,utterance_si_sdr_target,verifier_instability_rate_1s,verifier_instability_rate_2s
6,2,0.0,0.0,5142,4077-13754-0001_5142-33396-0065,31.965155633037593,36.08497019335327,0.0,0.0,0.0,0.0,4077,32.573290352432636,-21.817688063367783,10.755602289064853,0.0,0.0
6,2,0.0,0.0,4077,4077-13754-0001_5142-33396-0065,36.202612072897814,37.203536261588994,0.0,0.0,0.0,0.0,5142,38.20606015709434,-26.205119728545412,12.000940428548926,0.16666666666666666,0.0
15,7,0.0,0.0,5683,6930-76324-0027_5683-32879-0011,29.22344832029167,28.5561448758686,0.0,0.0,0.0,0.0,6930,27.98261201769813,-18.49974449457902,9.482867523119111,0.0,0.0
15,7,0.0,0.0,6930,6930-76324-0027_5683-32879-0011,27.615038157933245,27.274888190560194,0.0,0.0,0.0,0.0,5683,27.73386500255185,-20.140842451356168,7.593022551195681,0.0,0.0
7,3,0.0,0.0,4992,1188-133604-0025_4992-23283-0016,23.432365401601725,23.603749777676793,0.0,0.0,0.0,0.0,1188,24.204601049365856,-15.936856967373894,8.267744081991964,0.0,0.0
7,3,1.0,1.0,1188,1188-133604-0025_4992-23283-0016,-13.904329886648101,-12.888630671820104,0.8571428571428571,1.0,0.8571428571428571,1.0,4992,-15.51016120332924,6.271024785299205,-9.239136418030034,0.14285714285714285,0.0
9,4,0.0,0.0,121,5683-32866-0012_121-121726-0001,26.694038760306984,28.493271934775787,0.0,0.0,0.0,0.0,5683,25.67351582197673,-15.064447535965009,10.609068286011718,0.0,0.0
9,4,0.1111111111111111,0.0,5683,5683-32866-0012_121-121726-0001,35.2506777460098,36.05054758622773,0.0,0.0,0.0,0.0,121,35.24273589297333,-24.360684911954422,10.882050981018905,0.8888888888888888,1.0
8,3,0.0,0.0,5142,1995-1837-0025_5142-36377-0017,36.54195677239784,36.68316343258132,0.0,0.0,0.0,0.0,1995,34.88725909395727,-23.109569428511886,11.77768966544538,0.375,0.0
8,3,0.0,0.0,1995,1995-1837-0025_5142-36377-0017,42.666060981618934,43.329999546115346,0.0,0.0,0.0,0.0,5142,42.04428601851501,-26.967460241914264,15.076825776600742,0.0,0.0
5,2,0.0,0.0,8555,2830-3980-0022_8555-292519-0010,26.954068592823006,29.36710973905437,0.0,0.0,0.0,0.0,2830,26.708384735646995,-16.299646795621545,10.408737940025448,0.0,0.0
5,2,0.0,0.0,2830,2830-3980-0022_8555-292519-0010,39.30544562492876,38.27610772828888,0.0,0.0,0.0,0.0,8555,40.1148145744418,-24.787375780266956,15.327438794174848,0.2,0.0
5,2,0.0,0.0,4507,5639-40744-0034_4507-16021-0058,43.607388157641644,40.852092109761465,0.0,0.0,0.0,0.0,5639,43.314837259790934,-27.84178438476326,15.473052875027676,0.0,0.0
5,2,0.0,0.0,5639,5639-40744-0034_4507-16021-0058,43.43972106692581,40.67717225066187,0.0,0.0,0.0,0.0,4507,42.51132443874879,-30.20160969461427,12.309714744134517,0.0,0.0
