chunks_1s,chunks_2s,ecapa_mismatch_rate_1s,ecapa_mismatch_rate_2s,interferer_spk,key,local_sisdr_gap_mean_1s,local_sisdr_gap_mean_2s,mv_mismatch_rate_1s,mv_mismatch_rate_2s,mv_true_swap_rate_1s,mv_true_swap_rate_2s,target_spk,utterance_si_sdr_gap,utterance_si_sdr_interferer,utterance_si_sdr_target,verifier_instability_rate_1s,verifier_instability_rate_2s
6,2,0.0,0.0,5142,4077-13754-0001_5142-33396-0065,38.31262036959778,41.23714752212783,0.0,0.0,0.0,0.0,4077,39.13115974699603,-25.532038753330177,13.59912099366586,0.0,0.0
6,2,0.0,0.0,4077,4077-13754-0001_5142-33396-0065,37.518220950560924,38.23976864630106,0.0,0.0,0.0,0.0,5142,39.132993176997815,-27.168674797759866,11.964318379237945,0.16666666666666666,0.0
15,7,0.0,0.0,5683,6930-76324-0027_5683-32879-0011,31.605009171660356,30.870759682592922,0.0,0.0,0.0,0.0,6930,30.174234618423213,-19.32217254220907,10.852062076214143,0.0,0.0
15,7,0.0,0.0,6930,6930-76324-0027_5683-32879-0011,30.566593835272467,29.737463997648266,0.0,0.0,0.0,0.0,5683,30.050118448673697,-22.47569056560848,7.574427883065216,0.0,0.0
7,3,0.0,0.0,4992,1188-133604-0025_4992-23283-0016,26.985068133444965,27.198520658637637,0.0,0.0,0.0,0.0,1188,27.19644910953363,-17.642827487304157,9.553621622229477,0.0,0.0
7,3,0.0,0.0,1188,1188-133604-0025_4992-23283-0016,29.380656415676064,30.814239927467924,0.0,0.0,0.0,0.0,4992,29.541798080993054,-21.77460599521187,7.767192085781181,0.0,0.0
9,4,0.0,0.0,121,5683-32866-0012_121-121726-0001,37.678709371877,37.02860746094034,0.0,0.0,0.0,0.0,5683,32.89513011954637,-19.88201237585881,13.01311774368756,0.0,0.0
9,4,0.0,0.0,5683,5683-32866-0012_121-121726-0001,39.020136107586616,38.912948531344185,0.0,0.0,0.0,0.0,121,37.50062542583505,-26.026796750788503,11.473828675046542,0.8888888888888888,1.0
8,3,0.0,0.0,5142,1995-1837-0025_5142-36377-0017,44.837862869172156,41.756648044543105,0.0,0.0,0.0,0.0,1995,41.52967033180883,-27.871797094941297,13.657873236867532,0.25,0.0
8,3,0.0,0.0,1995,1995-1837-0025_5142-36377-0017,47.45769246314772,47.433827823567206,0.0,0.0,0.0,0.0,5142,47.48700008029473,-31.398725745071893,16.088274335222835,0.0,0.0
5,2,0.0,0.0,8555,2830-3980-0022_8555-292519-0010,39.53644155210439,40.545377563152485,0.0,0.0,0.0,0.0,2830,40.32998454439812,-26.747823984435144,13.58216055996298,0.0,0.0
5,2,0.2,0.0,2830,2830-3980-0022_8555-292519-0010,41.306306579246105,41.500332189495325,0.2,0.0,0.0,0.0,8555,40.99128723743996,-26.806512434482066,14.184774802957898,0.0,0.0
5,2,0.0,0.0,4507,5639-40744-0034_4507-16021-0058,46.57746061630154,42.36330198763983,0.0,0.0,0.0,0.0,5639,45.16490387223473,-29.21125649892547,15.953647373309263,0.0,0.0
5,2,0.0,0.0,5639,5639-40744-0034_4507-16021-0058,47.707274976519756,46.67145790532328,0.0,0.0,0.0,0.0,4507,47.228132311011166,-34.18416012899582,13.043972182015342,0.0,0.0
6,2,0.0,0.0,672,3729-6852-0046_672-122797-0044,43.600997249115416,43.878170559464856,0.0,0.0,0.0,0.0,3729,46.42078499230894,-29.149007069635296,17.271777922673646,0.0,0.0
6,2,1.0,1.0,3729,3729-6852-0046_672-122797-0044,-35.91659280462264,-37.83743481395166,0.8333333333333334,1.0,0.8333333333333334,1.0,672,-40.59001133971004,15.953790363497767,-24.63622097621227,0.16666666666666666,0.0
6,2,0.0,0.0,237,2830-3980-0032_237-134500-0010,37.39506055656014,38.0205852101179,0.0,0.0,0.0,0.0,2830,38.28283516923528,-27.38889798511667,10.893937184118608,0.0,0.0
6,2,0.0,0.0,2830,2830-3980-0032_237-134500-0010,43.34362207545259,42.38647276745242,0.0,0.0,0.0,0.0,237,41.34625517329074,-26.84648680170247,14.499768371588274,0.0,0.0
14,6,0.0,0.0,4446,2300-131720-0026_4446-2273-0008,42.0960627474589,39.87523004765368,0.0,0.0,0.0,0.0,2300,42.56816076829704,-26.39223654087222,16.175924227424822,0.14285714285714285,0.0
14,6,0.0,0.0,2300,2300-131720-0026_4446-2273-0008,28.77980587737978,27.468384105869546,0.0,0.0,0.0,0.0,4446,26.76768107282583,-19.880417324883368,6.887263747942462,0.07142857142857142,0.0
5,2,0.0,0.0,7021,121-121726-0014_7021-79740-0000,38.61803769889665,39.61855214180322,0.0,0.0,0.0,0.0,121,39.59868651280455,-28.907643892060882,10.691042620743668,0.8,0.0
5,2,0.0,0.0,121,121-121726-0014_7021-79740-0000,41.62153366549491,42.98020296357065,0.0,0.0,0.0,0.0,7021,42.13945376893632,-25.362856554389893,16.776597214546427,0.0,0.0
11,5,0.0,0.0,260,1320-122617-0025_260-123440-0019,27.3805355762359,25.54786428014355,0.0,0.0,0.0,0.0,1320,25.12374228330261,-17.050868132874562,8.072874150428051,0.0,0.0
11,5,0.09090909090909091,0.0,1320,1320-122617-0025_260-123440-0019,35.54299994621282,34.5932872962858,0.0,0.0,0.0,0.0,260,34.500670141493146,-24.746017637182543,9.7546525043106,0.5454545454545454,0.6
16,7,0.0625,0.0,6930,2961-961-0007_6930-76324-0016,36.73493194448763,38.963249090292116,0.0,0.0,0.0,0.0,2961,39.3521358724075,-25.096101700163494,14.256034172244004,0.5,0.2857142857142857
16,7,0.0,0.0,2961,2961-961-0007_6930-76324-0016,28.315997567513364,28.64933502430111,0.0,0.0,0.0,0.0,6930,28.942456260779906,-20.132457789560622,8.809998471219282,0.0,0.0
10,4,0.1,0.0,8463,3729-6852-0038_8463-294828-0003,24.086042065888712,20.751395635087647,0.1,0.0,0.0,0.0,3729,21.883854750757237,-16.359615439453165,5.524239311304074,0.2,0.0
10,4,0.0,0.0,3729,3729-6852-0038_8463-294828-0003,28.75326012640761,26.950095994305492,0.0,0.0,0.0,0.0,8463,28.94252209851107,-17.115521008160563,11.827001090350507,0.0,0.0
11,5,0.0,0.0,8230,4992-41806-0016_8230-279154-0023,46.13691050178557,44.349291192953785,0.0,0.0,0.0,0.0,4992,45.13847704550551,-27.940929810817465,17.197547234688045,0.0,0.0
11,5,0.0,0.0,4992,4992-41806-0016_8230-279154-0023,40.204569273425015,38.775480102984986,0.0,0.0,0.0,0.0,8230,39.761265833783966,-29.096093009926935,10.665172823857034,0.18181818181818182,0.2
16,7,0.0,0.0,4077,8555-284447-0001_4077-13751-0003,37.5262261944883,39.12932088601678,0.0,0.0,0.0,0.0,8555,37.08916826666851,-24.53237004579393,12.556798220874576,0.3125,0.0
16,7,0.0,0.0,8555,8555-284447-0001_4077-13751-0003,39.907837728652176,38.69072947643967,0.0,0.0,0.0,0.0,4077,39.98666459680354,-26.1459114878743,13.84075310892924,0.0,0.0
9,4,0.0,0.0,237,260-123286-0015_237-134493-0001,45.09285001691504,43.21051527266037,0.0,0.0,0.0,0.0,260,42.11794333145142,-28.68199845665087,13.435944874800551,0.0,0.0
9,4,0.0,0.0,260,260-123286-0015_237-134493-0001,42.77948054931735,41.013957655520215,0.0,0.0,0.0,0.0,237,40.17981402617559,-26.746682565410783,13.433131460764807,0.1111111111111111,0.0
15,7,0.0,0.0,7176,1580-141083-0006_7176-88083-0024,39.77126381190946,39.62330509327006,0.0,0.0,0.0,0.0,1580,40.06831540563101,-27.75536179749599,12.312953608135022,0.0,0.0
15,7,0.0,0.0,1580,1580-141083-0006_7176-88083-0024,39.48393823377706,39.70983046099048,0.0,0.0,0.0,0.0,7176,39.591206615077574,-26.49480603824287,13.096400576834704,0.0,0.0
8,3,0.0,0.0,237,260-123286-0005_237-126133-0000,40.939390386563936,39.40436185183663,0.0,0.0,0.0,0.0,260,39.65133400536879,-24.489056770888887,15.162277234479902,0.125,0.0
8,3,0.0,0.0,260,260-123286-0005_237-126133-0000,31.326596472962617,29.464589142146977,0.0,0.0,0.0,0.0,237,30.11241084085873,-19.86303317119407,10.249377669664659,0.0,0.0
6,2,1.0,1.0,4970,4446-2271-0021_4970-29093-0013,-37.011708084685196,-35.564540914847015,1.0,1.0,1.0,1.0,4446,-36.583246118953554,12.998661204523174,-23.584584914430383,0.0,0.0
6,2,0.0,0.0,4446,4446-2271-0021_4970-29093-0013,35.36296495878921,30.199208389945948,0.0,0.0,0.0,0.0,4970,32.26899333361669,-20.88722732749055,11.381766006126139,0.0,0.0
6,2,0.0,0.0,4446,5105-28233-0005_4446-2275-0013,25.819787909674062,28.210096166318102,0.0,0.0,0.0,0.0,5105,26.847925821291764,-17.531112892456857,9.316812928834906,0.0,0.0
6,2,0.0,0.0,5105,5105-28233-0005_4446-2275-0013,22.188628496895898,23.125806469095174,0.0,0.0,0.0,0.0,4446,22.796773053774345,-14.99279260562432,7.803980448150027,0.16666666666666666,0.0
6,2,0.0,0.0,1221,1188-133604-0022_1221-135767-0019,52.509405408359186,49.36843316840445,0.0,0.0,0.0,0.0,1188,52.53607954548039,-34.08481794752083,18.451261597959554,0.0,0.0
6,2,0.0,0.0,1188,1188-133604-0022_1221-135767-0019,43.33301874116637,41.120970831426305,0.0,0.0,0.0,0.0,1221,43.24365041648522,-30.1477360096194,13.095914406865816,0.0,0.0
8,3,0.0,0.0,3729,1221-135766-0014_3729-6852-0011,24.47432729428798,25.48453997545001,0.0,0.0,0.0,0.0,1221,26.12764350986889,-17.893470157198006,8.234173352670881,0.0,0.0
8,3,0.5,0.3333333333333333,1221,1221-135766-0014_3729-6852-0011,34.394987822501875,31.970796937790123,0.0,0.0,0.0,0.0,3729,38.6042598526533,-24.36075091925534,14.243508933397955,0.75,0.6666666666666666
6,2,0.0,0.0,1284,1221-135766-0013_1284-1181-0013,35.74719679951653,36.99980705325036,0.0,0.0,0.0,0.0,1221,35.762884590166394,-24.16252672775428,11.600357862412116,0.0,0.0
6,2,0.0,0.0,1221,1221-135766-0013_1284-1181-0013,39.30895157837207,41.3874769144477,0.0,0.0,0.0,0.0,1284,38.26344578863063,-27.28534254618033,10.978103242450297,0.0,0.0
5,2,0.0,0.0,7176,121-123852-0004_7176-92135-0002,32.19269151761164,33.55826375112178,0.0,0.0,0.0,0.0,121,36.29119517675008,-25.78773280741496,10.503462369335118,1.0,1.0
5,2,0.0,0.0,121,121-123852-0004_7176-92135-0002,42.37985793693279,42.61215440604434,0.0,0.0,0.0,0.0,7176,42.7650642418768,-26.73963010928677,16.025434132590025,0.0,0.0
19,9,0.21052631578947367,0.0,1580,2094-142345-0011_1580-141083-0001,41.77931788703995,43.10804492998583,0.05263157894736842,0.0,0.0,0.0,2094,38.999819594730766,-26.42859672013772,12.571222874593047,0.15789473684210525,0.0
19,9,0.0,0.0,2094,2094-142345-0011_1580-141083-0001,42.390717114798626,42.15929161222981,0.0,0.0,0.0,0.0,1580,41.580103998445196,-26.959005872217908,14.62109812622729,0.0,0.0
