key,target_spk,interferer_spk,num_chunks,ecapa_mismatch_rate,xvector_mismatch_rate,mv_speaker_mismatch_rate,waveform_interferer_rate,mv_true_drift_rate,mean_local_target_interferer_si_sdr_gap,sisnr_i
4077-13754-0001_5142-33396-0065__T1__4077-4077-13754-0001__HSIMV3__8455-8455-210777-0049__SIR0,4077,8455,6,0.0,0.0,0.0,0.0,0.0,24.944239745167025,9.547246865173957
4077-13754-0001_5142-33396-0065__T2__5142-5142-33396-0065__HSIMV3__4970-4970-29095-0002__SIR0,5142,4970,9,0.0,0.0,0.0,0.0,0.0,39.68855849412473,13.83588585971095
6930-76324-0027_5683-32879-0011__T1__6930-6930-76324-0027__HSIMV3__260-260-123440-0010__SIR0,6930,260,15,0.0,0.0,0.0,0.0,0.0,32.61023774085184,10.551661009176591
6930-76324-0027_5683-32879-0011__T2__5683-5683-32879-0011__HSIMV3__237-237-134500-0041__SIR0,5683,237,16,0.0,0.0,0.0,0.0,0.0,39.10917977138489,10.80122661240685
1188-133604-0025_4992-23283-0016__T1__1188-1188-133604-0025__HSIMV3__2830-2830-3980-0050__SIR0,1188,2830,13,0.0,0.07692307692307693,0.0,0.0,0.0,17.146076528971804,6.061379519430655
1188-133604-0025_4992-23283-0016__T2__4992-4992-23283-0016__HSIMV3__4446-4446-2275-0041__SIR0,4992,4446,7,0.0,0.0,0.0,0.0,0.0,31.376326009462037,10.195080227423093
5683-32866-0012_121-121726-0001__T1__5683-5683-32866-0012__HSIMV3__237-237-134500-0037__SIR0,5683,237,13,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.07692307692307693,0.07692307692307693,8.361062563307966,3.667605996179291
5683-32866-0012_121-121726-0001__T2__121-121-121726-0001__HSIMV3__237-237-134500-0000__SIR0,121,237,9,0.1111111111111111,1.0,0.1111111111111111,0.0,0.0,35.12908208485732,12.318362076342398
1995-1837-0025_5142-36377-0017__T1__1995-1995-1837-0025__HSIMV3__2094-2094-142345-0037__SIR0,1995,2094,18,0.16666666666666666,0.05555555555555555,0.05555555555555555,0.0,0.0,28.087774175903657,6.87357671250573
1995-1837-0025_5142-36377-0017__T2__5142-5142-36377-0017__HSIMV3__4970-4970-29095-0035__SIR0,5142,4970,8,0.0,0.0,0.0,0.0,0.0,30.525966661377677,10.32904601515036
2830-3980-0022_8555-292519-0010__T1__2830-2830-3980-0022__HSIMV3__1188-1188-133604-0040__SIR0,2830,1188,5,0.6,0.2,0.2,0.6,0.2,-1.0246503317306712,-0.2727994072934963
2830-3980-0022_8555-292519-0010__T2__8555-8555-292519-0010__HSIMV3__4970-4970-29095-0002__SIR0,8555,4970,9,0.3333333333333333,0.1111111111111111,0.0,0.0,0.0,17.942315614529747,8.754689636288328
5639-40744-0034_4507-16021-0058__T1__5639-5639-40744-0034__HSIMV3__1089-1089-134686-0023__SIR0,5639,1089,24,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.0,0.0,38.628732329151354,11.81929722252974
5639-40744-0034_4507-16021-0058__T2__4507-4507-16021-0058__HSIMV3__3729-3729-6852-0027__SIR0,4507,3729,5,0.0,0.0,0.0,0.0,0.0,37.22464991747237,12.2344472602137
3729-6852-0046_672-122797-0044__T1__3729-3729-6852-0046__HSIMV3__4507-4507-16021-0023__SIR0,3729,4507,23,0.0,0.0,0.0,0.0,0.0,39.500469039190456,13.485660941456636
3729-6852-0046_672-122797-0044__T2__672-672-122797-0044__HSIMV3__260-260-123288-0022__SIR0,672,260,6,0.16666666666666666,0.0,0.0,0.5,0.0,7.229051057231427,0.8992906769321147
2830-3980-0032_237-134500-0010__T1__2830-2830-3980-0032__HSIMV3__1188-1188-133604-0025__SIR0,2830,1188,13,0.0,0.0,0.0,0.0,0.0,31.47136801724774,11.36453228662611
2830-3980-0032_237-134500-0010__T2__237-237-134500-0010__HSIMV3__5683-5683-32866-0007__SIR0,237,5683,6,0.0,0.3333333333333333,0.0,0.0,0.0,29.397265563356743,10.56393277172682
2300-131720-0026_4446-2273-0008__T1__2300-2300-131720-0026__HSIMV3__61-61-70970-0004__SIR0,2300,61,20,0.05,0.05,0.0,0.0,0.0,28.13806257334602,9.684254319330106
2300-131720-0026_4446-2273-0008__T2__4446-4446-2273-0008__HSIMV3__1284-1284-1181-0014__SIR0,4446,1284,14,1.0,1.0,1.0,1.0,1.0,-32.38710046883135,-20.83312177255888
121-121726-0014_7021-79740-0000__T1__121-121-121726-0014__HSIMV3__237-237-134500-0027__SIR0,121,237,5,0.4,0.8,0.4,0.0,0.0,28.393309237534368,10.042301060396516
121-121726-0014_7021-79740-0000__T2__7021-7021-79740-0000__HSIMV3__5105-5105-28233-0005__SIR0,7021,5105,21,0.09523809523809523,0.19047619047619047,0.0,0.0,0.0,32.14314569801572,10.946099664780917
1320-122617-0025_260-123440-0019__T1__1320-1320-122617-0025__HSIMV3__5105-5105-28240-0019__SIR0,1320,5105,11,0.09090909090909091,0.0,0.0,0.0,0.0,37.069446422666395,11.955307234257088
1320-122617-0025_260-123440-0019__T2__260-260-123440-0019__HSIMV3__672-672-122797-0057__SIR0,260,672,12,0.0,0.08333333333333333,0.0,0.0,0.0,33.129860930364316,9.471158674038758
2961-961-0007_6930-76324-0016__T1__2961-2961-961-0007__HSIMV3__3570-3570-5694-0005__SIR0,2961,3570,15,1.0,0.8666666666666667,0.8666666666666667,1.0,0.8666666666666667,-36.506560874443046,-21.053648868492854
