key,target_spk,interferer_spk,num_chunks,ecapa_mismatch_rate,xvector_mismatch_rate,mv_speaker_mismatch_rate,waveform_interferer_rate,mv_true_drift_rate,mean_local_target_interferer_si_sdr_gap,sisnr_i
4077-13754-0001_5142-33396-0065__T1__4077-4077-13754-0001__HSIMV3__8455-8455-210777-0049__SIRm5,4077,8455,6,0.0,0.0,0.0,0.0,0.0,21.433331448655803,11.603540872755106
4077-13754-0001_5142-33396-0065__T2__5142-5142-33396-0065__HSIMV3__4970-4970-29095-0002__SIRm5,5142,4970,9,0.0,0.0,0.0,0.0,0.0,35.61947665376486,14.242022602384234
6930-76324-0027_5683-32879-0011__T1__6930-6930-76324-0027__HSIMV3__260-260-123440-0010__SIRm5,6930,260,15,0.0,0.0,0.0,0.0,0.0,28.71408791592436,12.01593612479554
6930-76324-0027_5683-32879-0011__T2__5683-5683-32879-0011__HSIMV3__237-237-134500-0041__SIRm5,5683,237,16,0.0,0.0,0.0,0.0,0.0,38.09063459427995,13.323122728425483
1188-133604-0025_4992-23283-0016__T1__1188-1188-133604-0025__HSIMV3__2830-2830-3980-0050__SIRm5,1188,2830,13,0.6923076923076923,0.6923076923076923,0.6153846153846154,0.6153846153846154,0.46153846153846156,-1.3188973817972025,3.06392187769411
1188-133604-0025_4992-23283-0016__T2__4992-4992-23283-0016__HSIMV3__4446-4446-2275-0041__SIRm5,4992,4446,7,0.0,0.0,0.0,0.0,0.0,26.546629242179574,12.578557506824955
5683-32866-0012_121-121726-0001__T1__5683-5683-32866-0012__HSIMV3__237-237-134500-0037__SIRm5,5683,237,13,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.8461538461538461,0.7692307692307693,-5.732609835797775,1.9775423799828364
5683-32866-0012_121-121726-0001__T2__121-121-121726-0001__HSIMV3__237-237-134500-0000__SIRm5,121,237,9,0.1111111111111111,1.0,0.1111111111111111,0.0,0.0,30.159199109886956,14.67805180840556
1995-1837-0025_5142-36377-0017__T1__1995-1995-1837-0025__HSIMV3__2094-2094-142345-0037__SIRm5,1995,2094,18,0.3333333333333333,0.2777777777777778,0.2777777777777778,0.2222222222222222,0.1111111111111111,12.84708074372424,7.96289500460256
1995-1837-0025_5142-36377-0017__T2__5142-5142-36377-0017__HSIMV3__4970-4970-29095-0035__SIRm5,5142,4970,8,0.0,0.125,0.0,0.0,0.0,26.738884952633168,12.554012366686656
2830-3980-0022_8555-292519-0010__T1__2830-2830-3980-0022__HSIMV3__1188-1188-133604-0040__SIRm5,2830,1188,5,0.2,0.0,0.0,0.0,0.0,13.118201926427663,10.074331583474953
2830-3980-0022_8555-292519-0010__T2__8555-8555-292519-0010__HSIMV3__4970-4970-29095-0002__SIRm5,8555,4970,9,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.0,0.0,17.4165691149793,12.488828101834368
5639-40744-0034_4507-16021-0058__T1__5639-5639-40744-0034__HSIMV3__1089-1089-134686-0023__SIRm5,5639,1089,24,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.0,0.0,37.026881717712236,14.29552390091392
5639-40744-0034_4507-16021-0058__T2__4507-4507-16021-0058__HSIMV3__3729-3729-6852-0027__SIRm5,4507,3729,5,0.0,0.0,0.0,0.0,0.0,38.61861705780585,16.11551764256308
3729-6852-0046_672-122797-0044__T1__3729-3729-6852-0046__HSIMV3__4507-4507-16021-0023__SIRm5,3729,4507,23,0.0,0.043478260869565216,0.0,0.0,0.0,35.84391916611314,16.56151923095115
3729-6852-0046_672-122797-0044__T2__672-672-122797-0044__HSIMV3__260-260-123288-0022__SIRm5,672,260,6,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,13.994898561652354,7.534367280647121
2830-3980-0032_237-134500-0010__T1__2830-2830-3980-0032__HSIMV3__1188-1188-133604-0025__SIRm5,2830,1188,13,0.07692307692307693,0.0,0.0,0.0,0.0,33.74488413160117,14.716096109570731
