key,target_spk,interferer_spk,num_chunks,ecapa_mismatch_rate,xvector_mismatch_rate,mv_speaker_mismatch_rate,waveform_interferer_rate,mv_true_drift_rate,mean_local_target_interferer_si_sdr_gap,sisnr_i
4077-13754-0001_5142-33396-0065__T1__4077-4077-13754-0001__HSIMV3__8455-8455-210777-0049__SIR0,4077,8455,6,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.5,0.16666666666666666,-1.258968670436257,-0.0498912166310493
4077-13754-0001_5142-33396-0065__T2__5142-5142-33396-0065__HSIMV3__4970-4970-29095-0002__SIR0,5142,4970,9,0.0,0.0,0.0,0.0,0.0,30.131599934198668,11.53700582302102
6930-76324-0027_5683-32879-0011__T1__6930-6930-76324-0027__HSIMV3__260-260-123440-0010__SIR0,6930,260,15,0.0,0.0,0.0,0.0,0.0,30.415095476857747,10.478476188666354
6930-76324-0027_5683-32879-0011__T2__5683-5683-32879-0011__HSIMV3__237-237-134500-0041__SIR0,5683,237,16,0.1875,0.0625,0.0625,0.0625,0.0625,13.386893527369317,3.924990618664104
1188-133604-0025_4992-23283-0016__T1__1188-1188-133604-0025__HSIMV3__2830-2830-3980-0050__SIR0,1188,2830,13,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.07692307692307693,15.58005136645444,5.01916552131051
1188-133604-0025_4992-23283-0016__T2__4992-4992-23283-0016__HSIMV3__4446-4446-2275-0041__SIR0,4992,4446,7,0.0,0.0,0.0,0.0,0.0,25.55243212108196,7.472369134954061
5683-32866-0012_121-121726-0001__T1__5683-5683-32866-0012__HSIMV3__237-237-134500-0037__SIR0,5683,237,13,0.5384615384615384,0.6153846153846154,0.5384615384615384,0.3076923076923077,0.3076923076923077,5.915148486929128,1.5205716195750831
5683-32866-0012_121-121726-0001__T2__121-121-121726-0001__HSIMV3__237-237-134500-0000__SIR0,121,237,9,0.1111111111111111,1.0,0.1111111111111111,0.0,0.0,29.647370921763127,10.58579281632208
1995-1837-0025_5142-36377-0017__T1__1995-1995-1837-0025__HSIMV3__2094-2094-142345-0037__SIR0,1995,2094,18,0.2222222222222222,0.05555555555555555,0.05555555555555555,0.0,0.0,24.285290248969165,7.184688437430408
1995-1837-0025_5142-36377-0017__T2__5142-5142-36377-0017__HSIMV3__4970-4970-29095-0035__SIR0,5142,4970,8,0.0,0.0,0.0,0.0,0.0,15.219328622022429,6.242246471964044
