key,target_spk,interferer_spk,num_chunks,ecapa_mismatch_rate,xvector_mismatch_rate,mv_speaker_mismatch_rate,waveform_interferer_rate,mv_true_drift_rate,mean_local_target_interferer_si_sdr_gap,sisnr_i
4077-13754-0001_5142-33396-0065__T1__4077-4077-13754-0001__HSIMV3__8455-8455-210777-0049__SIRm3,4077,8455,6,0.0,0.16666666666666666,0.0,0.0,0.0,8.52426836828881,6.781831936986275
4077-13754-0001_5142-33396-0065__T2__5142-5142-33396-0065__HSIMV3__4970-4970-29095-0002__SIRm3,5142,4970,9,0.0,0.0,0.0,0.0,0.0,27.70567137738005,12.885516920528366
6930-76324-0027_5683-32879-0011__T1__6930-6930-76324-0027__HSIMV3__260-260-123440-0010__SIRm3,6930,260,15,0.0,0.0,0.0,0.0,0.0,30.460395349556304,13.449653573557065
6930-76324-0027_5683-32879-0011__T2__5683-5683-32879-0011__HSIMV3__237-237-134500-0041__SIRm3,5683,237,16,0.1875,0.0625,0.0625,0.0625,0.0625,13.921906660366137,6.613435551635979
1188-133604-0025_4992-23283-0016__T1__1188-1188-133604-0025__HSIMV3__2830-2830-3980-0050__SIRm3,1188,2830,13,0.3076923076923077,0.38461538461538464,0.23076923076923078,0.15384615384615385,0.07692307692307693,7.82102347536005,5.667365314851185
1188-133604-0025_4992-23283-0016__T2__4992-4992-23283-0016__HSIMV3__4446-4446-2275-0041__SIRm3,4992,4446,7,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.0,19.86980769723761,7.809669970479964
5683-32866-0012_121-121726-0001__T1__5683-5683-32866-0012__HSIMV3__237-237-134500-0037__SIRm3,5683,237,13,0.46153846153846156,0.6153846153846154,0.46153846153846156,0.3076923076923077,0.23076923076923078,4.977905828286689,4.247888229326018
5683-32866-0012_121-121726-0001__T2__121-121-121726-0001__HSIMV3__237-237-134500-0000__SIRm3,121,237,9,0.1111111111111111,1.0,0.1111111111111111,0.0,0.0,25.65938401068953,11.321290429313713
1995-1837-0025_5142-36377-0017__T1__1995-1995-1837-0025__HSIMV3__2094-2094-142345-0037__SIRm3,1995,2094,18,0.2777777777777778,0.05555555555555555,0.05555555555555555,0.0,0.0,25.524246600586263,10.581315345769196
1995-1837-0025_5142-36377-0017__T2__5142-5142-36377-0017__HSIMV3__4970-4970-29095-0035__SIRm3,5142,4970,8,0.125,0.25,0.0,0.0,0.0,10.493031250797335,7.208746454890456
2830-3980-0022_8555-292519-0010__T1__2830-2830-3980-0022__HSIMV3__1188-1188-133604-0040__SIRm3,2830,1188,5,1.0,0.6,0.6,1.0,0.6,-10.256334478759355,-2.191182131487687
2830-3980-0022_8555-292519-0010__T2__8555-8555-292519-0010__HSIMV3__4970-4970-29095-0002__SIRm3,8555,4970,9,0.7777777777777778,0.5555555555555556,0.5555555555555556,0.7777777777777778,0.4444444444444444,-6.2454962484686725,-1.3247069993156957
5639-40744-0034_4507-16021-0058__T1__5639-5639-40744-0034__HSIMV3__1089-1089-134686-0023__SIRm3,5639,1089,24,0.041666666666666664,0.16666666666666666,0.041666666666666664,0.0,0.0,32.178397461868904,11.704039712374875
