key,target_spk,interferer_spk,num_chunks,ecapa_mismatch_rate,xvector_mismatch_rate,mv_speaker_mismatch_rate,waveform_interferer_rate,mv_true_drift_rate,mean_local_target_interferer_si_sdr_gap,sisnr_i
4077-13754-0001_5142-33396-0065__T1__4077-4077-13754-0001__HSIMV3__8455-8455-210777-0049__SIR0,4077,8455,6,0.0,0.0,0.0,0.0,0.0,26.77127781891463,9.341829846869537
4077-13754-0001_5142-33396-0065__T2__5142-5142-33396-0065__HSIMV3__4970-4970-29095-0002__SIR0,5142,4970,9,0.0,0.0,0.0,0.0,0.0,41.27194717141016,13.433894362456249
6930-76324-0027_5683-32879-0011__T1__6930-6930-76324-0027__HSIMV3__260-260-123440-0010__SIR0,6930,260,15,0.0,0.0,0.0,0.0,0.0,34.344141235388555,12.477463806639266
6930-76324-0027_5683-32879-0011__T2__5683-5683-32879-0011__HSIMV3__237-237-134500-0041__SIR0,5683,237,16,0.0,0.0,0.0,0.0,0.0,31.405127958794466,6.751670335858087
1188-133604-0025_4992-23283-0016__T1__1188-1188-133604-0025__HSIMV3__2830-2830-3980-0050__SIR0,1188,2830,13,0.0,0.0,0.0,0.0,0.0,25.348501827287585,8.238821234037102
1188-133604-0025_4992-23283-0016__T2__4992-4992-23283-0016__HSIMV3__4446-4446-2275-0041__SIR0,4992,4446,7,0.0,0.0,0.0,0.0,0.0,32.00733411342752,9.589249154031387
5683-32866-0012_121-121726-0001__T1__5683-5683-32866-0012__HSIMV3__237-237-134500-0037__SIR0,5683,237,13,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.0,0.0,14.120620061344217,4.322040448287154
5683-32866-0012_121-121726-0001__T2__121-121-121726-0001__HSIMV3__237-237-134500-0000__SIR0,121,237,9,0.1111111111111111,1.0,0.1111111111111111,0.0,0.0,26.820032569475984,6.891821025471998
1995-1837-0025_5142-36377-0017__T1__1995-1995-1837-0025__HSIMV3__2094-2094-142345-0037__SIR0,1995,2094,18,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,29.524887842441437,4.20397703982466
1995-1837-0025_5142-36377-0017__T2__5142-5142-36377-0017__HSIMV3__4970-4970-29095-0035__SIR0,5142,4970,8,0.0,0.0,0.0,0.0,0.0,30.464770458786383,10.546955945738496
2830-3980-0022_8555-292519-0010__T1__2830-2830-3980-0022__HSIMV3__1188-1188-133604-0040__SIR0,2830,1188,5,0.0,0.0,0.0,0.0,0.0,18.576538671019637,5.016259235299907
2830-3980-0022_8555-292519-0010__T2__8555-8555-292519-0010__HSIMV3__4970-4970-29095-0002__SIR0,8555,4970,9,0.0,0.0,0.0,0.0,0.0,24.13040194755604,7.353523474143727
5639-40744-0034_4507-16021-0058__T1__5639-5639-40744-0034__HSIMV3__1089-1089-134686-0023__SIR0,5639,1089,24,0.0,0.041666666666666664,0.0,0.0,0.0,39.0091704913064,11.137031540821877
5639-40744-0034_4507-16021-0058__T2__4507-4507-16021-0058__HSIMV3__3729-3729-6852-0027__SIR0,4507,3729,5,0.0,0.0,0.0,0.0,0.0,37.90395048316956,11.2955730425756
3729-6852-0046_672-122797-0044__T1__3729-3729-6852-0046__HSIMV3__4507-4507-16021-0023__SIR0,3729,4507,23,0.0,0.0,0.0,0.0,0.0,34.973351281175326,11.410360800272407
