key,target_spk,interferer_spk,num_chunks,ecapa_mismatch_rate,xvector_mismatch_rate,mv_speaker_mismatch_rate,waveform_interferer_rate,mv_true_drift_rate,mean_local_target_interferer_si_sdr_gap,sisnr_i
4077-13754-0001_5142-33396-0065__T1__4077-4077-13754-0001__HSIMV3__8455-8455-210777-0049__SIRm3,4077,8455,6,0.0,0.0,0.0,0.0,0.0,23.61184415399717,10.17956873611492
4077-13754-0001_5142-33396-0065__T2__5142-5142-33396-0065__HSIMV3__4970-4970-29095-0002__SIRm3,5142,4970,9,0.0,0.0,0.0,0.0,0.0,38.941928609216376,14.848915602631468
6930-76324-0027_5683-32879-0011__T1__6930-6930-76324-0027__HSIMV3__260-260-123440-0010__SIRm3,6930,260,15,0.0,0.0,0.0,0.0,0.0,33.438680888903406,14.249691536383416
6930-76324-0027_5683-32879-0011__T2__5683-5683-32879-0011__HSIMV3__237-237-134500-0041__SIRm3,5683,237,16,0.0,0.0,0.0,0.0,0.0,32.81843915136973,10.033221248059684
1188-133604-0025_4992-23283-0016__T1__1188-1188-133604-0025__HSIMV3__2830-2830-3980-0050__SIRm3,1188,2830,13,0.15384615384615385,0.0,0.0,0.0,0.0,16.183903469872728,6.738732494462861
1188-133604-0025_4992-23283-0016__T2__4992-4992-23283-0016__HSIMV3__4446-4446-2275-0041__SIRm3,4992,4446,7,0.0,0.0,0.0,0.0,0.0,29.54579480617711,11.397442621302178
5683-32866-0012_121-121726-0001__T1__5683-5683-32866-0012__HSIMV3__237-237-134500-0037__SIRm3,5683,237,13,0.3076923076923077,0.3076923076923077,0.23076923076923078,0.07692307692307693,0.0,11.708295463692991,4.731288849990553
5683-32866-0012_121-121726-0001__T2__121-121-121726-0001__HSIMV3__237-237-134500-0000__SIRm3,121,237,9,0.2222222222222222,1.0,0.2222222222222222,0.0,0.0,22.650845751579638,10.294094135871502
1995-1837-0025_5142-36377-0017__T1__1995-1995-1837-0025__HSIMV3__2094-2094-142345-0037__SIRm3,1995,2094,18,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.0,35.93916703607087,11.183909437794084
1995-1837-0025_5142-36377-0017__T2__5142-5142-36377-0017__HSIMV3__4970-4970-29095-0035__SIRm3,5142,4970,8,0.0,0.0,0.0,0.0,0.0,28.014066565838384,11.811993401281969
2830-3980-0022_8555-292519-0010__T1__2830-2830-3980-0022__HSIMV3__1188-1188-133604-0040__SIRm3,2830,1188,5,0.2,0.0,0.0,0.0,0.0,19.00648187547966,8.632792692185166
2830-3980-0022_8555-292519-0010__T2__8555-8555-292519-0010__HSIMV3__4970-4970-29095-0002__SIRm3,8555,4970,9,0.1111111111111111,0.0,0.0,0.0,0.0,18.90913784473767,4.116524193287519
5639-40744-0034_4507-16021-0058__T1__5639-5639-40744-0034__HSIMV3__1089-1089-134686-0023__SIRm3,5639,1089,24,0.0,0.08333333333333333,0.0,0.0,0.0,36.119939314941085,12.815668222527483
5639-40744-0034_4507-16021-0058__T2__4507-4507-16021-0058__HSIMV3__3729-3729-6852-0027__SIRm3,4507,3729,5,0.0,0.0,0.0,0.0,0.0,32.628822189242655,11.886254323391238
3729-6852-0046_672-122797-0044__T1__3729-3729-6852-0046__HSIMV3__4507-4507-16021-0023__SIRm3,3729,4507,23,0.0,0.0,0.0,0.0,0.0,34.675323745116955,13.850690931777075
3729-6852-0046_672-122797-0044__T2__672-672-122797-0044__HSIMV3__260-260-123288-0022__SIRm3,672,260,6,0.0,0.0,0.0,0.0,0.0,23.571763788817254,10.725316358221482
2830-3980-0032_237-134500-0010__T1__2830-2830-3980-0032__HSIMV3__1188-1188-133604-0025__SIRm3,2830,1188,13,0.0,0.0,0.0,0.0,0.0,30.01215955005213,12.812780239029651
2830-3980-0032_237-134500-0010__T2__237-237-134500-0010__HSIMV3__5683-5683-32866-0007__SIRm3,237,5683,6,0.0,0.16666666666666666,0.0,0.0,0.0,19.580530545364198,8.154423070652655
2300-131720-0026_4446-2273-0008__T1__2300-2300-131720-0026__HSIMV3__61-61-70970-0004__SIRm3,2300,61,20,0.05,0.0,0.0,0.0,0.0,29.877632348277746,11.914932806990867
2300-131720-0026_4446-2273-0008__T2__4446-4446-2273-0008__HSIMV3__1284-1284-1181-0014__SIRm3,4446,1284,14,1.0,1.0,1.0,1.0,1.0,-31.152509576302027,-15.940121797030796
121-121726-0014_7021-79740-0000__T1__121-121-121726-0014__HSIMV3__237-237-134500-0027__SIRm3,121,237,5,0.4,0.8,0.4,0.0,0.0,17.543514067153556,10.548345728410991
121-121726-0014_7021-79740-0000__T2__7021-7021-79740-0000__HSIMV3__5105-5105-28233-0005__SIRm3,7021,5105,21,0.047619047619047616,0.09523809523809523,0.0,0.0,0.0,37.40788856141251,13.960592009957969
1320-122617-0025_260-123440-0019__T1__1320-1320-122617-0025__HSIMV3__5105-5105-28240-0019__SIRm3,1320,5105,11,0.18181818181818182,0.36363636363636365,0.09090909090909091,0.0,0.0,28.484628195131236,9.891749282853183
1320-122617-0025_260-123440-0019__T2__260-260-123440-0019__HSIMV3__672-672-122797-0057__SIRm3,260,672,12,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.0,0.0,39.89812833293778,11.045858270894248
2961-961-0007_6930-76324-0016__T1__2961-2961-961-0007__HSIMV3__3570-3570-5694-0005__SIRm3,2961,3570,15,0.06666666666666667,0.0,0.0,0.0,0.0,38.238156693486204,13.869771749565828
2961-961-0007_6930-76324-0016__T2__6930-6930-76324-0016__HSIMV3__260-260-123288-0011__SIRm3,6930,260,16,0.0,0.0,0.0,0.0,0.0,35.41435474530337,12.363444802153117
3729-6852-0038_8463-294828-0003__T1__3729-3729-6852-0038__HSIMV3__4507-4507-16021-0014__SIRm3,3729,4507,10,0.2,0.1,0.0,0.0,0.0,26.10859197106584,8.118290229563492
3729-6852-0038_8463-294828-0003__T2__8463-8463-294828-0003__HSIMV3__4992-4992-41806-0003__SIRm3,8463,4992,17,0.0,0.0,0.0,0.0,0.0,38.851059960175995,14.32654281156689
4992-41806-0016_8230-279154-0023__T1__4992-4992-41806-0016__HSIMV3__4446-4446-2271-0004__SIRm3,4992,4446,23,0.7391304347826086,0.8260869565217391,0.6956521739130435,1.0,0.6956521739130435,-18.5195073633267,-6.789332777154512
4992-41806-0016_8230-279154-0023__T2__8230-8230-279154-0023__HSIMV3__61-61-70970-0000__SIRm3,8230,61,11,0.0,0.09090909090909091,0.0,0.0,0.0,31.83800308130685,12.472455228064929
8555-284447-0001_4077-13751-0003__T1__8555-8555-284447-0001__HSIMV3__4970-4970-29095-0038__SIRm3,8555,4970,16,0.0,0.0,0.0,0.0,0.0,34.48258511159855,14.208604082390217
8555-284447-0001_4077-13751-0003__T2__4077-4077-13751-0003__HSIMV3__8455-8455-210777-0022__SIRm3,4077,8455,31,0.0,0.03225806451612903,0.0,0.0,0.0,30.709153456007048,12.740578248845852
