key,usef_sisnri,tfc_sisnri,tfc_sisdr,usef_drift_rate,tfc_drift_rate,usef_low_sisnri,usef_good_sisnri,usef_high_drift,usef_any_drift,usef_low_high_drift,usef_good_high_drift,tfc_low_sisnri,tfc_good_sisnri,tfc_high_drift,tfc_any_drift,tfc_low_high_drift,tfc_good_high_drift,case_type,sisnri_gap_tfc_minus_usef
672-122797-0016_8463-294828-0006__T2__SCV3TTSENR__8463-8463-294828-0006__VOICE__672,-55.92316953787355,-13.316825107865274,-8.492505855711514,0.9230769230769232,0.2307692307692307,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,42.60634443000828
6829-68769-0028_4446-2273-0010__T2__SCV3TTSENR__4446-4446-2273-0010__VOICE__6829,-61.153725894568254,-23.611710347125435,-26.160002265149647,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,37.542015547442816
3575-170457-0044_4446-2273-0004__T2__SCV3TTSENR__4446-4446-2273-0004__VOICE__3575,-69.79523594279549,-34.90617065444194,-31.81737524646173,1.0,0.8888888888888888,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,34.88906528835355
7021-85628-0022_2300-131720-0014__T1__SCV3TTSENR__7021-7021-85628-0022__VOICE__2300,-70.09613866807277,-36.80813576403525,-31.166893524595835,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,33.28800290403752
8463-294828-0009_5142-33396-0025__T1__SCV3TTSENR__8463-8463-294828-0009__VOICE__5142,-41.044480108917824,-8.560353510999361,-12.034215756059744,1.0,0.8,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,32.48412659791846
5683-32866-0018_8463-294825-0012__T2__SCV3TTSENR__8463-8463-294825-0012__VOICE__5683,-45.55561203555721,-13.65291331530054,-15.695708146507164,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,31.902698720256673
1995-1826-0007_4446-2275-0043__T2__SCV3TTSENR__4446-4446-2275-0043__VOICE__1995,-64.20127138646535,-34.23639001260795,-30.6183172559148,0.8,0.8,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,29.964881373857402
237-126133-0006_8463-294828-0033__T2__SCV3TTSENR__8463-8463-294828-0033__VOICE__237,-53.85236898869935,-24.294480642178925,-23.11293718182713,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,29.55788834652042
4446-2273-0001_1089-134691-0018__T1__SCV3TTSENR__4446-4446-2273-0001__VOICE__1089,-63.68443001359703,-34.17434913691059,-28.876378257786943,0.8,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,29.510080876686438
5142-33396-0009_8463-294828-0027__T2__SCV3TTSENR__8463-8463-294828-0027__VOICE__5142,-52.7878024568976,-24.876912496915743,-19.140204732191293,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,27.91088995998186
1221-135767-0024_8555-284449-0015__T1__SCV3TTSENR__1221-1221-135767-0024__VOICE__8555,-33.088966570156806,-6.210836934152163,-6.610551588385773,1.0,0.4444444444444444,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,26.878129636004644
2830-3980-0004_4446-2275-0008__T2__SCV3TTSENR__4446-4446-2275-0008__VOICE__2830,-30.798764649515995,-5.060294845571211,-5.579863317226987,0.6666666666666666,0.3333333333333333,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,25.738469803944785
672-122797-0060_8455-210777-0038__T1__SCV3TTSENR__672-672-122797-0060__VOICE__8455,-60.15709102192572,-34.65579521285046,-41.68197511777997,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,25.501295809075266
8463-294828-0000_237-134500-0037__T1__SCV3TTSENR__8463-8463-294828-0000__VOICE__237,-61.790869080217526,-37.01764037745081,-36.83351978764933,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,24.773228702766716
1089-134691-0020_7021-85628-0000__T2__SCV3TTSENR__7021-7021-85628-0000__VOICE__1089,-56.90657721973518,-32.411951952570114,-33.37438517830471,1.0,0.8,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,24.49462526716507
1284-1180-0018_4446-2275-0035__T2__SCV3TTSENR__4446-4446-2275-0035__VOICE__1284,-41.111070222363615,-16.811181751245208,-26.632639033684804,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,24.299888471118408
6829-68771-0014_4446-2273-0027__T2__SCV3TTSENR__4446-4446-2273-0027__VOICE__6829,-25.36331936934374,-1.085147192786426,-8.04740075550852,1.0,0.5,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,24.278172176557312
4446-2275-0042_3570-5696-0004__T1__SCV3TTSENR__4446-4446-2275-0042__VOICE__3570,-61.15642482292258,-39.14137123569721,-42.03651686947917,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,22.015053587225374
4446-2273-0019_8555-284447-0022__T1__SCV3TTSENR__4446-4446-2273-0019__VOICE__8555,-33.56922971673624,-11.852624896224548,-13.087185248591153,1.0,0.6,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,21.71660482051169
908-157963-0010_260-123440-0010__T2__SCV3TTSENR__260-260-123440-0010__VOICE__908,-34.22689804962009,-12.877537684030283,-10.066485052227067,0.9090909090909092,0.6363636363636364,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,21.349360365589806
260-123286-0028_4446-2273-0035__T2__SCV3TTSENR__4446-4446-2273-0035__VOICE__260,-43.30896131717811,-22.19276794662325,-21.25881550831064,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,21.11619337055486
4446-2273-0023_260-123288-0011__T1__SCV3TTSENR__4446-4446-2273-0023__VOICE__260,-58.76945909571364,-37.83554759974599,-39.35692478322161,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,20.93391149596765
2300-131720-0037_7021-79740-0013__T2__SCV3TTSENR__7021-7021-79740-0013__VOICE__2300,-40.27629023839316,-21.018134932840404,-15.944208894613606,0.9230769230769232,0.7692307692307693,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,19.258155305552755
2094-142345-0012_4446-2275-0026__T2__SCV3TTSENR__4446-4446-2275-0026__VOICE__2094,-50.19941856208796,-30.98343987728849,-31.81493054297701,1.0,0.8888888888888888,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,19.215978684799474
8463-294828-0031_6829-68769-0051__T1__SCV3TTSENR__8463-8463-294828-0031__VOICE__6829,-47.49898689270385,-28.68126321074846,-24.93407435594044,1.0,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,18.817723681955385
8230-279154-0030_61-70970-0030__T2__SCV3TTSENR__61-61-70970-0030__VOICE__8230,-37.1496624953402,-19.22292490825222,-13.624977461297448,1.0,0.8,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,17.92673758708798
1580-141083-0041_8463-294828-0011__T2__SCV3TTSENR__8463-8463-294828-0011__VOICE__1580,-32.57826819353815,-15.518510098309651,-13.191554762196189,1.0,0.8333333333333334,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,17.0597580952285
4446-2273-0009_8463-287645-0001__T1__SCV3TTSENR__4446-4446-2273-0009__VOICE__8463,-39.53266537121683,-23.0966605104378,-22.09609492284424,0.8333333333333334,1.0,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,16.43600486077903
4446-2273-0001_1580-141083-0029__T1__SCV3TTSENR__4446-4446-2273-0001__VOICE__1580,-41.82928255684699,-25.427013714978195,-20.62339116949424,1.0,0.875,True,False,True,True,True,False,True,False,True,True,True,False,Both models tail with high content drift,16.402268841868796
