key,target_spk,interferer_spk,num_chunks,ecapa_mismatch_rate,xvector_mismatch_rate,mv_speaker_mismatch_rate,waveform_interferer_rate,mv_true_drift_rate,mean_local_target_interferer_si_sdr_gap,sisnr_i
1089-134686-0000_121-127105-0031__T1__1089-1089-134686-0000__HSIMV2__8230-8230-279154-0012__SIR0,1089,121,6,0.0,0.0,0.0,0.0,0.0,54.42435224799238,17.51793099270569
1089-134686-0000_121-127105-0031__T2__121-121-127105-0031__HSIMV2__237-237-134493-0004__SIR0,121,1089,12,1.0,1.0,1.0,1.0,1.0,-50.04544317472952,-31.78413801180654
1089-134686-0000_260-123440-0016__T1__1089-1089-134686-0000__HSIMV2__8230-8230-279154-0006__SIR0,1089,260,14,0.0,0.0,0.0,0.0,0.0,49.43518651895433,17.337556428832826
1089-134686-0000_260-123440-0016__T2__260-260-123440-0016__HSIMV2__672-672-122797-0071__SIR0,260,1089,8,0.0,0.0,0.0,0.0,0.0,49.57239446141209,17.585302313477783
1089-134686-0000_61-70968-0047__T1__1089-1089-134686-0000__HSIMV2__8230-8230-279154-0010__SIR0,1089,61,19,0.0,0.0,0.0,0.0,0.0,50.65639622086885,16.962275898569544
1089-134686-0000_61-70968-0047__T2__61-61-70968-0047__HSIMV2__8230-8230-279154-0028__SIR0,61,1089,8,0.0,0.0,0.0,0.0,0.0,51.7042323936202,15.789668155469698
1089-134686-0002_7729-102255-0037__T1__1089-1089-134686-0002__HSIMV2__8230-8230-279154-0039__SIR0,1089,7729,8,0.0,0.0,0.0,0.0,0.0,55.01504034600529,16.323257566283722
1089-134686-0002_7729-102255-0037__T2__7729-7729-102255-0037__HSIMV2__7176-7176-92135-0005__SIR0,7729,1089,9,0.0,0.0,0.0,0.0,0.0,52.06979842405698,14.930930784237235
1089-134686-0004_1284-1180-0027__T1__1089-1089-134686-0004__HSIMV2__8230-8230-279154-0022__SIR0,1089,1284,9,0.0,0.0,0.0,0.0,0.0,57.32594018263754,19.10682589809052
1089-134686-0004_1284-1180-0027__T2__1284-1284-1180-0027__HSIMV2__4446-4446-2273-0029__SIR0,1284,1089,5,0.0,0.0,0.0,0.0,0.0,48.019591710665075,17.304240139783587
1089-134686-0004_6829-68771-0005__T1__1089-1089-134686-0004__HSIMV2__8230-8230-279154-0030__SIR0,1089,6829,9,0.0,0.0,0.0,0.0,0.0,50.717807480677315,16.343171648419425
1089-134686-0004_6829-68771-0005__T2__6829-6829-68771-0005__HSIMV2__4446-4446-2271-0016__SIR0,6829,1089,11,0.0,0.0,0.0,0.0,0.0,54.5088318121331,17.651261972566058
1089-134686-0004_8463-294828-0016__T1__1089-1089-134686-0004__HSIMV2__8230-8230-279154-0014__SIR0,1089,8463,9,0.0,0.0,0.0,0.0,0.0,51.33302184546849,16.24876767342796
1089-134686-0004_8463-294828-0016__T2__8463-8463-294828-0016__HSIMV2__4992-4992-41797-0021__SIR0,8463,1089,5,0.0,0.0,0.0,0.0,0.0,56.399719979468685,18.4786035572208
1089-134686-0005_7176-92135-0020__T1__1089-1089-134686-0005__HSIMV2__8230-8230-279154-0040__SIR0,1089,7176,18,0.0,0.0,0.0,0.0,0.0,48.13249839486137,16.14491530315149
1089-134686-0005_7176-92135-0020__T2__7176-7176-92135-0020__HSIMV2__61-61-70970-0020__SIR0,7176,1089,9,1.0,1.0,1.0,1.0,1.0,-37.40879309371244,-18.69209419684501
1089-134686-0006_1580-141083-0022__T1__1089-1089-134686-0006__HSIMV2__8230-8230-279154-0033__SIR0,1089,1580,20,0.0,0.0,0.0,0.0,0.0,46.52117094848441,16.73777407533427
1089-134686-0006_1580-141083-0022__T2__1580-1580-141083-0022__HSIMV2__237-237-134500-0039__SIR0,1580,1089,5,0.0,0.0,0.0,0.0,0.0,57.30560043597666,20.404479571033605
1089-134686-0006_4446-2271-0018__T1__1089-1089-134686-0006__HSIMV2__8230-8230-279154-0011__SIR0,1089,4446,11,0.0,0.0,0.0,0.0,0.0,50.78226942781639,17.589010739248987
1089-134686-0006_4446-2271-0018__T2__4446-4446-2271-0018__HSIMV2__4992-4992-23283-0020__SIR0,4446,1089,10,1.0,1.0,1.0,1.0,1.0,-52.55686127695757,-30.08712280576517
1089-134686-0007_1995-1836-0000__T1__1089-1089-134686-0007__HSIMV2__8230-8230-279154-0041__SIR0,1089,1995,7,0.0,0.0,0.0,0.0,0.0,43.92160356679951,12.246333584124466
1089-134686-0007_1995-1836-0000__T2__1995-1995-1836-0000__HSIMV2__2094-2094-142345-0050__SIR0,1995,1089,7,0.0,0.42857142857142855,0.0,0.0,0.0,48.4458504088239,16.304825505257746
1089-134686-0007_7021-85628-0018__T1__1089-1089-134686-0007__HSIMV2__8230-8230-279154-0022__SIR0,1089,7021,7,0.0,0.0,0.0,0.0,0.0,44.10567036890683,15.890287117545023
1089-134686-0007_7021-85628-0018__T2__7021-7021-85628-0018__HSIMV2__5105-5105-28241-0008__SIR0,7021,1089,15,0.06666666666666667,0.0,0.0,0.0,0.0,53.74847163384121,17.98468263626643
1089-134686-0007_8455-210777-0052__T1__1089-1089-134686-0007__HSIMV2__8230-8230-279154-0028__SIR0,1089,8455,7,0.0,0.0,0.0,0.0,0.0,50.87385432618746,18.44658971209116
1089-134686-0007_8455-210777-0052__T2__8455-8455-210777-0052__HSIMV2__1320-1320-122617-0039__SIR0,8455,1089,8,0.125,0.0,0.0,0.0,0.0,56.97162373896907,18.480199598788484
1089-134686-0008_672-122797-0007__T1__1089-1089-134686-0008__HSIMV2__8230-8230-279154-0000__SIR0,1089,672,12,0.0,0.0,0.0,0.0,0.0,46.74646469509679,15.671582029394177
1089-134686-0008_672-122797-0007__T2__672-672-122797-0007__HSIMV2__260-260-123288-0008__SIR0,672,1089,10,0.0,0.0,0.0,0.0,0.0,49.160164606482425,16.802869130941296
1089-134686-0008_8230-279154-0012__T1__1089-1089-134686-0008__HSIMV2__8230-8230-279154-0003__SIR0,1089,8230,5,0.0,0.0,0.0,0.0,0.0,48.553580065470996,13.494918216520343
