key,target_spk,interferer_spk,num_chunks,ecapa_mismatch_rate,xvector_mismatch_rate,mv_speaker_mismatch_rate,waveform_interferer_rate,mv_true_drift_rate,mean_local_target_interferer_si_sdr_gap,sisnr_i
1089-134686-0000_121-127105-0031__T1__1089-1089-134686-0000__HSIMV2__8230-8230-279154-0040__SIRm3,1089,121,19,0.0,0.0,0.0,0.0,0.0,44.85620024675176,11.543321224309716
1089-134686-0000_121-127105-0031__T2__121-121-127105-0031__HSIMV2__237-237-134500-0024__SIRm3,121,1089,7,0.0,0.0,0.0,0.0,0.0,41.141519933712225,18.99233706591369
1089-134686-0000_260-123440-0016__T1__1089-1089-134686-0000__HSIMV2__8230-8230-279154-0039__SIRm3,1089,260,8,0.0,0.0,0.0,0.0,0.0,53.70017055588811,14.778624968895809
1089-134686-0000_260-123440-0016__T2__260-260-123440-0016__HSIMV2__672-672-122797-0003__SIRm3,260,1089,8,0.0,0.0,0.0,0.0,0.0,59.63457931816822,19.751634835125508
1089-134686-0000_61-70968-0047__T1__1089-1089-134686-0000__HSIMV2__8230-8230-279154-0027__SIRm3,1089,61,19,0.0,0.0,0.0,0.0,0.0,46.13639142400321,17.46154336968743
1089-134686-0000_61-70968-0047__T2__61-61-70968-0047__HSIMV2__8230-8230-279154-0039__SIRm3,61,1089,8,0.0,0.0,0.0,0.0,0.0,47.74679716038222,17.744405775939327
1089-134686-0002_7729-102255-0037__T1__1089-1089-134686-0002__HSIMV2__8230-8230-279154-0024__SIRm3,1089,7729,11,0.0,0.0,0.0,0.0,0.0,48.09956991666194,17.523232099434555
1089-134686-0002_7729-102255-0037__T2__7729-7729-102255-0037__HSIMV2__7176-7176-92135-0008__SIRm3,7729,1089,7,0.0,0.0,0.0,0.0,0.0,45.80078999611472,18.600701860734173
1089-134686-0004_1284-1180-0027__T1__1089-1089-134686-0004__HSIMV2__8230-8230-279154-0041__SIRm3,1089,1284,9,0.0,0.0,0.0,0.0,0.0,47.00053277069841,19.09556897145694
1089-134686-0004_1284-1180-0027__T2__1284-1284-1180-0027__HSIMV2__4446-4446-2271-0024__SIRm3,1284,1089,5,0.0,0.0,0.0,0.0,0.0,45.61622027581358,18.061841160242786
1089-134686-0004_6829-68771-0005__T1__1089-1089-134686-0004__HSIMV2__8230-8230-279154-0036__SIRm3,1089,6829,5,0.0,0.0,0.0,0.0,0.0,49.61548940015037,19.39768094421869
1089-134686-0004_6829-68771-0005__T2__6829-6829-68771-0005__HSIMV2__4446-4446-2275-0023__SIRm3,6829,1089,6,0.0,0.0,0.0,0.0,0.0,46.37687318592335,18.060181210275896
1089-134686-0004_8463-294828-0016__T1__1089-1089-134686-0004__HSIMV2__8230-8230-279154-0026__SIRm3,1089,8463,9,0.0,0.0,0.0,0.0,0.0,56.08801346292964,19.4929495826931
1089-134686-0004_8463-294828-0016__T2__8463-8463-294828-0016__HSIMV2__4992-4992-41806-0013__SIRm3,8463,1089,5,0.0,0.0,0.0,0.0,0.0,53.282214283290706,20.70749563418276
1089-134686-0005_7176-92135-0020__T1__1089-1089-134686-0005__HSIMV2__8230-8230-279154-0016__SIRm3,1089,7176,18,0.0,0.0,0.0,0.0,0.0,52.63316251412527,18.93955902345617
1089-134686-0005_7176-92135-0020__T2__7176-7176-92135-0020__HSIMV2__61-61-70970-0024__SIRm3,7176,1089,13,0.07692307692307693,0.0,0.0,0.0,0.0,49.93562172465686,18.174966790722312
1089-134686-0006_1580-141083-0022__T1__1089-1089-134686-0006__HSIMV2__8230-8230-279154-0039__SIRm3,1089,1580,8,0.0,0.0,0.0,0.0,0.0,42.92202961321446,17.95694477295052
1089-134686-0006_1580-141083-0022__T2__1580-1580-141083-0022__HSIMV2__237-237-134500-0015__SIRm3,1580,1089,5,0.0,0.0,0.0,0.0,0.0,45.64187897860236,18.5501438802679
1089-134686-0006_4446-2271-0018__T1__1089-1089-134686-0006__HSIMV2__8230-8230-279154-0040__SIRm3,1089,4446,20,0.0,0.0,0.0,0.0,0.0,46.448249608521984,18.624671465337563
1089-134686-0006_4446-2271-0018__T2__4446-4446-2271-0018__HSIMV2__4992-4992-41806-0003__SIRm3,4446,1089,10,1.0,1.0,1.0,1.0,1.0,-44.18760572306805,-19.744365172931225
1089-134686-0007_1995-1836-0000__T1__1089-1089-134686-0007__HSIMV2__8230-8230-279154-0000__SIRm3,1089,1995,7,0.0,0.0,0.0,0.0,0.0,51.302400627423495,18.39707584459442
1089-134686-0007_1995-1836-0000__T2__1995-1995-1836-0000__HSIMV2__2094-2094-142345-0030__SIRm3,1995,1089,16,0.0,0.125,0.0,0.0,0.0,54.43805873537633,16.42888535709201
1089-134686-0007_7021-85628-0018__T1__1089-1089-134686-0007__HSIMV2__8230-8230-279154-0031__SIRm3,1089,7021,7,0.0,0.0,0.0,0.0,0.0,44.03927006632451,18.883509000868347
1089-134686-0007_7021-85628-0018__T2__7021-7021-85628-0018__HSIMV2__5105-5105-28241-0003__SIRm3,7021,1089,6,0.0,0.0,0.0,0.0,0.0,50.54122120478439,20.186094367988968
1089-134686-0007_8455-210777-0052__T1__1089-1089-134686-0007__HSIMV2__8230-8230-279154-0024__SIRm3,1089,8455,7,0.0,0.0,0.0,0.0,0.0,44.62035372440755,19.325148487912674
1089-134686-0007_8455-210777-0052__T2__8455-8455-210777-0052__HSIMV2__1320-1320-122617-0041__SIRm3,8455,1089,7,0.0,0.0,0.0,0.0,0.0,60.28268299138261,20.71881168211281
1089-134686-0008_672-122797-0007__T1__1089-1089-134686-0008__HSIMV2__8230-8230-279154-0012__SIRm3,1089,672,6,0.0,0.0,0.0,0.0,0.0,52.21823676646229,18.88295557794695
1089-134686-0008_672-122797-0007__T2__672-672-122797-0007__HSIMV2__260-260-123288-0002__SIRm3,672,1089,11,0.0,0.0,0.0,0.0,0.0,45.28158049681482,18.038080963095723
1089-134686-0008_8230-279154-0012__T1__1089-1089-134686-0008__HSIMV2__8230-8230-279154-0010__SIRm3,1089,8230,12,0.0,0.0,0.0,0.0,0.0,54.32222301077871,17.78239749329903
1089-134686-0008_8230-279154-0012__T2__8230-8230-279154-0012__HSIMV2__61-61-70970-0019__SIRm3,8230,1089,6,0.0,0.0,0.0,0.0,0.0,37.27511401915186,14.0396042761132
1089-134686-0010_4507-16021-0023__T1__1089-1089-134686-0010__HSIMV2__8230-8230-279154-0026__SIRm3,1089,4507,7,0.0,0.0,0.0,0.0,0.0,51.13609110898422,19.3828878210304
1089-134686-0010_4507-16021-0023__T2__4507-4507-16021-0023__HSIMV2__3729-3729-6852-0014__SIRm3,4507,1089,10,0.0,0.0,0.0,0.0,0.0,51.77964981434112,19.932170946448327
1089-134686-0011_1320-122612-0004__T1__1089-1089-134686-0011__HSIMV2__8230-8230-279154-0035__SIRm3,1089,1320,14,0.0,0.07142857142857142,0.0,0.0,0.0,47.92922831014333,18.96975122278384
1089-134686-0011_1320-122612-0004__T2__1320-1320-122612-0004__HSIMV2__5105-5105-28233-0006__SIRm3,1320,1089,10,0.0,0.0,0.0,0.0,0.0,48.54335153267906,18.83120472930826
1089-134686-0013_3570-5695-0000__T1__1089-1089-134686-0013__HSIMV2__8230-8230-279154-0032__SIRm3,1089,3570,6,0.0,0.0,0.0,0.0,0.0,59.30568089490257,16.837131107221268
1089-134686-0013_3570-5695-0000__T2__3570-3570-5695-0000__HSIMV2__4507-4507-16021-0014__SIRm3,3570,1089,8,0.0,0.0,0.0,0.0,0.0,54.12065278989916,21.81174922036704
1089-134686-0013_7127-75946-0007__T1__1089-1089-134686-0013__HSIMV2__8230-8230-279154-0028__SIRm3,1089,7127,14,0.0,0.0,0.0,0.0,0.0,53.024485541023296,19.11114025855265
1089-134686-0013_7127-75946-0007__T2__7127-7127-75946-0007__HSIMV2__8455-8455-210777-0064__SIRm3,7127,1089,6,0.0,0.16666666666666666,0.0,0.0,0.0,49.15244313852557,16.002334278109657
1089-134686-0015_4970-29093-0003__T1__1089-1089-134686-0015__HSIMV2__8230-8230-279154-0036__SIRm3,1089,4970,5,0.0,0.0,0.0,0.0,0.0,58.712795128384606,21.28593105138209
1089-134686-0015_4970-29093-0003__T2__4970-4970-29093-0003__HSIMV2__6829-6829-68769-0000__SIRm3,4970,1089,22,0.045454545454545456,0.0,0.0,0.0,0.0,50.51074997566843,18.8736245734436
