key,target_spk,interferer_spk,num_chunks,ecapa_mismatch_rate,xvector_mismatch_rate,mv_speaker_mismatch_rate,waveform_interferer_rate,mv_true_drift_rate,mean_local_target_interferer_si_sdr_gap,sisnr_i
1089-134686-0000_121-127105-0031__T2__121-121-127105-0031__HSIMV3__237-237-126133-0024__SIRm5,121,1089,17,0.0,0.0,0.0,0.0,0.0,47.4304023936894,20.083876534344743
1089-134686-0000_260-123440-0016__T2__260-260-123440-0016__HSIMV3__672-672-122797-0017__SIRm5,260,1089,8,0.0,0.0,0.0,0.0,0.0,53.203401754393184,20.68501866756716
1089-134686-0000_61-70968-0047__T2__61-61-70968-0047__HSIMV3__8230-8230-279154-0039__SIRm5,61,1089,8,0.0,0.0,0.0,0.0,0.0,48.757015820502716,18.61738914634634
1089-134686-0002_7729-102255-0037__T2__7729-7729-102255-0037__HSIMV3__7176-7176-88083-0018__SIRm5,7729,1089,19,0.0,0.0,0.0,0.0,0.0,41.31138996470368,16.879407391402868
1089-134686-0004_1284-1180-0027__T2__1284-1284-1180-0027__HSIMV3__4446-4446-2271-0005__SIRm5,1284,1089,5,0.0,0.0,0.0,0.0,0.0,44.92325156508718,18.940427690217263
1089-134686-0004_6829-68771-0005__T2__6829-6829-68771-0005__HSIMV3__4970-4970-29093-0022__SIRm5,6829,1089,11,0.0,0.0,0.0,0.0,0.0,47.739871360509,18.703059506859216
1089-134686-0004_8463-294828-0016__T2__8463-8463-294828-0016__HSIMV3__4992-4992-23283-0002__SIRm5,8463,1089,5,0.0,0.0,0.0,0.0,0.0,40.01897943596449,18.59519809199981
1089-134686-0005_7176-92135-0020__T2__7176-7176-92135-0020__HSIMV3__61-61-70970-0024__SIRm5,7176,1089,13,0.07692307692307693,0.0,0.0,0.0,0.0,48.0032876680107,19.00370487232024
1089-134686-0006_1580-141083-0022__T2__1580-1580-141083-0022__HSIMV3__237-237-134500-0003__SIRm5,1580,1089,5,0.0,0.0,0.0,0.0,0.0,36.34119571103801,11.98801093664016
1089-134686-0006_4446-2271-0018__T2__4446-4446-2271-0018__HSIMV3__1284-1284-1180-0032__SIRm5,4446,1089,10,1.0,1.0,1.0,1.0,1.0,-58.933730951277575,-37.009249420749605
