key,mix_path,target_path,aux_path,est_path,sample_rate,num_samples,sisnr_mix,sisnr_est,sisnr_i
1089-134686-0000_121-127105-0031__T1__NORMAL__1089,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/mix_clean/1089-134686-0000_121-127105-0031.wav,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/s1/1089-134686-0000_121-127105-0031.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/1089/134686/1089-134686-0001.flac,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/full_infer/est_wavs/1089-134686-0000_121-127105-0031__T1__NORMAL__1089.wav,8000,83456,4.9927984699985375,24.387353033779856,19.39455456378132
1089-134686-0000_121-127105-0031__T2__NORMAL__121,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/mix_clean/1089-134686-0000_121-127105-0031.wav,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/s2/1089-134686-0000_121-127105-0031.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/121/121726/121-121726-0000.flac,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/full_infer/est_wavs/1089-134686-0000_121-127105-0031__T2__NORMAL__121.wav,8000,83456,-5.143199641998293,19.14459646839309,24.28779611039138
1089-134686-0000_260-123440-0016__T1__NORMAL__1089,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/mix_clean/1089-134686-0000_260-123440-0016.wav,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/s1/1089-134686-0000_260-123440-0016.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/1089/134686/1089-134686-0001.flac,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/full_infer/est_wavs/1089-134686-0000_260-123440-0016__T1__NORMAL__1089.wav,8000,39104,7.085524436938012,24.748107766774528,17.662583329836515
1089-134686-0000_260-123440-0016__T2__NORMAL__260,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/mix_clean/1089-134686-0000_260-123440-0016.wav,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/s2/1089-134686-0000_260-123440-0016.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/260/123286/260-123286-0000.flac,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/full_infer/est_wavs/1089-134686-0000_260-123440-0016__T2__NORMAL__260.wav,8000,39104,-6.897241883695604,17.588128951163146,24.48537083485875
1089-134686-0000_61-70968-0047__T1__NORMAL__1089,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/mix_clean/1089-134686-0000_61-70968-0047.wav,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/s1/1089-134686-0000_61-70968-0047.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/1089/134686/1089-134686-0001.flac,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/full_infer/est_wavs/1089-134686-0000_61-70968-0047__T1__NORMAL__1089.wav,8000,38144,0.7421255669247522,20.45331673663893,19.71119116971418
1089-134686-0000_61-70968-0047__T2__NORMAL__61,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/mix_clean/1089-134686-0000_61-70968-0047.wav,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/s2/1089-134686-0000_61-70968-0047.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/61/70968/61-70968-0000.flac,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/full_infer/est_wavs/1089-134686-0000_61-70968-0047__T2__NORMAL__61.wav,8000,38144,-0.8501818145770579,17.23759277819605,18.08777459277311
1089-134686-0002_7729-102255-0037__T1__NORMAL__1089,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/mix_clean/1089-134686-0002_7729-102255-0037.wav,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/s1/1089-134686-0002_7729-102255-0037.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/1089/134686/1089-134686-0000.flac,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/full_infer/est_wavs/1089-134686-0002_7729-102255-0037__T1__NORMAL__1089.wav,8000,52992,-0.8366104504666371,18.242146777071795,19.078757227538432
1089-134686-0002_7729-102255-0037__T2__NORMAL__7729,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/mix_clean/1089-134686-0002_7729-102255-0037.wav,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/s2/1089-134686-0002_7729-102255-0037.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/7729/102255/7729-102255-0000.flac,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/full_infer/est_wavs/1089-134686-0002_7729-102255-0037__T2__NORMAL__7729.wav,8000,52992,0.9028398181202584,19.006120396998902,18.103280578878643
1089-134686-0004_1284-1180-0027__T1__NORMAL__1089,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/mix_clean/1089-134686-0004_1284-1180-0027.wav,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/s1/1089-134686-0004_1284-1180-0027.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/1089/134686/1089-134686-0000.flac,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/full_infer/est_wavs/1089-134686-0004_1284-1180-0027__T1__NORMAL__1089.wav,8000,26112,0.6319861910246821,21.710733147800283,21.0787469567756
1089-134686-0004_1284-1180-0027__T2__NORMAL__1284,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/mix_clean/1089-134686-0004_1284-1180-0027.wav,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/wav16k/min/test/s2/1089-134686-0004_1284-1180-0027.wav,/data/tse_cue_project/raw_data/LibriSpeech/test-clean/1284/1180/1284-1180-0000.flac,/data/tse_cue_project/diagnostics/pretrained_usef_tfgridnet_completion_20260604/bundles/pretrained_usef_tfgridnet_normal_easy/full_infer/est_wavs/1089-134686-0004_1284-1180-0027__T2__NORMAL__1284.wav,8000,26112,-0.4518984151235709,21.54362208219805,21.995520497321618
