key,target_spk,interferer_spk,content_similarity,sisnr_i,num_chunks,content_mismatch_rate,waveform_interferer_rate,joint_content_waveform_rate,mean_content_gap,min_content_gap,mean_local_si_sdr_gap,content_segment_count,content_max_duration,content_mean_duration,content_first_position,bundle,layer_idx
4077-13754-0001_5142-33396-0065__T1__NORMAL__4077,4077,5142,,18.01936002655696,6,0.0,0.0,0.0,0.12489843571459901,0.0965359191660834,55.34593506821502,0,0.0,0.0,-1.0,HUBERT_BASE,6
4077-13754-0001_5142-33396-0065__T2__NORMAL__5142,5142,4077,,19.084700374718416,6,0.0,0.0,0.0,0.11218774364201257,0.08849334832448918,64.87415648597609,0,0.0,0.0,-1.0,HUBERT_BASE,6
6930-76324-0027_5683-32879-0011__T1__NORMAL__6930,6930,5683,,7.240186401856029,15,0.0,0.0,0.0,0.10865674045199276,0.04615503812342159,37.94884789091648,0,0.0,0.0,-1.0,HUBERT_BASE,6
6930-76324-0027_5683-32879-0011__T2__NORMAL__5683,5683,6930,,15.677747520383411,15,0.0,0.0,0.0,0.08867871695470568,0.03850078605423468,43.709112028502794,0,0.0,0.0,-1.0,HUBERT_BASE,6
1188-133604-0025_4992-23283-0016__T1__NORMAL__1188,1188,4992,,16.42735401492309,7,0.0,0.0,0.0,0.1286728659788575,0.1024435809144082,42.98205557376678,0,0.0,0.0,-1.0,HUBERT_BASE,6
1188-133604-0025_4992-23283-0016__T2__NORMAL__4992,4992,1188,,16.945121475683372,7,0.0,0.0,0.0,0.14064712616728597,0.0819916775772932,47.985907515975065,0,0.0,0.0,-1.0,HUBERT_BASE,6
5683-32866-0012_121-121726-0001__T1__NORMAL__5683,5683,121,,19.031649328401016,9,0.0,0.0,0.0,0.16676280313492117,0.07074892379406694,60.90291284585524,0,0.0,0.0,-1.0,HUBERT_BASE,6
5683-32866-0012_121-121726-0001__T2__NORMAL__121,121,5683,,23.72864249701571,9,0.0,0.0,0.0,0.13256551253866888,0.04110765880147149,61.67510437061963,0,0.0,0.0,-1.0,HUBERT_BASE,6
1995-1837-0025_5142-36377-0017__T1__NORMAL__1995,1995,5142,,25.562805110338477,8,0.0,0.0,0.0,0.1104849265565094,0.08152383402855046,69.57956240325169,0,0.0,0.0,-1.0,HUBERT_BASE,6
1995-1837-0025_5142-36377-0017__T2__NORMAL__5142,5142,1995,,23.891425455568413,8,0.0,0.0,0.0,0.1274109908175609,0.10136883606977132,64.89689623580543,0,0.0,0.0,-1.0,HUBERT_BASE,6
2830-3980-0022_8555-292519-0010__T1__NORMAL__2830,2830,8555,,16.66341082434785,5,0.0,0.0,0.0,0.13860748849769128,0.11576425726818196,52.768790950556514,0,0.0,0.0,-1.0,HUBERT_BASE,6
2830-3980-0022_8555-292519-0010__T2__NORMAL__8555,8555,2830,,15.519009547817,5,0.0,0.0,0.0,0.11133050316920086,0.021501178806203614,47.93969341171273,0,0.0,0.0,-1.0,HUBERT_BASE,6
5639-40744-0034_4507-16021-0058__T1__NORMAL__5639,5639,4507,,16.42245673974501,5,0.0,0.0,0.0,0.0938219318462669,0.014094651303605543,50.02895783131005,0,0.0,0.0,-1.0,HUBERT_BASE,6
5639-40744-0034_4507-16021-0058__T2__NORMAL__4507,4507,5639,,19.49786657066338,5,0.0,0.0,0.0,0.1237273284024945,0.06104469177227023,67.617310140212,0,0.0,0.0,-1.0,HUBERT_BASE,6
3729-6852-0046_672-122797-0044__T1__NORMAL__3729,3729,672,,17.25595516015469,6,0.0,0.0,0.0,0.17193915685486968,0.07604366388821493,53.45281033805364,0,0.0,0.0,-1.0,HUBERT_BASE,6
3729-6852-0046_672-122797-0044__T2__NORMAL__672,672,3729,,19.66229508369732,6,0.0,0.0,0.0,0.15166592603039375,0.04205453311734442,52.62676640207858,0,0.0,0.0,-1.0,HUBERT_BASE,6
