key,target_spk,interferer_spk,num_chunks,waveform_interferer_rate,wav2vec2_content_mismatch_rate,wavlm_content_mismatch_rate,hubert_content_mismatch_rate,two_verifier_content_mismatch_rate,two_verifier_true_drift_rate,tri_verifier_content_mismatch_rate,tri_verifier_true_drift_rate,mean_local_target_interferer_si_sdr_gap,sisnr_i
1089-134686-0000_121-127105-0031__T1__NORMAL__1089,1089,121,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.89849004595596,19.39455456378132
1089-134686-0000_121-127105-0031__T2__NORMAL__121,121,1089,18,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,54.77056608302174,24.28779611039138
1089-134686-0000_260-123440-0016__T1__NORMAL__1089,1089,260,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.73659299654925,17.662583329836515
1089-134686-0000_260-123440-0016__T2__NORMAL__260,260,1089,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.97681269778673,24.48537083485875
1089-134686-0000_61-70968-0047__T1__NORMAL__1089,1089,61,8,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,53.47249243596223,19.71119116971418
1089-134686-0000_61-70968-0047__T2__NORMAL__61,61,1089,8,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,60.46511875350707,18.08777459277311
1089-134686-0002_7729-102255-0037__T1__NORMAL__1089,1089,7729,12,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,49.88279167997237,19.078757227538432
1089-134686-0002_7729-102255-0037__T2__NORMAL__7729,7729,1089,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.995862634651665,18.103280578878643
1089-134686-0004_1284-1180-0027__T1__NORMAL__1089,1089,1284,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.30671681176818,21.0787469567756
1089-134686-0004_1284-1180-0027__T2__NORMAL__1284,1284,1089,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.834280313060674,21.995520497321618
1089-134686-0004_6829-68771-0005__T1__NORMAL__1089,1089,6829,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.45361200527491,23.26702524161852
1089-134686-0004_6829-68771-0005__T2__NORMAL__6829,6829,1089,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.747669623725706,16.53312254986635
1089-134686-0004_8463-294828-0016__T1__NORMAL__1089,1089,8463,5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,65.34581420014574,24.01324141396508
1089-134686-0004_8463-294828-0016__T2__NORMAL__8463,8463,1089,5,1.0,0.8,1.0,1.0,0.8,0.8,0.8,0.8,-65.3040788408995,-44.645498923883935
1089-134686-0005_7176-92135-0020__T1__NORMAL__1089,1089,7176,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.69389890925425,23.49063511420985
1089-134686-0005_7176-92135-0020__T2__NORMAL__7176,7176,1089,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66131951709305,22.36481347529722
1089-134686-0006_1580-141083-0022__T1__NORMAL__1089,1089,1580,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.9728438181922,22.486344684956308
1089-134686-0006_1580-141083-0022__T2__NORMAL__1580,1580,1089,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.38172933002736,26.65253282823751
1089-134686-0006_4446-2271-0018__T1__NORMAL__1089,1089,4446,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.079631521126146,21.320422168242644
1089-134686-0006_4446-2271-0018__T2__NORMAL__4446,4446,1089,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.70621375003084,22.42076111594515
1089-134686-0007_1995-1836-0000__T1__NORMAL__1089,1089,1995,7,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,50.28347171714218,24.74064677637196
1089-134686-0007_1995-1836-0000__T2__NORMAL__1995,1995,1089,7,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,56.750542733465856,24.291886163457026
1089-134686-0007_7021-85628-0018__T1__NORMAL__1089,1089,7021,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.89219985936701,21.43161997245078
1089-134686-0007_7021-85628-0018__T2__NORMAL__7021,7021,1089,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.7351839593104,20.3358972978312
1089-134686-0007_8455-210777-0052__T1__NORMAL__1089,1089,8455,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.92994351041352,18.20456781119292
1089-134686-0007_8455-210777-0052__T2__NORMAL__8455,8455,1089,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.10933481598659,21.5922290155086
1089-134686-0008_672-122797-0007__T1__NORMAL__1089,1089,672,11,0.0,0.18181818181818182,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,45.87688696524028,16.857736466291602
1089-134686-0008_672-122797-0007__T2__NORMAL__672,672,1089,11,0.0,0.18181818181818182,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,53.321015859346225,18.59716398773783
