key,target_spk,interferer_spk,content_similarity,sisnr_i,num_chunks,content_mismatch_rate,waveform_interferer_rate,joint_content_waveform_rate,mean_content_gap,min_content_gap,mean_local_si_sdr_gap,content_segment_count,content_max_duration,content_mean_duration,content_first_position,bundle,layer_idx
4077-13754-0001_5142-33396-0065__T1__NORMAL__4077,4077,5142,,18.01936002655696,6,0.0,0.0,0.0,0.30421686958175864,0.17187555864778237,55.34593506821502,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
4077-13754-0001_5142-33396-0065__T2__NORMAL__5142,5142,4077,,19.084700374718416,6,0.0,0.0,0.0,0.3036556913660682,0.22617662408098715,64.87415648597609,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
6930-76324-0027_5683-32879-0011__T1__NORMAL__6930,6930,5683,,7.240186401856029,15,0.0,0.0,0.0,0.19520605999025792,0.016191125557320496,37.94884789091648,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
6930-76324-0027_5683-32879-0011__T2__NORMAL__5683,5683,6930,,15.677747520383411,15,0.0,0.0,0.0,0.22025754872684764,0.03263388957925595,43.709112028502794,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1188-133604-0025_4992-23283-0016__T1__NORMAL__1188,1188,4992,,16.42735401492309,7,0.0,0.0,0.0,0.22449562204431042,0.15766572636939047,42.98205557376678,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1188-133604-0025_4992-23283-0016__T2__NORMAL__4992,4992,1188,,16.945121475683372,7,0.0,0.0,0.0,0.2875102264555521,0.23588287358587046,47.985907515975065,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
5683-32866-0012_121-121726-0001__T1__NORMAL__5683,5683,121,,19.031649328401016,9,0.0,0.0,0.0,0.2896994741758722,0.05449408183782223,60.90291284585524,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
5683-32866-0012_121-121726-0001__T2__NORMAL__121,121,5683,,23.72864249701571,9,0.0,0.0,0.0,0.2687752062334663,0.038463722347550355,61.67510437061963,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1995-1837-0025_5142-36377-0017__T1__NORMAL__1995,1995,5142,,25.562805110338477,8,0.0,0.0,0.0,0.18449257055765655,0.12565476199936987,69.57956240325169,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1995-1837-0025_5142-36377-0017__T2__NORMAL__5142,5142,1995,,23.891425455568413,8,0.0,0.0,0.0,0.20986685587179832,0.13181638423609054,64.89689623580543,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
2830-3980-0022_8555-292519-0010__T1__NORMAL__2830,2830,8555,,16.66341082434785,5,0.0,0.0,0.0,0.2420109536582456,0.2015776118003959,52.768790950556514,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
2830-3980-0022_8555-292519-0010__T2__NORMAL__8555,8555,2830,,15.519009547817,5,0.0,0.0,0.0,0.20935349578484166,0.149240326337701,47.93969341171273,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
5639-40744-0034_4507-16021-0058__T1__NORMAL__5639,5639,4507,,16.42245673974501,5,0.0,0.0,0.0,0.18376233305865058,0.11059654197016366,50.02895783131005,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
5639-40744-0034_4507-16021-0058__T2__NORMAL__4507,4507,5639,,19.49786657066338,5,0.0,0.0,0.0,0.26689422017453024,0.18524159838714738,67.617310140212,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
3729-6852-0046_672-122797-0044__T1__NORMAL__3729,3729,672,,17.25595516015469,6,0.0,0.0,0.0,0.35966642191286696,0.2332672729592774,53.45281033805364,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
3729-6852-0046_672-122797-0044__T2__NORMAL__672,672,3729,,19.66229508369732,6,0.0,0.0,0.0,0.2972044316298681,0.08896899045389661,52.62676640207858,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
2830-3980-0032_237-134500-0010__T1__NORMAL__2830,2830,237,,19.95064902870436,6,0.0,0.0,0.0,0.20735067786307448,0.14912795722251904,57.3923153689359,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
2830-3980-0032_237-134500-0010__T2__NORMAL__237,237,2830,,16.405839949120335,6,0.0,0.0,0.0,0.2649922406654324,0.16993559079853704,57.70850118536669,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
2300-131720-0026_4446-2273-0008__T1__NORMAL__2300,2300,4446,,13.552151790618408,14,0.0,0.0,0.0,0.25359107385607504,0.11836445800351725,54.04521442550466,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
2300-131720-0026_4446-2273-0008__T2__NORMAL__4446,4446,2300,,20.95652533533142,14,0.0,0.0,0.0,0.27928734366630426,0.19008215356869285,57.025035851213026,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
121-121726-0014_7021-79740-0000__T1__NORMAL__121,121,7021,,21.599471249974865,5,0.0,0.0,0.0,0.2956530886558952,0.24729032742151957,60.82771765843813,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
121-121726-0014_7021-79740-0000__T2__NORMAL__7021,7021,121,,15.074242408614536,5,0.2,0.0,0.0,0.2335390826696237,-0.032764156895366936,57.32877540862862,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1320-122617-0025_260-123440-0019__T1__NORMAL__1320,1320,260,,21.813930824638025,11,0.09090909090909091,0.0,0.0,0.22586569045809382,-0.003713649720478829,57.55499662827535,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1320-122617-0025_260-123440-0019__T2__NORMAL__260,260,1320,,18.948407244404635,11,0.0,0.0,0.0,0.32592768037584735,0.15144104795789592,58.608504604652424,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
2961-961-0007_6930-76324-0016__T1__NORMAL__2961,2961,6930,,11.071837628512348,16,0.0,0.0,0.0,0.2201508775179106,0.028119863193297512,41.23289405328893,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
2961-961-0007_6930-76324-0016__T2__NORMAL__6930,6930,2961,,15.60811237836582,16,0.0,0.0,0.0,0.24516991091355256,0.02904862280497089,45.98969596433375,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
3729-6852-0038_8463-294828-0003__T1__NORMAL__3729,3729,8463,,19.28466440960491,10,0.0,0.0,0.0,0.26704249987016815,0.11188829199697192,45.176491984337744,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
3729-6852-0038_8463-294828-0003__T2__NORMAL__8463,8463,3729,,-31.356817896857216,10,1.0,1.0,1.0,-0.26533399454404966,-0.4803536747127941,-44.69872660982653,1,5.0,5.0,0.0,WAVLM_BASE_PLUS,9
4992-41806-0016_8230-279154-0023__T1__NORMAL__4992,4992,8230,,16.89683057662368,11,0.0,0.0,0.0,0.3056908313242579,0.14334433984170092,57.00001836399574,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
4992-41806-0016_8230-279154-0023__T2__NORMAL__8230,8230,4992,,23.45118304422999,11,0.0,0.0,0.0,0.16533188836174126,0.05264200828114751,52.81396173611038,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
