key,target_spk,interferer_spk,num_chunks,ecapa_mismatch_rate,xvector_mismatch_rate,mv_speaker_mismatch_rate,waveform_interferer_rate,mv_true_drift_rate,mean_local_target_interferer_si_sdr_gap,sisnr_i
4077-13754-0001_5142-33396-0065__T1__4077-4077-13754-0001__HSIMV3__8455-8455-210777-0049__SIR0,4077,8455,6,0.0,0.0,0.0,0.0,0.0,44.97068246825063,18.5395005455432
4077-13754-0001_5142-33396-0065__T2__5142-5142-33396-0065__HSIMV3__4970-4970-29095-0002__SIR0,5142,4970,9,0.0,0.1111111111111111,0.0,0.0,0.0,61.32828738222187,23.5705340841574
6930-76324-0027_5683-32879-0011__T1__6930-6930-76324-0027__HSIMV3__260-260-123440-0010__SIR0,6930,260,15,0.0,0.0,0.0,0.0,0.0,51.47146529681902,13.93191709401044
6930-76324-0027_5683-32879-0011__T2__5683-5683-32879-0011__HSIMV3__237-237-134500-0041__SIR0,5683,237,16,0.125,0.125,0.0,0.0,0.0,46.63723860560277,11.659653674364424
1188-133604-0025_4992-23283-0016__T1__1188-1188-133604-0025__HSIMV3__2830-2830-3980-0050__SIR0,1188,2830,13,0.0,0.07692307692307693,0.0,0.0,0.0,40.13545256884101,13.913488820554738
1188-133604-0025_4992-23283-0016__T2__4992-4992-23283-0016__HSIMV3__4446-4446-2275-0041__SIR0,4992,4446,7,0.0,0.14285714285714285,0.0,0.0,0.0,51.32366934047038,16.24419087340393
5683-32866-0012_121-121726-0001__T1__5683-5683-32866-0012__HSIMV3__237-237-134500-0037__SIR0,5683,237,13,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.0,0.0,43.00556005073998,18.43019819229381
5683-32866-0012_121-121726-0001__T2__121-121-121726-0001__HSIMV3__237-237-134500-0000__SIR0,121,237,9,0.1111111111111111,1.0,0.1111111111111111,0.0,0.0,54.00178712480476,24.45418636474865
1995-1837-0025_5142-36377-0017__T1__1995-1995-1837-0025__HSIMV3__2094-2094-142345-0037__SIR0,1995,2094,18,0.16666666666666666,0.0,0.0,0.0,0.0,62.3703553430685,21.46699830068719
1995-1837-0025_5142-36377-0017__T2__5142-5142-36377-0017__HSIMV3__4970-4970-29095-0035__SIR0,5142,4970,8,0.0,0.125,0.0,0.0,0.0,56.15643307602096,18.996195786705524
2830-3980-0022_8555-292519-0010__T1__2830-2830-3980-0022__HSIMV3__1188-1188-133604-0040__SIR0,2830,1188,5,0.0,0.0,0.0,0.0,0.0,42.06529258202972,15.132326244324894
2830-3980-0022_8555-292519-0010__T2__8555-8555-292519-0010__HSIMV3__4970-4970-29095-0002__SIR0,8555,4970,9,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,3.2583907537846364,0.5291100814600164
5639-40744-0034_4507-16021-0058__T1__5639-5639-40744-0034__HSIMV3__1089-1089-134686-0023__SIR0,5639,1089,24,0.0,0.0,0.0,0.0,0.0,61.21756926459428,23.00596011464487
