key,target_spk,interferer_spk,num_chunks,ecapa_mismatch_rate,xvector_mismatch_rate,mv_speaker_mismatch_rate,waveform_interferer_rate,mv_true_drift_rate,mean_local_target_interferer_si_sdr_gap,sisnr_i
1089-134686-0000_121-127105-0031__T1__1089-1089-134686-0000__HSIMV3__8230-8230-279154-0016__SIRm5,1089,8230,19,0.0526315789473684,0.1578947368421052,0.0526315789473684,0.0,0.0,47.30996121513245,23.96700342556469
1089-134686-0000_121-127105-0031__T2__121-121-127105-0031__HSIMV3__237-237-126133-0024__SIRm5,121,237,17,0.0,0.7647058823529411,0.0,0.0588235294117647,0.0,52.65169097907068,5.189155448223179
1089-134686-0000_260-123440-0016__T1__1089-1089-134686-0000__HSIMV3__8230-8230-279154-0016__SIRm5,1089,8230,19,0.0526315789473684,0.1578947368421052,0.0526315789473684,0.0,0.0,47.3099615073897,23.967003414329227
1089-134686-0000_260-123440-0016__T2__260-260-123440-0016__HSIMV3__672-672-122797-0017__SIRm5,260,672,8,0.125,0.125,0.125,0.0,0.0,51.03456724667252,20.12647221594808
1089-134686-0000_61-70968-0047__T1__1089-1089-134686-0000__HSIMV3__8230-8230-279154-0016__SIRm5,1089,8230,19,0.0526315789473684,0.1578947368421052,0.0526315789473684,0.0,0.0,47.3099637470329,23.967003472028843
1089-134686-0000_61-70968-0047__T2__61-61-70968-0047__HSIMV3__8230-8230-279154-0039__SIRm5,61,8230,8,0.0,0.125,0.0,0.0,0.0,54.190649197443726,22.865855494448777
1089-134686-0002_7729-102255-0037__T1__1089-1089-134686-0002__HSIMV3__8230-8230-279154-0021__SIRm5,1089,8230,12,0.1666666666666666,0.0,0.0,0.0,0.0,58.020861201248685,24.069570228983714
1089-134686-0002_7729-102255-0037__T2__7729-7729-102255-0037__HSIMV3__7176-7176-88083-0018__SIRm5,7729,7176,19,0.1052631578947368,0.2631578947368421,0.0526315789473684,0.0,0.0,39.6578331733267,18.86388183727601
1089-134686-0004_1284-1180-0027__T1__1089-1089-134686-0004__HSIMV3__8230-8230-279154-0039__SIRm5,1089,8230,8,0.125,0.0,0.0,0.0,0.0,57.863666446864826,27.751440218771187
1089-134686-0004_1284-1180-0027__T2__1284-1284-1180-0027__HSIMV3__4446-4446-2271-0005__SIRm5,1284,4446,5,0.0,0.0,0.0,0.0,0.0,42.57737655862558,16.65504214563843
1089-134686-0004_6829-68771-0005__T1__1089-1089-134686-0004__HSIMV3__8230-8230-279154-0039__SIRm5,1089,8230,8,0.125,0.0,0.0,0.0,0.0,57.863668541670265,27.751440182254527
