key,target_spk,interferer_spk,num_chunks,ecapa_mismatch_rate,xvector_mismatch_rate,mv_speaker_mismatch_rate,waveform_interferer_rate,mv_true_drift_rate,mean_local_target_interferer_si_sdr_gap,sisnr_i
4077-13754-0001_5142-33396-0065__T2__5142-5142-33396-0065__HSIMV3__4970-4970-29095-0002__SIRm5,5142,4970,9,0.0,0.0,0.0,0.0,0.0,58.86047054504771,24.67347270731501
6930-76324-0027_5683-32879-0011__T2__5683-5683-32879-0011__HSIMV3__237-237-134500-0041__SIRm5,5683,237,16,0.125,0.125,0.0,0.0,0.0,57.946580712353835,21.566200907050373
1188-133604-0025_4992-23283-0016__T2__4992-4992-23283-0016__HSIMV3__4446-4446-2275-0041__SIRm5,4992,4446,7,0.0,0.14285714285714285,0.0,0.0,0.0,48.91882415026716,19.04010271589562
5683-32866-0012_121-121726-0001__T2__121-121-121726-0001__HSIMV3__237-237-134500-0000__SIRm5,121,237,9,0.0,1.0,0.0,0.0,0.0,56.23142115886875,27.13970463622563
1995-1837-0025_5142-36377-0017__T2__5142-5142-36377-0017__HSIMV3__4970-4970-29095-0035__SIRm5,5142,4970,8,0.125,0.0,0.0,0.0,0.0,52.94720833606369,21.74545256286448
2830-3980-0022_8555-292519-0010__T2__8555-8555-292519-0010__HSIMV3__4970-4970-29095-0002__SIRm5,8555,4970,9,0.0,0.1111111111111111,0.0,0.0,0.0,49.538167595214034,23.010179286950915
5639-40744-0034_4507-16021-0058__T2__4507-4507-16021-0058__HSIMV3__3729-3729-6852-0027__SIRm5,4507,3729,5,0.0,0.0,0.0,0.0,0.0,36.61421001940739,14.86716393063461
3729-6852-0046_672-122797-0044__T2__672-672-122797-0044__HSIMV3__260-260-123288-0022__SIRm5,672,260,6,0.0,0.0,0.0,0.0,0.0,45.48565343528628,19.908377988975
2830-3980-0032_237-134500-0010__T2__237-237-134500-0010__HSIMV3__5683-5683-32866-0007__SIRm5,237,5683,6,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,41.859584461475166,6.813456537250041
2300-131720-0026_4446-2273-0008__T2__4446-4446-2273-0008__HSIMV3__1284-1284-1181-0014__SIRm5,4446,1284,14,0.7142857142857143,0.8571428571428571,0.6428571428571429,1.0,0.6428571428571429,-58.96323810708747,-44.6825766025974
121-121726-0014_7021-79740-0000__T2__7021-7021-79740-0000__HSIMV3__5105-5105-28233-0005__SIRm5,7021,5105,21,0.2857142857142857,0.23809523809523808,0.047619047619047616,0.0,0.0,51.49082834070247,21.24976036146948
1320-122617-0025_260-123440-0019__T2__260-260-123440-0019__HSIMV3__672-672-122797-0057__SIRm5,260,672,12,0.0,0.0,0.0,0.0,0.0,53.599808445554146,15.380861453543156
2961-961-0007_6930-76324-0016__T2__6930-6930-76324-0016__HSIMV3__260-260-123288-0011__SIRm5,6930,260,16,0.0625,0.0,0.0,0.0,0.0,43.85598103174998,18.498644675237315
3729-6852-0038_8463-294828-0003__T2__8463-8463-294828-0003__HSIMV3__4992-4992-41806-0003__SIRm5,8463,4992,17,0.11764705882352941,0.0,0.0,0.0,0.0,51.834724121877,23.827376313011985
4992-41806-0016_8230-279154-0023__T2__8230-8230-279154-0023__HSIMV3__61-61-70970-0000__SIRm5,8230,61,11,0.0,0.09090909090909091,0.0,0.0,0.0,47.120404825649366,20.055715684143767
8555-284447-0001_4077-13751-0003__T2__4077-4077-13751-0003__HSIMV3__8455-8455-210777-0022__SIRm5,4077,8455,31,0.03225806451612903,0.03225806451612903,0.0,0.0,0.0,46.02919658197491,17.31084789063549
260-123286-0015_237-134493-0001__T2__237-237-134493-0001__HSIMV3__5683-5683-32879-0018__SIRm5,237,5683,13,0.8461538461538461,0.9230769230769231,0.8461538461538461,0.9230769230769231,0.8461538461538461,-37.77272105091713,-16.791179840326798
1580-141083-0006_7176-88083-0024__T2__7176-7176-88083-0024__HSIMV3__61-61-70968-0049__SIRm5,7176,61,15,0.13333333333333333,0.0,0.0,0.0,0.0,38.933397252867096,10.796189943491656
260-123286-0005_237-126133-0000__T2__237-237-126133-0000__HSIMV3__5683-5683-32866-0009__SIRm5,237,5683,25,0.28,0.04,0.04,0.0,0.0,50.440763314254355,15.675942036264884
4446-2271-0021_4970-29093-0013__T2__4970-4970-29093-0013__HSIMV3__6829-6829-68771-0025__SIRm5,4970,6829,14,0.07142857142857142,0.0,0.0,0.0,0.0,46.83502890361005,22.443314702977336
5105-28233-0005_4446-2275-0013__T2__4446-4446-2275-0013__HSIMV3__1284-1284-1180-0014__SIRm5,4446,1284,6,0.0,0.0,0.0,0.0,0.0,42.92734695610619,19.357428524243083
1188-133604-0022_1221-135767-0019__T2__1221-1221-135767-0019__HSIMV3__4992-4992-41806-0005__SIRm5,1221,4992,6,0.0,0.0,0.0,0.0,0.0,46.1936289197024,19.8093517813982
