key,target_spk,interferer_spk,content_similarity,sisnr_i,num_chunks,content_mismatch_rate,waveform_interferer_rate,joint_content_waveform_rate,mean_content_gap,min_content_gap,mean_local_si_sdr_gap,content_segment_count,content_max_duration,content_mean_duration,content_first_position
5142-36377-0001_1221-135767-0007__T1__SCV3FIX__VOICE-5142_CONTENT-1221-1221-135767-0007,5142,1221,,6.26,9,0.0,0.0,0.0,0.13477093369972062,0.05270970076461201,21.61211870911503,0,0.0,0.0,-1.0
672-122797-0012_260-123440-0002__T2__SCV3FIX__VOICE-260_CONTENT-672-672-122797-0012,260,672,,-12.26,14,0.8571428571428571,1.0,0.8571428571428571,-0.11800033902492234,-0.39612892625370055,-14.004719048784855,2,4.0,2.75,1.0
5105-28241-0012_7021-85628-0023__T1__SCV3FIX__VOICE-5105_CONTENT-7021-7021-85628-0023,5105,7021,,-10.9,12,0.5833333333333334,0.9166666666666666,0.5833333333333334,-0.020502509926688246,-0.2028811654332604,-15.5066783995359,2,2.0,1.5,0.0
2300-131720-0006_1284-1181-0000__T1__SCV3FIX__VOICE-2300_CONTENT-1284-1284-1181-0000,2300,1284,,12.96,6,0.0,0.0,0.0,0.17438479405664822,0.023053821692274656,30.890538718136167,0,0.0,0.0,-1.0
8224-274384-0008_1188-133604-0031__T2__SCV3FIX__VOICE-1188_CONTENT-8224-8224-274384-0008,1188,8224,,15.4,7,0.0,0.0,0.0,0.17154974794315736,0.11647316320503365,33.56310346482137,0,0.0,0.0,-1.0
4992-41806-0012_1089-134686-0033__T2__SCV3FIX__VOICE-1089_CONTENT-4992-4992-41806-0012,1089,4992,,12.77,5,0.0,0.0,0.0,0.23551446211168794,0.15117270353123913,37.6481173097082,0,0.0,0.0,-1.0
672-122797-0061_260-123286-0018__T2__SCV3FIX__VOICE-260_CONTENT-672-672-122797-0061,260,672,,13.08,10,0.0,0.0,0.0,0.19609245566832736,0.09750330253144035,32.98641683724611,0,0.0,0.0,-1.0
2961-960-0014_2830-3980-0010__T1__SCV3FIX__VOICE-2961_CONTENT-2830-2830-3980-0010,2961,2830,,-28.14,12,0.9166666666666666,1.0,0.9166666666666666,-0.11154346438525191,-0.2690511766863827,-33.2266093777178,2,4.0,2.75,0.0
260-123286-0000_1320-122617-0031__T2__SCV3FIX__VOICE-1320_CONTENT-260-260-123286-0000,1320,260,,2.75,11,0.18181818181818182,0.2727272727272727,0.18181818181818182,0.182533667960959,-0.1422492135250425,5.011981985222841,1,1.0,1.0,3.5
1188-133604-0005_4446-2271-0003__T2__SCV3FIX__VOICE-4446_CONTENT-1188-1188-133604-0005,4446,1188,,12.84,6,0.16666666666666666,0.0,0.0,0.16981052964673923,-0.18946097250682625,26.75964444596156,0,0.0,0.0,-1.0
4446-2275-0038_8230-279154-0033__T1__SCV3FIX__VOICE-4446_CONTENT-8230-8230-279154-0033,4446,8230,,-17.08,8,1.0,1.0,1.0,-0.2396696488713086,-0.5415429425287885,-41.03593661335367,1,4.0,4.0,0.0
61-70968-0017_8230-279154-0024__T1__SCV3FIX__VOICE-61_CONTENT-8230-8230-279154-0024,61,8230,,5.66,9,0.1111111111111111,0.0,0.0,0.14342686967913199,-0.11224050995320167,21.229596630333468,0,0.0,0.0,-1.0
