key,target_spk,interferer_spk,num_chunks,waveform_interferer_rate,wav2vec2_content_mismatch_rate,wavlm_content_mismatch_rate,hubert_content_mismatch_rate,two_verifier_content_mismatch_rate,two_verifier_true_drift_rate,tri_verifier_content_mismatch_rate,tri_verifier_true_drift_rate,mean_local_target_interferer_si_sdr_gap,sisnr_i
1089-134686-0000_121-127105-0031__T1__SCV3FIX__VOICE-1089_CONTENT-121-121-127105-0031,1089,121,18,0.16666666666666666,0.4444444444444444,0.4444444444444444,0.5,0.3888888888888889,0.1111111111111111,0.3333333333333333,0.1111111111111111,12.43792457110046,-0.11
1089-134686-0000_121-127105-0031__T2__SCV3FIX__VOICE-121_CONTENT-1089-1089-134686-0000,121,1089,18,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,32.77390081366807,15.06
1089-134686-0000_260-123440-0016__T1__SCV3FIX__VOICE-1089_CONTENT-260-260-123440-0016,1089,260,8,0.0,0.25,0.25,0.5,0.25,0.0,0.25,0.0,19.329281274492814,2.0
1089-134686-0000_260-123440-0016__T2__SCV3FIX__VOICE-260_CONTENT-1089-1089-134686-0000,260,1089,8,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,32.72888495871311,16.6
1089-134686-0000_61-70968-0047__T1__SCV3FIX__VOICE-1089_CONTENT-61-61-70968-0047,1089,61,8,0.25,0.625,0.625,0.75,0.375,0.0,0.25,0.0,3.327334252739016,0.85
1089-134686-0000_61-70968-0047__T2__SCV3FIX__VOICE-61_CONTENT-1089-1089-134686-0000,61,1089,8,0.75,0.25,0.875,0.375,0.25,0.25,0.125,0.125,-10.835598934792914,-7.07
1089-134686-0002_7729-102255-0037__T1__SCV3FIX__VOICE-1089_CONTENT-7729-7729-102255-0037,1089,7729,12,0.08333333333333333,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,13.19867979458538,4.07
1089-134686-0002_7729-102255-0037__T2__SCV3FIX__VOICE-7729_CONTENT-1089-1089-134686-0002,7729,1089,12,0.6666666666666666,0.4166666666666667,0.5833333333333334,0.6666666666666666,0.25,0.25,0.25,0.25,-3.378772367049802,-2.35
1089-134686-0004_1284-1180-0027__T1__SCV3FIX__VOICE-1089_CONTENT-1284-1284-1180-0027,1089,1284,5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,36.86488084318911,12.53
1089-134686-0004_1284-1180-0027__T2__SCV3FIX__VOICE-1284_CONTENT-1089-1089-134686-0004,1284,1089,5,1.0,0.8,1.0,1.0,0.8,0.8,0.8,0.8,-36.944644510568665,-21.63
1089-134686-0004_6829-68771-0005__T1__SCV3FIX__VOICE-1089_CONTENT-6829-6829-68771-0005,1089,6829,9,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,29.16762236745472,12.0
1089-134686-0004_6829-68771-0005__T2__SCV3FIX__VOICE-6829_CONTENT-1089-1089-134686-0004,6829,1089,9,1.0,0.7777777777777778,1.0,1.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,-30.03785598368303,-28.57
1089-134686-0004_8463-294828-0016__T1__SCV3FIX__VOICE-1089_CONTENT-8463-8463-294828-0016,1089,8463,5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,45.630967225196194,16.52
1089-134686-0004_8463-294828-0016__T2__SCV3FIX__VOICE-8463_CONTENT-1089-1089-134686-0004,8463,1089,5,1.0,1.0,1.0,0.8,1.0,1.0,0.8,0.8,-44.65262366120531,-30.77
1089-134686-0005_7176-92135-0020__T1__SCV3FIX__VOICE-1089_CONTENT-7176-7176-92135-0020,1089,7176,13,0.0,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.0,0.07692307692307693,0.0,27.485763695126373,7.63
1089-134686-0005_7176-92135-0020__T2__SCV3FIX__VOICE-7176_CONTENT-1089-1089-134686-0005,7176,1089,13,1.0,0.8461538461538461,0.9230769230769231,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.7692307692307693,0.7692307692307693,-30.664369696426863,-17.53
1089-134686-0006_1580-141083-0022__T1__SCV3FIX__VOICE-1089_CONTENT-1580-1580-141083-0022,1089,1580,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.21839873334577,12.28
1089-134686-0006_1580-141083-0022__T2__SCV3FIX__VOICE-1580_CONTENT-1089-1089-134686-0006,1580,1089,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.94143309386814,15.69
1089-134686-0006_4446-2271-0018__T1__SCV3FIX__VOICE-1089_CONTENT-4446-4446-2271-0018,1089,4446,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.39374495429992,14.98
1089-134686-0006_4446-2271-0018__T2__SCV3FIX__VOICE-4446_CONTENT-1089-1089-134686-0006,4446,1089,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.273417413205955,15.68
1089-134686-0007_1995-1836-0000__T1__SCV3FIX__VOICE-1089_CONTENT-1995-1995-1836-0000,1089,1995,7,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,43.461819698940744,13.54
1089-134686-0007_1995-1836-0000__T2__SCV3FIX__VOICE-1995_CONTENT-1089-1089-134686-0007,1995,1089,7,1.0,0.8571428571428571,1.0,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,-41.41351615178676,-27.93
1089-134686-0007_7021-85628-0018__T1__SCV3FIX__VOICE-1089_CONTENT-7021-7021-85628-0018,1089,7021,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-32.94669088382637,-21.35
