key,target_spk,interferer_spk,content_similarity,sisnr_i,num_chunks,content_mismatch_rate,waveform_interferer_rate,joint_content_waveform_rate,mean_content_gap,min_content_gap,mean_local_si_sdr_gap,content_segment_count,content_max_duration,content_mean_duration,content_first_position,bundle,layer_idx
5142-36377-0001_1221-135767-0007__T1__SCV3FIX__VOICE-5142_CONTENT-1221-1221-135767-0007,5142,1221,,8.18,9,0.0,0.0,0.0,0.14750313574361645,0.002309332109618256,26.887732742785616,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
672-122797-0012_260-123440-0002__T2__SCV3FIX__VOICE-260_CONTENT-672-672-122797-0012,260,672,,5.14,14,0.14285714285714285,0.0,0.0,0.08603351544347829,-0.08485376665161859,19.447378968253727,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
5105-28241-0012_7021-85628-0023__T1__SCV3FIX__VOICE-5105_CONTENT-7021-7021-85628-0023,5105,7021,,-24.95,12,0.9166666666666666,1.0,0.9166666666666666,-0.1300177846522961,-0.3127255563612148,-37.29138450376472,2,3.0,2.75,0.0,WAVLM_BASE_PLUS,9
2300-131720-0006_1284-1181-0000__T1__SCV3FIX__VOICE-2300_CONTENT-1284-1284-1181-0000,2300,1284,,12.94,6,0.0,0.0,0.0,0.19601780282484094,0.08326977821165782,32.983285335492276,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
8224-274384-0008_1188-133604-0031__T2__SCV3FIX__VOICE-1188_CONTENT-8224-8224-274384-0008,1188,8224,,15.22,7,0.0,0.0,0.0,0.2174383114340847,0.08028894980838586,31.28709918477164,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
4992-41806-0012_1089-134686-0033__T2__SCV3FIX__VOICE-1089_CONTENT-4992-4992-41806-0012,1089,4992,,12.92,5,0.0,0.0,0.0,0.26727861901038635,0.1143362567407713,38.66179518221855,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
672-122797-0061_260-123286-0018__T2__SCV3FIX__VOICE-260_CONTENT-672-672-122797-0061,260,672,,13.15,10,0.0,0.0,0.0,0.20216301931239036,0.07345175596199516,35.63035246938697,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
2961-960-0014_2830-3980-0010__T1__SCV3FIX__VOICE-2961_CONTENT-2830-2830-3980-0010,2961,2830,,-29.98,12,1.0,1.0,1.0,-0.19980710378937702,-0.3771717136275313,-34.98096735588755,1,6.0,6.0,0.0,WAVLM_BASE_PLUS,9
260-123286-0000_1320-122617-0031__T2__SCV3FIX__VOICE-1320_CONTENT-260-260-123286-0000,1320,260,,9.56,11,0.09090909090909091,0.0,0.0,0.26400913502982404,-0.006927954204558162,20.73759771712537,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1188-133604-0005_4446-2271-0003__T2__SCV3FIX__VOICE-4446_CONTENT-1188-1188-133604-0005,4446,1188,,-18.76,6,1.0,1.0,1.0,-0.19946012525785373,-0.31231405216375574,-38.15427447117229,1,3.0,3.0,0.0,WAVLM_BASE_PLUS,9
