key,target_spk,interferer_spk,num_chunks,waveform_interferer_rate,wav2vec2_content_mismatch_rate,wavlm_content_mismatch_rate,hubert_content_mismatch_rate,two_verifier_content_mismatch_rate,two_verifier_true_drift_rate,tri_verifier_content_mismatch_rate,tri_verifier_true_drift_rate,mean_local_target_interferer_si_sdr_gap,sisnr_i
1089-134686-0000_121-127105-0031__T1__SCV3FIX__VOICE-1089_CONTENT-121-121-127105-0031,1089,121,18,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,35.91851960476275,9.65
1089-134686-0000_121-127105-0031__T2__SCV3FIX__VOICE-121_CONTENT-1089-1089-134686-0000,121,1089,18,0.0,0.0,0.1111111111111111,0.05555555555555555,0.0,0.0,0.0,0.0,20.894168358617648,8.96
1089-134686-0000_260-123440-0016__T1__SCV3FIX__VOICE-1089_CONTENT-260-260-123440-0016,1089,260,8,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,29.90627131716422,6.19
1089-134686-0000_260-123440-0016__T2__SCV3FIX__VOICE-260_CONTENT-1089-1089-134686-0000,260,1089,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.46332308275247,15.69
1089-134686-0000_61-70968-0047__T1__SCV3FIX__VOICE-1089_CONTENT-61-61-70968-0047,1089,61,8,0.375,0.5,0.625,0.625,0.25,0.25,0.25,0.25,6.7004256424719735,2.26
1089-134686-0000_61-70968-0047__T2__SCV3FIX__VOICE-61_CONTENT-1089-1089-134686-0000,61,1089,8,1.0,0.625,0.875,0.5,0.5,0.5,0.25,0.25,-13.323949628863385,-9.39
1089-134686-0002_7729-102255-0037__T1__SCV3FIX__VOICE-1089_CONTENT-7729-7729-102255-0037,1089,7729,12,0.25,0.5833333333333334,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.08333333333333333,0.25,0.08333333333333333,3.3518643619016477,0.61
1089-134686-0002_7729-102255-0037__T2__SCV3FIX__VOICE-7729_CONTENT-1089-1089-134686-0002,7729,1089,12,0.4166666666666667,0.4166666666666667,0.5833333333333334,0.5833333333333334,0.25,0.25,0.25,0.25,-0.31686963571161647,-2.9
1089-134686-0004_1284-1180-0027__T1__SCV3FIX__VOICE-1089_CONTENT-1284-1284-1180-0027,1089,1284,5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,32.34238977149628,10.91
1089-134686-0004_1284-1180-0027__T2__SCV3FIX__VOICE-1284_CONTENT-1089-1089-134686-0004,1284,1089,5,1.0,0.8,1.0,1.0,0.8,0.8,0.8,0.8,-27.85193462690329,-16.26
