key,target_spk,interferer_spk,content_similarity,sisnr_i,num_chunks,content_mismatch_rate,waveform_interferer_rate,joint_content_waveform_rate,mean_content_gap,min_content_gap,mean_local_si_sdr_gap,content_segment_count,content_max_duration,content_mean_duration,content_first_position
5142-36377-0001_1221-135767-0007__T1__SCV3FIX__VOICE-5142_CONTENT-1221-1221-135767-0007,5142,1221,,4.28,9,0.2222222222222222,0.0,0.0,0.06740355292676983,-0.026742697821220074,15.258486227521097,0,0.0,0.0,-1.0
672-122797-0012_260-123440-0002__T2__SCV3FIX__VOICE-260_CONTENT-672-672-122797-0012,260,672,,6.77,14,0.2857142857142857,0.0,0.0,0.07394215022716848,-0.5088270789076332,21.375141506949124,0,0.0,0.0,-1.0
5105-28241-0012_7021-85628-0023__T1__SCV3FIX__VOICE-5105_CONTENT-7021-7021-85628-0023,5105,7021,,-27.2,12,0.9166666666666666,1.0,0.9166666666666666,-0.13479829679802158,-0.28441978627349995,-39.47531418156553,1,5.5,5.5,0.0
2300-131720-0006_1284-1181-0000__T1__SCV3FIX__VOICE-2300_CONTENT-1284-1284-1181-0000,2300,1284,,12.68,6,0.0,0.0,0.0,0.15051502157281102,0.008605640362656652,30.87480127828972,0,0.0,0.0,-1.0
8224-274384-0008_1188-133604-0031__T2__SCV3FIX__VOICE-1188_CONTENT-8224-8224-274384-0008,1188,8224,,1.11,7,0.5714285714285714,0.5714285714285714,0.5714285714285714,-0.061710869467162435,-0.3069121111318406,-6.45028733923541,1,2.0,2.0,1.5
4992-41806-0012_1089-134686-0033__T2__SCV3FIX__VOICE-1089_CONTENT-4992-4992-41806-0012,1089,4992,,13.07,5,0.0,0.0,0.0,0.24362805459963338,0.19087568439432656,37.983972160743164,0,0.0,0.0,-1.0
672-122797-0061_260-123286-0018__T2__SCV3FIX__VOICE-260_CONTENT-672-672-122797-0061,260,672,,12.91,10,0.0,0.0,0.0,0.2192407613775064,0.08618843896796702,37.04883913646597,0,0.0,0.0,-1.0
2961-960-0014_2830-3980-0010__T1__SCV3FIX__VOICE-2961_CONTENT-2830-2830-3980-0010,2961,2830,,-26.89,12,0.6666666666666666,1.0,0.6666666666666666,-0.05208082775954886,-0.2683566609812824,-27.359393242846455,2,2.5,1.75,0.0
260-123286-0000_1320-122617-0031__T2__SCV3FIX__VOICE-1320_CONTENT-260-260-123286-0000,1320,260,,3.61,11,0.09090909090909091,0.2727272727272727,0.0,0.20601226812159013,-0.03724962398416398,4.184966877613824,0,0.0,0.0,-1.0
1188-133604-0005_4446-2271-0003__T2__SCV3FIX__VOICE-4446_CONTENT-1188-1188-133604-0005,4446,1188,,-9.47,6,1.0,1.0,1.0,-0.225446777138131,-0.3194333441406073,-26.18607556627622,1,3.0,3.0,0.0
4446-2275-0038_8230-279154-0033__T1__SCV3FIX__VOICE-4446_CONTENT-8230-8230-279154-0033,4446,8230,,-16.47,8,1.0,1.0,1.0,-0.26966279643378055,-0.4506471725186258,-39.855496347043456,1,4.0,4.0,0.0
61-70968-0017_8230-279154-0024__T1__SCV3FIX__VOICE-61_CONTENT-8230-8230-279154-0024,61,8230,,-4.06,9,0.1111111111111111,0.4444444444444444,0.1111111111111111,0.09674201618959695,-0.02192093548398688,-2.069123708359036,0,0.0,0.0,-1.0
4992-41806-0003_8555-284447-0020__T2__SCV3FIX__VOICE-8555_CONTENT-4992-4992-41806-0003,8555,4992,,-25.5,7,0.8571428571428571,1.0,0.8571428571428571,-0.05008997547223031,-0.16478885276600386,-28.359325996700417,1,2.5,2.5,1.0
