key,target_spk,interferer_spk,content_similarity,sisnr_i,num_chunks,content_mismatch_rate,waveform_interferer_rate,joint_content_waveform_rate,mean_content_gap,min_content_gap,mean_local_si_sdr_gap,content_segment_count,content_max_duration,content_mean_duration,content_first_position,bundle,layer_idx
1089-134686-0000_121-127105-0031__T1__SCV3FIX__VOICE-1089_CONTENT-121-121-127105-0031,1089,121,,14.920805904303236,18,0.0,0.0,0.0,0.2998995313203225,0.024201333038770034,54.560313098323896,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134686-0000_121-127105-0031__T2__SCV3FIX__VOICE-121_CONTENT-1089-1089-134686-0000,121,1089,,19.11513777227209,18,0.0,0.0,0.0,0.23943220230713846,0.1293836559507464,48.23127985082082,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134686-0000_260-123440-0016__T1__SCV3FIX__VOICE-1089_CONTENT-260-260-123440-0016,1089,260,,14.90287893237197,8,0.0,0.0,0.0,0.21854604692015553,0.15719795849627716,54.37909597074318,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134686-0000_260-123440-0016__T2__SCV3FIX__VOICE-260_CONTENT-1089-1089-134686-0000,260,1089,,20.974339844925783,8,0.0,0.0,0.0,0.21940035840543415,0.17281913411685945,41.794592141477395,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134686-0000_61-70968-0047__T1__SCV3FIX__VOICE-1089_CONTENT-61-61-70968-0047,1089,61,,8.53856067802879,8,0.0,0.0,0.0,0.25439576430781985,0.10231775450620739,38.21510339670482,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134686-0000_61-70968-0047__T2__SCV3FIX__VOICE-61_CONTENT-1089-1089-134686-0000,61,1089,,13.404756300344465,8,0.0,0.0,0.0,0.2974453676656701,0.14078445367456072,42.418226432911524,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134686-0002_7729-102255-0037__T1__SCV3FIX__VOICE-1089_CONTENT-7729-7729-102255-0037,1089,7729,,13.756903854793975,12,0.0,0.0,0.0,0.2510668389378375,0.09918665687551986,39.39521735808921,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134686-0002_7729-102255-0037__T2__SCV3FIX__VOICE-7729_CONTENT-1089-1089-134686-0002,7729,1089,,13.117448457073213,12,0.0,0.0,0.0,0.30351369488943986,0.13689619844922163,41.0132059316987,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134686-0004_1284-1180-0027__T1__SCV3FIX__VOICE-1089_CONTENT-1284-1284-1180-0027,1089,1284,,17.526447814855885,5,0.0,0.0,0.0,0.22112267146307726,0.10696751302928764,57.613578503639246,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1089-134686-0004_1284-1180-0027__T2__SCV3FIX__VOICE-1284_CONTENT-1089-1089-134686-0004,1284,1089,,18.14508530774188,5,0.0,0.0,0.0,0.25644527784938487,0.11372906420039675,52.35373074939506,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
