key,target_spk,interferer_spk,content_similarity,sisnr_i,num_chunks,content_mismatch_rate,waveform_interferer_rate,joint_content_waveform_rate,mean_content_gap,min_content_gap,mean_local_si_sdr_gap,content_segment_count,content_max_duration,content_mean_duration,content_first_position,bundle,layer_idx
1089-134686-0000_121-127105-0031__T1__SCV3FIX__VOICE-1089_CONTENT-121-121-127105-0031,1089,121,,19.309603033026075,18,0.0,0.0,0.0,0.1521028651583801,0.06867599976897343,51.83596284147318,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0000_121-127105-0031__T2__SCV3FIX__VOICE-121_CONTENT-1089-1089-134686-0000,121,1089,,24.241316210516917,18,0.0,0.0,0.0,0.14984899788680622,0.09936998265090968,54.78332113600328,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0000_260-123440-0016__T1__SCV3FIX__VOICE-1089_CONTENT-260-260-123440-0016,1089,260,,17.518321615168677,8,0.0,0.0,0.0,0.11944150440341796,0.05763316382734085,54.10838439495488,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0000_260-123440-0016__T2__SCV3FIX__VOICE-260_CONTENT-1089-1089-134686-0000,260,1089,,24.607539142999283,8,0.0,0.0,0.0,0.1381191862887908,0.10765278765741038,59.41460684484113,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0000_61-70968-0047__T1__SCV3FIX__VOICE-1089_CONTENT-61-61-70968-0047,1089,61,,19.684395413380408,8,0.0,0.0,0.0,0.13662161592356323,0.054411883156941454,53.400094733866666,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0000_61-70968-0047__T2__SCV3FIX__VOICE-61_CONTENT-1089-1089-134686-0000,61,1089,,-39.95957733924008,8,1.0,1.0,1.0,-0.1333832289796486,-0.23033177027278817,-51.79279863537555,1,4.0,4.0,0.0,HUBERT_BASE,6
1089-134686-0002_7729-102255-0037__T1__SCV3FIX__VOICE-1089_CONTENT-7729-7729-102255-0037,1089,7729,,18.593662042892777,12,0.0,0.0,0.0,0.11284159073705431,0.018126190426591138,48.93467650171584,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0002_7729-102255-0037__T2__SCV3FIX__VOICE-7729_CONTENT-1089-1089-134686-0002,7729,1089,,18.180848883121897,12,0.0,0.0,0.0,0.12852330569164347,0.06988520228306772,51.45375190556346,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0004_1284-1180-0027__T1__SCV3FIX__VOICE-1089_CONTENT-1284-1284-1180-0027,1089,1284,,21.070408185560257,5,0.0,0.0,0.0,0.1615564019482321,0.10715806883425072,60.1099083822795,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0004_1284-1180-0027__T2__SCV3FIX__VOICE-1284_CONTENT-1089-1089-134686-0004,1284,1089,,21.98499714886841,5,0.0,0.0,0.0,0.19081801113975472,0.10678762644216788,62.06625856253087,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0004_6829-68771-0005__T1__SCV3FIX__VOICE-1089_CONTENT-6829-6829-68771-0005,1089,6829,,23.31128917963874,9,0.0,0.0,0.0,0.12501562358452123,0.08529066738048019,53.27864315743051,0,0.0,0.0,-1.0,HUBERT_BASE,6
1089-134686-0004_6829-68771-0005__T2__SCV3FIX__VOICE-6829_CONTENT-1089-1089-134686-0004,6829,1089,,15.48585472908646,9,0.0,0.0,0.0,0.14940903961188967,0.09019822300436242,51.47419794651765,0,0.0,0.0,-1.0,HUBERT_BASE,6
