key,target_spk,interferer_spk,num_chunks,waveform_interferer_rate,wav2vec2_content_mismatch_rate,wavlm_content_mismatch_rate,hubert_content_mismatch_rate,two_verifier_content_mismatch_rate,two_verifier_true_drift_rate,tri_verifier_content_mismatch_rate,tri_verifier_true_drift_rate,mean_local_target_interferer_si_sdr_gap,sisnr_i
1089-134686-0000_121-127105-0031__T1__SCV3FIX__VOICE-1089_CONTENT-121-121-127105-0031,1089,121,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.83596284147318,19.309603033026075
1089-134686-0000_121-127105-0031__T2__SCV3FIX__VOICE-121_CONTENT-1089-1089-134686-0000,121,1089,18,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,54.78332113600328,24.24131621051692
1089-134686-0000_260-123440-0016__T1__SCV3FIX__VOICE-1089_CONTENT-260-260-123440-0016,1089,260,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.108384394954875,17.518321615168677
1089-134686-0000_260-123440-0016__T2__SCV3FIX__VOICE-260_CONTENT-1089-1089-134686-0000,260,1089,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.41460684484113,24.607539142999283
1089-134686-0000_61-70968-0047__T1__SCV3FIX__VOICE-1089_CONTENT-61-61-70968-0047,1089,61,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.400094733866666,19.684395413380408
1089-134686-0000_61-70968-0047__T2__SCV3FIX__VOICE-61_CONTENT-1089-1089-134686-0000,61,1089,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-51.79279863537555,-39.95957733924008
1089-134686-0002_7729-102255-0037__T1__SCV3FIX__VOICE-1089_CONTENT-7729-7729-102255-0037,1089,7729,12,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,48.93467650171584,18.593662042892777
1089-134686-0002_7729-102255-0037__T2__SCV3FIX__VOICE-7729_CONTENT-1089-1089-134686-0002,7729,1089,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.45375190556346,18.180848883121897
1089-134686-0004_1284-1180-0027__T1__SCV3FIX__VOICE-1089_CONTENT-1284-1284-1180-0027,1089,1284,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.1099083822795,21.070408185560257
1089-134686-0004_1284-1180-0027__T2__SCV3FIX__VOICE-1284_CONTENT-1089-1089-134686-0004,1284,1089,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.06625856253087,21.98499714886841
1089-134686-0004_6829-68771-0005__T1__SCV3FIX__VOICE-1089_CONTENT-6829-6829-68771-0005,1089,6829,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.27864315743051,23.31128917963874
1089-134686-0004_6829-68771-0005__T2__SCV3FIX__VOICE-6829_CONTENT-1089-1089-134686-0004,6829,1089,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.47419794651765,15.48585472908646
1089-134686-0004_8463-294828-0016__T1__SCV3FIX__VOICE-1089_CONTENT-8463-8463-294828-0016,1089,8463,5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,65.37766342281188,24.01437617385534
