key,target_spk,interferer_spk,content_similarity,sisnr_i,num_chunks,content_mismatch_rate,waveform_interferer_rate,joint_content_waveform_rate,mean_content_gap,min_content_gap,mean_local_si_sdr_gap,content_segment_count,content_max_duration,content_mean_duration,content_first_position
1089-134686-0000_121-127105-0031__T1__SCV3FIX__VOICE-1089_CONTENT-121-121-127105-0031,1089,121,,19.309603033026075,18,0.0,0.0,0.0,0.3313415814506895,0.011354803811905345,51.83596284147318,0,0.0,0.0,-1.0
1089-134686-0000_121-127105-0031__T2__SCV3FIX__VOICE-121_CONTENT-1089-1089-134686-0000,121,1089,,24.241316210516917,18,0.05555555555555555,0.0,0.0,0.25500898459678284,-0.39572654856757095,54.78332113600328,0,0.0,0.0,-1.0
1089-134686-0000_260-123440-0016__T1__SCV3FIX__VOICE-1089_CONTENT-260-260-123440-0016,1089,260,,17.518321615168677,8,0.0,0.0,0.0,0.29286410273501573,0.15438044682615792,54.10838439495488,0,0.0,0.0,-1.0
1089-134686-0000_260-123440-0016__T2__SCV3FIX__VOICE-260_CONTENT-1089-1089-134686-0000,260,1089,,24.607539142999283,8,0.0,0.0,0.0,0.28657614179994767,0.15035730299642458,59.41460684484113,0,0.0,0.0,-1.0
1089-134686-0000_61-70968-0047__T1__SCV3FIX__VOICE-1089_CONTENT-61-61-70968-0047,1089,61,,19.684395413380408,8,0.0,0.0,0.0,0.20953852803690431,0.013555169642377463,53.400094733866666,0,0.0,0.0,-1.0
1089-134686-0000_61-70968-0047__T2__SCV3FIX__VOICE-61_CONTENT-1089-1089-134686-0000,61,1089,,-39.95957733924008,8,1.0,1.0,1.0,-0.24122215725467527,-0.4484173237057591,-51.79279863537555,1,4.0,4.0,0.0
1089-134686-0002_7729-102255-0037__T1__SCV3FIX__VOICE-1089_CONTENT-7729-7729-102255-0037,1089,7729,,18.593662042892777,12,0.08333333333333333,0.0,0.0,0.2432414117311946,-0.16789801401437532,48.93467650171584,0,0.0,0.0,-1.0
1089-134686-0002_7729-102255-0037__T2__SCV3FIX__VOICE-7729_CONTENT-1089-1089-134686-0002,7729,1089,,18.180848883121897,12,0.0,0.0,0.0,0.27079216239986115,0.1196486997307098,51.45375190556346,0,0.0,0.0,-1.0
1089-134686-0004_1284-1180-0027__T1__SCV3FIX__VOICE-1089_CONTENT-1284-1284-1180-0027,1089,1284,,21.070408185560257,5,0.0,0.0,0.0,0.23604997848913234,0.12707760066167306,60.1099083822795,0,0.0,0.0,-1.0
1089-134686-0004_1284-1180-0027__T2__SCV3FIX__VOICE-1284_CONTENT-1089-1089-134686-0004,1284,1089,,21.98499714886841,5,0.0,0.0,0.0,0.28208542107195844,0.2038582644137611,62.06625856253087,0,0.0,0.0,-1.0
1089-134686-0004_6829-68771-0005__T1__SCV3FIX__VOICE-1089_CONTENT-6829-6829-68771-0005,1089,6829,,23.31128917963874,9,0.0,0.0,0.0,0.2933613788996277,0.13803556285398905,53.27864315743051,0,0.0,0.0,-1.0
1089-134686-0004_6829-68771-0005__T2__SCV3FIX__VOICE-6829_CONTENT-1089-1089-134686-0004,6829,1089,,15.48585472908646,9,0.0,0.0,0.0,0.2997085059597318,0.11663605553992218,51.47419794651765,0,0.0,0.0,-1.0
1089-134686-0004_8463-294828-0016__T1__SCV3FIX__VOICE-1089_CONTENT-8463-8463-294828-0016,1089,8463,,24.01437617385534,5,0.2,0.0,0.0,0.19701819043358412,-0.0693481203746038,65.37766342281188,0,0.0,0.0,-1.0
1089-134686-0004_8463-294828-0016__T2__SCV3FIX__VOICE-8463_CONTENT-1089-1089-134686-0004,8463,1089,,22.852176431150696,5,0.0,0.0,0.0,0.29106779589072707,0.17414926663778174,60.4912379601343,0,0.0,0.0,-1.0
1089-134686-0005_7176-92135-0020__T1__SCV3FIX__VOICE-1089_CONTENT-7176-7176-92135-0020,1089,7176,,23.264865891590887,13,0.0,0.0,0.0,0.2526192553065011,0.013735294886022542,58.80140430451213,0,0.0,0.0,-1.0
1089-134686-0005_7176-92135-0020__T2__SCV3FIX__VOICE-7176_CONTENT-1089-1089-134686-0005,7176,1089,,22.023170664963548,13,0.0,0.0,0.0,0.273972235241826,0.031882525753052504,65.6807716163965,0,0.0,0.0,-1.0
1089-134686-0006_1580-141083-0022__T1__SCV3FIX__VOICE-1089_CONTENT-1580-1580-141083-0022,1089,1580,,22.26507261062577,5,0.0,0.0,0.0,0.31620564524145156,0.11263268960754513,57.64674340241347,0,0.0,0.0,-1.0
1089-134686-0006_1580-141083-0022__T2__SCV3FIX__VOICE-1580_CONTENT-1089-1089-134686-0006,1580,1089,,26.56441352256344,5,0.0,0.0,0.0,0.34023359234451783,0.14342254113408215,59.93774980497526,0,0.0,0.0,-1.0
1089-134686-0006_4446-2271-0018__T1__SCV3FIX__VOICE-1089_CONTENT-4446-4446-2271-0018,1089,4446,,21.21819571465237,10,0.1,0.0,0.0,0.311666968219504,-0.03024447084046078,52.239571937416486,0,0.0,0.0,-1.0
1089-134686-0006_4446-2271-0018__T2__SCV3FIX__VOICE-4446_CONTENT-1089-1089-134686-0006,4446,1089,,22.48050693507108,10,0.0,0.0,0.0,0.28866164828545887,0.16473532375450872,58.43205164255138,0,0.0,0.0,-1.0
1089-134686-0007_1995-1836-0000__T1__SCV3FIX__VOICE-1089_CONTENT-1995-1995-1836-0000,1089,1995,,24.62023720715169,7,0.2857142857142857,0.0,0.0,0.17869572218929344,-0.14650667293949082,50.447011743574926,0,0.0,0.0,-1.0
1089-134686-0007_1995-1836-0000__T2__SCV3FIX__VOICE-1995_CONTENT-1089-1089-134686-0007,1995,1089,,24.29902524669429,7,0.14285714285714285,0.0,0.0,0.311900715852131,-0.030679465555259355,56.79899507193644,0,0.0,0.0,-1.0
1089-134686-0007_7021-85628-0018__T1__SCV3FIX__VOICE-1089_CONTENT-7021-7021-85628-0018,1089,7021,,21.225662606170783,7,0.0,0.0,0.0,0.32051589989067153,0.20403821084346474,61.537812410192714,0,0.0,0.0,-1.0
1089-134686-0007_7021-85628-0018__T2__SCV3FIX__VOICE-7021_CONTENT-1089-1089-134686-0007,7021,1089,,20.54299380928441,7,0.0,0.0,0.0,0.2565307923165386,0.2191142992065812,54.48777939136012,0,0.0,0.0,-1.0
