key,target_spk,interferer_spk,num_chunks,waveform_interferer_rate,wav2vec2_content_mismatch_rate,wavlm_content_mismatch_rate,hubert_content_mismatch_rate,two_verifier_content_mismatch_rate,two_verifier_true_drift_rate,tri_verifier_content_mismatch_rate,tri_verifier_true_drift_rate,mean_local_target_interferer_si_sdr_gap,sisnr_i
1089-134686-0000_121-127105-0031__T1__SCV3FIX__VOICE-1089_CONTENT-121-121-127105-0031,1089,121,18,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,38.07771732637549,10.55
1089-134686-0000_121-127105-0031__T2__SCV3FIX__VOICE-121_CONTENT-1089-1089-134686-0000,121,1089,18,1.0,0.9444444444444444,1.0,1.0,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,-35.25987055769409,-17.95
1089-134686-0000_260-123440-0016__T1__SCV3FIX__VOICE-1089_CONTENT-260-260-123440-0016,1089,260,8,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,37.1453128529197,8.95
1089-134686-0000_260-123440-0016__T2__SCV3FIX__VOICE-260_CONTENT-1089-1089-134686-0000,260,1089,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.557456127388065,15.31
1089-134686-0000_61-70968-0047__T1__SCV3FIX__VOICE-1089_CONTENT-61-61-70968-0047,1089,61,8,0.25,0.75,0.375,0.625,0.25,0.25,0.25,0.25,8.010836308761732,2.31
1089-134686-0000_61-70968-0047__T2__SCV3FIX__VOICE-61_CONTENT-1089-1089-134686-0000,61,1089,8,0.25,0.0,0.0,0.125,0.0,0.0,0.0,0.0,4.672785122176232,0.66
1089-134686-0002_7729-102255-0037__T1__SCV3FIX__VOICE-1089_CONTENT-7729-7729-102255-0037,1089,7729,12,0.0,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.25,0.0,0.16666666666666666,0.0,10.913584133605573,3.86
1089-134686-0002_7729-102255-0037__T2__SCV3FIX__VOICE-7729_CONTENT-1089-1089-134686-0002,7729,1089,12,0.8333333333333334,0.5,0.5,0.5833333333333334,0.25,0.25,0.16666666666666666,0.16666666666666666,-4.749603294321806,-4.65
1089-134686-0004_1284-1180-0027__T1__SCV3FIX__VOICE-1089_CONTENT-1284-1284-1180-0027,1089,1284,5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,36.430020209154684,12.21
1089-134686-0004_1284-1180-0027__T2__SCV3FIX__VOICE-1284_CONTENT-1089-1089-134686-0004,1284,1089,5,1.0,0.8,1.0,1.0,0.8,0.8,0.8,0.8,-33.034081385548504,-18.27
1089-134686-0004_6829-68771-0005__T1__SCV3FIX__VOICE-1089_CONTENT-6829-6829-68771-0005,1089,6829,9,0.0,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.0,0.0,0.0,19.949942614522456,10.57
1089-134686-0004_6829-68771-0005__T2__SCV3FIX__VOICE-6829_CONTENT-1089-1089-134686-0004,6829,1089,9,1.0,0.7777777777777778,1.0,0.8888888888888888,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.6666666666666666,-27.596087429563273,-25.06
1089-134686-0004_8463-294828-0016__T1__SCV3FIX__VOICE-1089_CONTENT-8463-8463-294828-0016,1089,8463,5,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,43.76933897420703,15.64
1089-134686-0004_8463-294828-0016__T2__SCV3FIX__VOICE-8463_CONTENT-1089-1089-134686-0004,8463,1089,5,1.0,0.8,1.0,1.0,0.8,0.8,0.8,0.8,-43.89524728961568,-29.58
1089-134686-0005_7176-92135-0020__T1__SCV3FIX__VOICE-1089_CONTENT-7176-7176-92135-0020,1089,7176,13,0.0,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693,0.0,29.834048372150612,8.73
1089-134686-0005_7176-92135-0020__T2__SCV3FIX__VOICE-7176_CONTENT-1089-1089-134686-0005,7176,1089,13,1.0,0.7692307692307693,0.9230769230769231,0.9230769230769231,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,-31.274855636271177,-18.62
1089-134686-0006_1580-141083-0022__T1__SCV3FIX__VOICE-1089_CONTENT-1580-1580-141083-0022,1089,1580,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.588899366038284,12.46
1089-134686-0006_1580-141083-0022__T2__SCV3FIX__VOICE-1580_CONTENT-1089-1089-134686-0006,1580,1089,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.75297231283418,14.99
