key,target_spk,interferer_spk,content_similarity,sisnr_i,num_chunks,content_mismatch_rate,waveform_interferer_rate,joint_content_waveform_rate,mean_content_gap,min_content_gap,mean_local_si_sdr_gap,content_segment_count,content_max_duration,content_mean_duration,content_first_position
5142-36377-0001_1221-135767-0007__T1__SCV3FIX__VOICE-5142_CONTENT-1221-1221-135767-0007,5142,1221,,8.18,9,0.0,0.0,0.0,0.14125105436394492,0.04030944728660113,26.887732742785616,0,0.0,0.0,-1.0
672-122797-0012_260-123440-0002__T2__SCV3FIX__VOICE-260_CONTENT-672-672-122797-0012,260,672,,5.14,14,0.14285714285714285,0.0,0.0,0.11091883550282443,-0.17150426590186274,19.447378968253727,0,0.0,0.0,-1.0
5105-28241-0012_7021-85628-0023__T1__SCV3FIX__VOICE-5105_CONTENT-7021-7021-85628-0023,5105,7021,,-24.95,12,0.9166666666666666,1.0,0.9166666666666666,-0.15766096201742694,-0.27441933124715623,-37.29138450376472,1,5.5,5.5,0.0
2300-131720-0006_1284-1181-0000__T1__SCV3FIX__VOICE-2300_CONTENT-1284-1284-1181-0000,2300,1284,,12.94,6,0.16666666666666666,0.0,0.0,0.16521043991086376,-0.03741800710228682,32.983285335492276,0,0.0,0.0,-1.0
8224-274384-0008_1188-133604-0031__T2__SCV3FIX__VOICE-1188_CONTENT-8224-8224-274384-0008,1188,8224,,15.22,7,0.0,0.0,0.0,0.19682368535998407,0.11831255453546785,31.28709918477164,0,0.0,0.0,-1.0
4992-41806-0012_1089-134686-0033__T2__SCV3FIX__VOICE-1089_CONTENT-4992-4992-41806-0012,1089,4992,,12.92,5,0.0,0.0,0.0,0.19292850318988825,0.04972788514685522,38.66179518221855,0,0.0,0.0,-1.0
672-122797-0061_260-123286-0018__T2__SCV3FIX__VOICE-260_CONTENT-672-672-122797-0061,260,672,,13.15,10,0.0,0.0,0.0,0.21859124150758688,0.050273536630332516,35.63035246938697,0,0.0,0.0,-1.0
2961-960-0014_2830-3980-0010__T1__SCV3FIX__VOICE-2961_CONTENT-2830-2830-3980-0010,2961,2830,,-29.98,12,0.9166666666666666,1.0,0.9166666666666666,-0.13413624019690812,-0.3349750472614153,-34.98096735588755,2,4.0,2.75,0.0
260-123286-0000_1320-122617-0031__T2__SCV3FIX__VOICE-1320_CONTENT-260-260-123286-0000,1320,260,,9.56,11,0.09090909090909091,0.0,0.0,0.23780074299795959,-0.06884650274423543,20.73759771712537,0,0.0,0.0,-1.0
1188-133604-0005_4446-2271-0003__T2__SCV3FIX__VOICE-4446_CONTENT-1188-1188-133604-0005,4446,1188,,-18.76,6,1.0,1.0,1.0,-0.25571907222845786,-0.40749543090267315,-38.15427447117229,1,3.0,3.0,0.0
4446-2275-0038_8230-279154-0033__T1__SCV3FIX__VOICE-4446_CONTENT-8230-8230-279154-0033,4446,8230,,-4.15,8,1.0,1.0,1.0,-0.13890891872173713,-0.378864938997858,-21.255970527554677,1,4.0,4.0,0.0
61-70968-0017_8230-279154-0024__T1__SCV3FIX__VOICE-61_CONTENT-8230-8230-279154-0024,61,8230,,4.08,9,0.0,0.0,0.0,0.18226223067962444,0.07766651951905723,14.533631677325607,0,0.0,0.0,-1.0
4992-41806-0003_8555-284447-0020__T2__SCV3FIX__VOICE-8555_CONTENT-4992-4992-41806-0003,8555,4992,,-22.47,7,0.7142857142857143,1.0,0.7142857142857143,-0.01742229835421524,-0.08202946022006752,-24.86323125019002,1,2.0,2.0,1.5
1188-133604-0003_672-122797-0056__T2__SCV3FIX__VOICE-672_CONTENT-1188-1188-133604-0003,672,1188,,5.69,9,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.18234705459914682,-0.009650071572261276,13.456200521091958,0,0.0,0.0,-1.0
7021-79740-0009_8463-294828-0014__T2__SCV3FIX__VOICE-8463_CONTENT-7021-7021-79740-0009,8463,7021,,14.27,6,0.0,0.0,0.0,0.2156105991836157,0.16170934647812052,37.022674747208114,0,0.0,0.0,-1.0
7021-85628-0005_1089-134691-0001__T2__SCV3FIX__VOICE-1089_CONTENT-7021-7021-85628-0005,1089,7021,,-10.29,9,0.5555555555555556,0.6666666666666666,0.5555555555555556,-0.01914505368214907,-0.2607668741505166,-4.504162590525671,2,1.5,1.25,0.0
4970-29093-0002_6930-76324-0014__T1__SCV3FIX__VOICE-4970_CONTENT-6930-6930-76324-0014,4970,6930,,-5.51,8,0.875,0.75,0.625,-0.13460909632931206,-0.3412813476017107,-7.422946466867575,1,3.5,3.5,0.0
