key,target_spk,interferer_spk,content_similarity,sisnr_i,num_chunks,content_mismatch_rate,waveform_interferer_rate,joint_content_waveform_rate,mean_content_gap,min_content_gap,mean_local_si_sdr_gap,content_segment_count,content_max_duration,content_mean_duration,content_first_position,bundle,layer_idx
5142-36377-0001_1221-135767-0007__T1__SCV3FIX__VOICE-5142_CONTENT-1221-1221-135767-0007,5142,1221,,4.28,9,0.2222222222222222,0.0,0.0,0.0760413848760882,-0.1404389134919375,15.258486227521097,1,1.0,1.0,1.5,WAVLM_BASE_PLUS,9
672-122797-0012_260-123440-0002__T2__SCV3FIX__VOICE-260_CONTENT-672-672-122797-0012,260,672,,6.77,14,0.2857142857142857,0.0,0.0,0.0781847607481552,-0.041036008967793025,21.375141506949124,1,1.0,1.0,2.5,WAVLM_BASE_PLUS,9
5105-28241-0012_7021-85628-0023__T1__SCV3FIX__VOICE-5105_CONTENT-7021-7021-85628-0023,5105,7021,,-27.2,12,0.9166666666666666,1.0,0.9166666666666666,-0.13783412448851057,-0.3304958277406693,-39.47531418156553,1,5.5,5.5,0.0,WAVLM_BASE_PLUS,9
2300-131720-0006_1284-1181-0000__T1__SCV3FIX__VOICE-2300_CONTENT-1284-1284-1181-0000,2300,1284,,12.68,6,0.16666666666666666,0.0,0.0,0.18658730299818735,-0.0015830993335724797,30.87480127828972,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
8224-274384-0008_1188-133604-0031__T2__SCV3FIX__VOICE-1188_CONTENT-8224-8224-274384-0008,1188,8224,,1.11,7,0.5714285714285714,0.5714285714285714,0.5714285714285714,-0.04493973633584921,-0.19226182268556724,-6.45028733923541,1,2.0,2.0,1.5,WAVLM_BASE_PLUS,9
4992-41806-0012_1089-134686-0033__T2__SCV3FIX__VOICE-1089_CONTENT-4992-4992-41806-0012,1089,4992,,13.07,5,0.0,0.0,0.0,0.32022731892122386,0.25086964170287607,37.983972160743164,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
672-122797-0061_260-123286-0018__T2__SCV3FIX__VOICE-260_CONTENT-672-672-122797-0061,260,672,,12.91,10,0.0,0.0,0.0,0.18647860315523995,0.0428766003616452,37.04883913646597,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
2961-960-0014_2830-3980-0010__T1__SCV3FIX__VOICE-2961_CONTENT-2830-2830-3980-0010,2961,2830,,-26.89,12,0.9166666666666666,1.0,0.9166666666666666,-0.1234500280608652,-0.31736795428576736,-27.359393242846455,2,3.5,2.75,0.0,WAVLM_BASE_PLUS,9
260-123286-0000_1320-122617-0031__T2__SCV3FIX__VOICE-1320_CONTENT-260-260-123286-0000,1320,260,,3.61,11,0.09090909090909091,0.2727272727272727,0.0,0.19549665666301086,-0.16107808261353374,4.184966877613824,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
1188-133604-0005_4446-2271-0003__T2__SCV3FIX__VOICE-4446_CONTENT-1188-1188-133604-0005,4446,1188,,-9.47,6,0.8333333333333334,1.0,0.8333333333333334,-0.15245731058782744,-0.23997874557466137,-26.18607556627622,1,2.5,2.5,0.5,WAVLM_BASE_PLUS,9
4446-2275-0038_8230-279154-0033__T1__SCV3FIX__VOICE-4446_CONTENT-8230-8230-279154-0033,4446,8230,,-16.47,8,1.0,1.0,1.0,-0.1795255273015025,-0.3695767986634614,-39.855496347043456,1,4.0,4.0,0.0,WAVLM_BASE_PLUS,9
61-70968-0017_8230-279154-0024__T1__SCV3FIX__VOICE-61_CONTENT-8230-8230-279154-0024,61,8230,,-4.06,9,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.047043366789954764,-0.15681833649866794,-2.069123708359036,1,1.0,1.0,1.0,WAVLM_BASE_PLUS,9
4992-41806-0003_8555-284447-0020__T2__SCV3FIX__VOICE-8555_CONTENT-4992-4992-41806-0003,8555,4992,,-25.5,7,1.0,1.0,1.0,-0.14531024893523167,-0.25417351214370265,-28.359325996700417,1,3.5,3.5,0.0,WAVLM_BASE_PLUS,9
1188-133604-0003_672-122797-0056__T2__SCV3FIX__VOICE-672_CONTENT-1188-1188-133604-0003,672,1188,,-13.27,9,0.8888888888888888,1.0,0.8888888888888888,-0.13287467764188923,-0.27958075781065583,-24.027789399895408,2,3.0,2.0,0.0,WAVLM_BASE_PLUS,9
7021-79740-0009_8463-294828-0014__T2__SCV3FIX__VOICE-8463_CONTENT-7021-7021-79740-0009,8463,7021,,13.65,6,0.16666666666666666,0.0,0.0,0.1419763469306956,-0.04712406504849853,35.96747197964219,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
7021-85628-0005_1089-134691-0001__T2__SCV3FIX__VOICE-1089_CONTENT-7021-7021-85628-0005,1089,7021,,-6.98,9,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.08554931798920666,-0.09686246935725329,2.0889338506566912,1,1.0,1.0,2.5,WAVLM_BASE_PLUS,9
4970-29093-0002_6930-76324-0014__T1__SCV3FIX__VOICE-4970_CONTENT-6930-6930-76324-0014,4970,6930,,-11.95,8,1.0,0.875,0.875,-0.1749434246115874,-0.38559722129196194,-23.136942243083837,1,4.0,4.0,0.0,WAVLM_BASE_PLUS,9
4992-41797-0006_6829-68771-0013__T1__SCV3FIX__VOICE-4992_CONTENT-6829-6829-68771-0013,4992,6829,,3.94,8,0.375,0.0,0.0,0.06636297292605878,-0.051321743892388305,9.192279075532607,1,1.0,1.0,0.0,WAVLM_BASE_PLUS,9
5683-32879-0003_5142-33396-0035__T2__SCV3FIX__VOICE-5142_CONTENT-5683-5683-32879-0003,5142,5683,,-10.95,6,1.0,1.0,1.0,-0.13777757217078296,-0.3142668541997399,-35.76735251349081,1,3.0,3.0,0.0,WAVLM_BASE_PLUS,9
1580-141084-0031_61-70970-0023__T2__SCV3FIX__VOICE-61_CONTENT-1580-1580-141084-0031,61,1580,,12.63,6,0.0,0.0,0.0,0.17210195158957364,0.017285398100399973,38.53483423614342,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
6930-81414-0013_2830-3980-0047__T2__SCV3FIX__VOICE-2830_CONTENT-6930-6930-81414-0013,2830,6930,,8.16,13,0.0,0.0,0.0,0.14672539200026274,0.012509942550200437,37.11583790813473,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
2830-3980-0056_2961-961-0012__T2__SCV3FIX__VOICE-2961_CONTENT-2830-2830-3980-0056,2961,2830,,-7.54,9,0.6666666666666666,1.0,0.6666666666666666,-0.07265447318944532,-0.2830289062640353,-12.611159460333704,1,2.0,2.0,2.5,WAVLM_BASE_PLUS,9
8455-210777-0062_2830-3980-0018__T1__SCV3FIX__VOICE-8455_CONTENT-2830-2830-3980-0018,8455,2830,,-1.43,5,0.8,0.8,0.6,-0.03944713126567141,-0.10063081778489957,-5.993359392923175,1,1.5,1.5,0.0,WAVLM_BASE_PLUS,9
672-122797-0027_3575-170457-0050__T2__SCV3FIX__VOICE-3575_CONTENT-672-672-122797-0027,3575,672,,-23.67,8,1.0,1.0,1.0,-0.2731610968911872,-0.4027014890239121,-31.81714283928407,1,4.0,4.0,0.0,WAVLM_BASE_PLUS,9
8230-279154-0032_61-70968-0008__T2__SCV3FIX__VOICE-61_CONTENT-8230-8230-279154-0032,61,8230,,-4.63,6,0.3333333333333333,1.0,0.3333333333333333,-0.005660218314327503,-0.21300980080165144,-9.795296891847682,1,1.0,1.0,2.0,WAVLM_BASE_PLUS,9
2961-961-0007_6930-76324-0016__T2__SCV3FIX__VOICE-6930_CONTENT-2961-2961-961-0007,6930,2961,,-5.11,16,0.6875,0.9375,0.6875,-0.03761236889473071,-0.35774245570625574,-13.991957376411635,2,4.5,2.75,1.0,WAVLM_BASE_PLUS,9
1580-141084-0010_3570-5696-0002__T1__SCV3FIX__VOICE-1580_CONTENT-3570-3570-5696-0002,1580,3570,,17.41,7,0.0,0.0,0.0,0.18182399650931483,0.08676898305923708,49.405916302431066,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
5142-33396-0024_121-127105-0000__T2__SCV3FIX__VOICE-121_CONTENT-5142-5142-33396-0024,121,5142,,4.5,9,0.5555555555555556,0.1111111111111111,0.1111111111111111,-0.04509647858122993,-0.5073525808521097,8.767800450727488,2,1.5,1.25,0.0,WAVLM_BASE_PLUS,9
2094-142345-0058_6930-76324-0008__T2__SCV3FIX__VOICE-6930_CONTENT-2094-2094-142345-0058,6930,2094,,10.81,8,0.0,0.0,0.0,0.12407470731495786,0.012895524243890066,28.218594165331538,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
2961-960-0012_6829-68771-0015__T1__SCV3FIX__VOICE-2961_CONTENT-6829-6829-68771-0015,2961,6829,,14.03,8,0.0,0.0,0.0,0.16379303585437963,0.051270960736055415,30.574099221663907,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
5683-32865-0013_3570-5694-0001__T1__SCV3FIX__VOICE-5683_CONTENT-3570-3570-5694-0001,5683,3570,,10.27,9,0.0,0.0,0.0,0.20465790867375003,0.11073093547890844,42.62142368727207,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
121-127105-0026_5683-32879-0020__T1__SCV3FIX__VOICE-121_CONTENT-5683-5683-32879-0020,121,5683,,-8.97,12,0.8333333333333334,0.9166666666666666,0.75,-0.0779170409281685,-0.2749475945645865,-12.48343802099611,2,4.0,2.5,0.5,WAVLM_BASE_PLUS,9
7021-85628-0022_2300-131720-0014__T2__SCV3FIX__VOICE-2300_CONTENT-7021-7021-85628-0022,2300,7021,,-11.08,6,0.8333333333333334,1.0,0.8333333333333334,-0.11384916282162011,-0.25243283317866516,-27.912220337196757,1,2.5,2.5,0.0,WAVLM_BASE_PLUS,9
260-123288-0018_3575-170457-0047__T1__SCV3FIX__VOICE-260_CONTENT-3575-3575-170457-0047,260,3575,,12.47,5,0.0,0.0,0.0,0.1328308602049773,0.08239871098706608,33.831791802417726,0,0.0,0.0,-1.0,WAVLM_BASE_PLUS,9
