key,target_spk,interferer_spk,num_chunks,waveform_interferer_rate,wav2vec2_content_mismatch_rate,wavlm_content_mismatch_rate,hubert_content_mismatch_rate,two_verifier_content_mismatch_rate,two_verifier_true_drift_rate,tri_verifier_content_mismatch_rate,tri_verifier_true_drift_rate,mean_local_target_interferer_si_sdr_gap,sisnr_i
1089-134686-0000_121-127105-0031__T1__SCV3FIX__VOICE-1089_CONTENT-121-121-127105-0031,1089,121,18,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,54.560313098323896,14.920805904303236
1089-134686-0000_121-127105-0031__T2__SCV3FIX__VOICE-121_CONTENT-1089-1089-134686-0000,121,1089,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.23127985082082,19.11513777227209
1089-134686-0000_260-123440-0016__T1__SCV3FIX__VOICE-1089_CONTENT-260-260-123440-0016,1089,260,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.37909597074318,14.90287893237197
1089-134686-0000_260-123440-0016__T2__SCV3FIX__VOICE-260_CONTENT-1089-1089-134686-0000,260,1089,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.794592141477395,20.974339844925783
1089-134686-0000_61-70968-0047__T1__SCV3FIX__VOICE-1089_CONTENT-61-61-70968-0047,1089,61,8,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,38.21510339670482,8.53856067802879
1089-134686-0000_61-70968-0047__T2__SCV3FIX__VOICE-61_CONTENT-1089-1089-134686-0000,61,1089,8,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,42.418226432911524,13.404756300344465
1089-134686-0002_7729-102255-0037__T1__SCV3FIX__VOICE-1089_CONTENT-7729-7729-102255-0037,1089,7729,12,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,39.395217358089205,13.756903854793975
1089-134686-0002_7729-102255-0037__T2__SCV3FIX__VOICE-7729_CONTENT-1089-1089-134686-0002,7729,1089,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0132059316987,13.117448457073213
1089-134686-0004_1284-1180-0027__T1__SCV3FIX__VOICE-1089_CONTENT-1284-1284-1180-0027,1089,1284,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.613578503639246,17.526447814855885
1089-134686-0004_1284-1180-0027__T2__SCV3FIX__VOICE-1284_CONTENT-1089-1089-134686-0004,1284,1089,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.35373074939506,18.14508530774188
1089-134686-0004_6829-68771-0005__T1__SCV3FIX__VOICE-1089_CONTENT-6829-6829-68771-0005,1089,6829,9,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,44.82239310372541,18.23783490324596
1089-134686-0004_6829-68771-0005__T2__SCV3FIX__VOICE-6829_CONTENT-1089-1089-134686-0004,6829,1089,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.700563163392616,12.753860036854489
1089-134686-0004_8463-294828-0016__T1__SCV3FIX__VOICE-1089_CONTENT-8463-8463-294828-0016,1089,8463,5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,67.67931117076213,19.97573164942491
1089-134686-0004_8463-294828-0016__T2__SCV3FIX__VOICE-8463_CONTENT-1089-1089-134686-0004,8463,1089,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.978257066267304,18.07072382872133
1089-134686-0005_7176-92135-0020__T1__SCV3FIX__VOICE-1089_CONTENT-7176-7176-92135-0020,1089,7176,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.9960813910587,19.453138963608545
1089-134686-0005_7176-92135-0020__T2__SCV3FIX__VOICE-7176_CONTENT-1089-1089-134686-0005,7176,1089,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.78781189003938,17.936812113957828
1089-134686-0006_1580-141083-0022__T1__SCV3FIX__VOICE-1089_CONTENT-1580-1580-141083-0022,1089,1580,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.9327671422951,18.20072632436758
1089-134686-0006_1580-141083-0022__T2__SCV3FIX__VOICE-1580_CONTENT-1089-1089-134686-0006,1580,1089,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.92618220200465,21.68181007356715
1089-134686-0006_4446-2271-0018__T1__SCV3FIX__VOICE-1089_CONTENT-4446-4446-2271-0018,1089,4446,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.985782252864794,18.718570142112576
1089-134686-0006_4446-2271-0018__T2__SCV3FIX__VOICE-4446_CONTENT-1089-1089-134686-0006,4446,1089,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.18665950109873,19.90647105091588
1089-134686-0007_1995-1836-0000__T1__SCV3FIX__VOICE-1089_CONTENT-1995-1995-1836-0000,1089,1995,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.88675618199706,20.169357332356068
1089-134686-0007_1995-1836-0000__T2__SCV3FIX__VOICE-1995_CONTENT-1089-1089-134686-0007,1995,1089,7,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,54.41858210802299,20.15685553565924
1089-134686-0007_7021-85628-0018__T1__SCV3FIX__VOICE-1089_CONTENT-7021-7021-85628-0018,1089,7021,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.386155094340076,19.430020159690585
1089-134686-0007_7021-85628-0018__T2__SCV3FIX__VOICE-7021_CONTENT-1089-1089-134686-0007,7021,1089,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.88716623102222,18.70673187751297
1089-134686-0007_8455-210777-0052__T1__SCV3FIX__VOICE-1089_CONTENT-8455-8455-210777-0052,1089,8455,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.871538589210964,15.673804788730768
