system,bucket,key,si_snri,drift_rate
pretrained_usef_tfgridnet_scv3_quality,low0_high,1221-135767-0008_5683-32865-0011__T2__SCV3FIX__VOICE-5683_CONTENT-1221-1221-135767-0008,-80.09346812828065,0.8
pretrained_usef_tfgridnet_scv3_quality,low0_high,4970-29095-0025_3575-170457-0000__T2__SCV3FIX__VOICE-3575_CONTENT-4970-4970-29095-0025,-77.97028104790141,1.0
pretrained_usef_tfgridnet_scv3_quality,low0_high,4970-29093-0019_121-121726-0000__T2__SCV3FIX__VOICE-121_CONTENT-4970-4970-29093-0019,-77.52469914199148,1.0
pretrained_usef_tfgridnet_scv3_quality,low0_high,1995-1826-0007_4446-2275-0043__T2__SCV3FIX__VOICE-4446_CONTENT-1995-1995-1826-0007,-74.72799990780365,0.8
pretrained_usef_tfgridnet_scv3_quality,low0_high,8455-210777-0020_61-70968-0054__T2__SCV3FIX__VOICE-61_CONTENT-8455-8455-210777-0020,-72.65905021958373,1.0
pretrained_usef_tfgridnet_scv3_quality,low0_high,237-134493-0002_4992-41797-0002__T2__SCV3FIX__VOICE-4992_CONTENT-237-237-134493-0002,-72.52045422748897,1.0
pretrained_usef_tfgridnet_scv3_quality,low0_high,3575-170457-0044_4446-2273-0004__T2__SCV3FIX__VOICE-4446_CONTENT-3575-3575-170457-0044,-71.7403284787323,1.0
pretrained_usef_tfgridnet_scv3_quality,low0_high,121-121726-0006_260-123286-0027__T2__SCV3FIX__VOICE-260_CONTENT-121-121-121726-0006,-71.38471025261798,0.6666666666666666
pretrained_usef_tfgridnet_scv3_quality,low0_high,3570-5696-0007_260-123286-0016__T2__SCV3FIX__VOICE-260_CONTENT-3570-3570-5696-0007,-70.37368206576879,1.0
pretrained_usef_tfgridnet_scv3_quality,low0_high,7127-75947-0019_1089-134691-0018__T2__SCV3FIX__VOICE-1089_CONTENT-7127-7127-75947-0019,-69.18177654496913,1.0
pretrained_usef_tfgridnet_scv3_quality,high10_any,3570-5695-0011_4507-16021-0056__T2__SCV3FIX__VOICE-4507_CONTENT-3570-3570-5695-0011,10.93847865061825,0.0909090909090909
pretrained_tfmap_context_scv3_quality,low0_high,1995-1837-0011_4446-2275-0013__T2__SCV3FIX__VOICE-4446_CONTENT-1995-1995-1837-0011,-66.63998650307357,1.0
pretrained_tfmap_context_scv3_quality,low0_high,672-122797-0029_4446-2273-0001__T2__SCV3FIX__VOICE-4446_CONTENT-672-672-122797-0029,-57.90997298568871,0.8
pretrained_tfmap_context_scv3_quality,low0_high,121-121726-0009_1284-1181-0019__T1__SCV3FIX__VOICE-121_CONTENT-1284-1284-1181-0019,-54.95737951938148,1.0
pretrained_tfmap_context_scv3_quality,low0_high,1320-122617-0012_672-122797-0036__T2__SCV3FIX__VOICE-672_CONTENT-1320-1320-122617-0012,-48.53653664935096,1.0
pretrained_tfmap_context_scv3_quality,low0_high,4992-41806-0012_4446-2273-0015__T2__SCV3FIX__VOICE-4446_CONTENT-4992-4992-41806-0012,-48.37225801157341,1.0
pretrained_tfmap_context_scv3_quality,low0_high,1995-1837-0022_4992-41797-0008__T1__SCV3FIX__VOICE-1995_CONTENT-4992-4992-41797-0008,-43.80941200991763,1.0
pretrained_tfmap_context_scv3_quality,low0_high,260-123288-0012_4446-2273-0009__T2__SCV3FIX__VOICE-4446_CONTENT-260-260-123288-0012,-43.14599612471711,0.8333333333333334
pretrained_tfmap_context_scv3_quality,low0_high,1995-1836-0014_3570-5695-0002__T1__SCV3FIX__VOICE-1995_CONTENT-3570-3570-5695-0002,-42.84208676866118,0.9285714285714286
pretrained_tfmap_context_scv3_quality,low0_high,2961-961-0009_4446-2275-0005__T2__SCV3FIX__VOICE-4446_CONTENT-2961-2961-961-0009,-42.11892666502384,1.0
pretrained_tfmap_context_scv3_quality,low0_high,5639-40744-0033_4446-2273-0035__T2__SCV3FIX__VOICE-4446_CONTENT-5639-5639-40744-0033,-42.0814323025832,0.9090909090909092
pretrained_tfmap_context_scv3_quality,high10_any,5142-33396-0038_4446-2275-0021__T2__SCV3FIX__VOICE-4446_CONTENT-5142-5142-33396-0038,10.358032536960508,0.1428571428571428
bsrnn_usef_scv3_quality,low0_high,1284-1181-0018_8555-284447-0008__T2__SCV3FIX__VOICE-8555_CONTENT-1284-1284-1181-0018,-56.8,1.0
bsrnn_usef_scv3_quality,low0_high,2094-142345-0035_4970-29095-0006__T2__SCV3FIX__VOICE-4970_CONTENT-2094-2094-142345-0035,-41.84,1.0
bsrnn_usef_scv3_quality,low0_high,3570-5694-0007_672-122797-0059__T1__SCV3FIX__VOICE-3570_CONTENT-672-672-122797-0059,-37.93,1.0
bsrnn_usef_scv3_quality,low0_high,5639-40744-0033_4446-2273-0035__T2__SCV3FIX__VOICE-4446_CONTENT-5639-5639-40744-0033,-36.61,0.9090909090909092
bsrnn_usef_scv3_quality,low0_high,672-122797-0031_1089-134686-0016__T2__SCV3FIX__VOICE-1089_CONTENT-672-672-122797-0031,-35.02,0.8333333333333334
bsrnn_usef_scv3_quality,low0_high,5639-40744-0012_5683-32879-0021__T1__SCV3FIX__VOICE-5639_CONTENT-5683-5683-32879-0021,-34.87,0.8571428571428571
bsrnn_usef_scv3_quality,low0_high,4970-29093-0012_1188-133604-0027__T1__SCV3FIX__VOICE-4970_CONTENT-1188-1188-133604-0027,-34.67,0.9375
bsrnn_usef_scv3_quality,low0_high,4507-16021-0030_2830-3980-0017__T1__SCV3FIX__VOICE-4507_CONTENT-2830-2830-3980-0017,-34.63,0.5
bsrnn_usef_scv3_quality,low0_high,3575-170457-0033_1320-122617-0016__T1__SCV3FIX__VOICE-3575_CONTENT-1320-1320-122617-0016,-34.53,0.8666666666666667
bsrnn_usef_scv3_quality,low0_high,8455-210777-0008_8555-292519-0000__T2__SCV3FIX__VOICE-8555_CONTENT-8455-8455-210777-0008,-34.11,0.9090909090909092
bsrnn_usef_scv3_quality,high10_any,2830-3980-0050_672-122797-0025__T2__SCV3FIX__VOICE-672_CONTENT-2830-2830-3980-0050,10.92,0.0769230769230769
bsrnn_tfmap_scv3_quality,low0_high,5105-28240-0003_1995-1826-0026__T2__SCV3FIX__VOICE-1995_CONTENT-5105-5105-28240-0003,-37.35,1.0
bsrnn_tfmap_scv3_quality,low0_high,6930-81414-0023_4507-16021-0014__T2__SCV3FIX__VOICE-4507_CONTENT-6930-6930-81414-0023,-37.34,0.875
bsrnn_tfmap_scv3_quality,low0_high,8455-210777-0008_8555-292519-0000__T2__SCV3FIX__VOICE-8555_CONTENT-8455-8455-210777-0008,-37.19,0.9545454545454546
bsrnn_tfmap_scv3_quality,low0_high,4507-16021-0025_5142-33396-0044__T1__SCV3FIX__VOICE-4507_CONTENT-5142-5142-33396-0044,-37.19,0.875
bsrnn_tfmap_scv3_quality,low0_high,2094-142345-0035_4970-29095-0006__T2__SCV3FIX__VOICE-4970_CONTENT-2094-2094-142345-0035,-37.13,1.0
bsrnn_tfmap_scv3_quality,low0_high,3570-5694-0007_672-122797-0059__T1__SCV3FIX__VOICE-3570_CONTENT-672-672-122797-0059,-37.0,1.0
bsrnn_tfmap_scv3_quality,low0_high,1284-1181-0018_8555-284447-0008__T2__SCV3FIX__VOICE-8555_CONTENT-1284-1284-1181-0018,-36.8,1.0
bsrnn_tfmap_scv3_quality,low0_high,5639-40744-0033_4446-2273-0035__T2__SCV3FIX__VOICE-4446_CONTENT-5639-5639-40744-0033,-36.04,0.8181818181818182
bsrnn_tfmap_scv3_quality,low0_high,4507-16021-0052_2830-3980-0069__T1__SCV3FIX__VOICE-4507_CONTENT-2830-2830-3980-0069,-35.73,0.7
bsrnn_tfmap_scv3_quality,low0_high,5142-33396-0064_8555-292519-0012__T2__SCV3FIX__VOICE-8555_CONTENT-5142-5142-33396-0064,-35.55,1.0
bsrnn_tfmap_scv3_quality,high10_any,8455-210777-0067_2830-3979-0009__T1__SCV3FIX__VOICE-8455_CONTENT-2830-2830-3979-0009,10.48,0.1666666666666666
bsrnn_tfmap_scv3_quality,high10_any,3729-6852-0018_61-70970-0013__T1__SCV3FIX__VOICE-3729_CONTENT-61-61-70970-0013,10.53,0.1428571428571428
bsrnn_tfmap_scv3_quality,high10_any,1580-141083-0008_1284-1181-0002__T1__SCV3FIX__VOICE-1580_CONTENT-1284-1284-1181-0002,10.71,0.1666666666666666
bsrnn_tfmap_scv3_quality,high10_any,1580-141083-0046_908-157963-0012__T1__SCV3FIX__VOICE-1580_CONTENT-908-908-157963-0012,12.26,0.1666666666666666
bsrnn_tfmap_scv3_quality,high10_any,7176-88083-0019_2830-3980-0037__T2__SCV3FIX__VOICE-2830_CONTENT-7176-7176-88083-0019,12.92,0.1
bsrnn_tfmap_scv3_quality,high10_any,1188-133604-0019_8224-274384-0008__T2__SCV3FIX__VOICE-8224_CONTENT-1188-1188-133604-0019,12.98,0.0434782608695652
bsrnn_tfmap_scv3_quality,high10_any,1580-141084-0001_237-134500-0022__T1__SCV3FIX__VOICE-1580_CONTENT-237-237-134500-0022,13.09,0.2
bsrnn_tfmap_scv3_quality,high10_high,1580-141084-0001_237-134500-0022__T1__SCV3FIX__VOICE-1580_CONTENT-237-237-134500-0022,13.09,0.2
bsrnn_context_scv3_quality,low0_high,1284-1181-0018_8555-284447-0008__T2__SCV3FIX__VOICE-8555_CONTENT-1284-1284-1181-0018,-47.44,1.0
bsrnn_context_scv3_quality,low0_high,2094-142345-0035_4970-29095-0006__T2__SCV3FIX__VOICE-4970_CONTENT-2094-2094-142345-0035,-41.15,0.8333333333333334
bsrnn_context_scv3_quality,low0_high,1995-1837-0001_6930-76324-0014__T1__SCV3FIX__VOICE-1995_CONTENT-6930-6930-76324-0014,-38.29,0.875
bsrnn_context_scv3_quality,low0_high,1580-141084-0024_2094-142345-0025__T1__SCV3FIX__VOICE-1580_CONTENT-2094-2094-142345-0025,-37.94,1.0
bsrnn_context_scv3_quality,low0_high,5639-40744-0012_5683-32879-0021__T1__SCV3FIX__VOICE-5639_CONTENT-5683-5683-32879-0021,-37.77,0.8571428571428571
bsrnn_context_scv3_quality,low0_high,7127-75947-0029_3570-5695-0014__T2__SCV3FIX__VOICE-3570_CONTENT-7127-7127-75947-0029,-37.52,0.8888888888888888
bsrnn_context_scv3_quality,low0_high,3570-5694-0007_672-122797-0059__T1__SCV3FIX__VOICE-3570_CONTENT-672-672-122797-0059,-36.45,1.0
bsrnn_context_scv3_quality,low0_high,3570-5695-0000_5105-28233-0006__T1__SCV3FIX__VOICE-3570_CONTENT-5105-5105-28233-0006,-36.21,1.0
bsrnn_context_scv3_quality,low0_high,2830-3980-0005_5142-33396-0003__T2__SCV3FIX__VOICE-5142_CONTENT-2830-2830-3980-0005,-36.14,1.0
bsrnn_context_scv3_quality,low0_high,3570-5695-0001_672-122797-0050__T1__SCV3FIX__VOICE-3570_CONTENT-672-672-122797-0050,-35.76,0.875
bsrnn_context_scv3_quality,high10_any,2300-131720-0037_7021-79740-0013__T1__SCV3FIX__VOICE-2300_CONTENT-7021-7021-79740-0013,10.44,0.1538461538461538
bsrnn_context_scv3_quality,high10_any,2830-3980-0048_6930-76324-0003__T2__SCV3FIX__VOICE-6930_CONTENT-2830-2830-3980-0048,10.48,0.2
bsrnn_context_scv3_quality,high10_any,5142-33396-0024_121-127105-0000__T2__SCV3FIX__VOICE-121_CONTENT-5142-5142-33396-0024,11.28,0.1111111111111111
bsrnn_context_scv3_quality,high10_high,2830-3980-0048_6930-76324-0003__T2__SCV3FIX__VOICE-6930_CONTENT-2830-2830-3980-0048,10.48,0.2
